date	key	total	value
1996	AA	717.0	314
1997	AA	423.0	14
1998	AA	559.0	22
1999	AA	634.0	355
2000	AA	645.0	201
2001	AA	628.0	226
2002	AA	625.0	211
2003	AA	636.0	227
2004	AA	613.0	230
2005	AA	598.0	245
2006	AA	582.0	239
2007	AA	643.0	269
2008	AA	622.0	234
2009	AA	670.0	280
2010	AA	710.0	287
2011	AA	740.0	291
2012	AA	792.0	313
2013	AA	848.0	330
2014	AA	1039.0	359
2015	AA	1048.0	310
2016	AA	1063.0	354
1996	AES	717.0	0
1997	AES	423.0	0
1998	AES	559.0	0
1999	AES	634.0	0
2000	AES	645.0	4
2001	AES	628.0	3
2002	AES	625.0	4
2003	AES	636.0	4
2004	AES	613.0	6
2005	AES	598.0	0
2006	AES	582.0	3
2007	AES	643.0	7
2008	AES	622.0	4
2009	AES	670.0	5
2010	AES	710.0	1
2011	AES	740.0	0
2012	AES	792.0	3
2013	AES	848.0	0
2014	AES	1039.0	2
2015	AES	1048.0	7
2016	AES	1063.0	6
1996	AFA	0.0	0
1997	AFA	423.0	0
1998	AFA	559.0	0
1999	AFA	634.0	1
2000	AFA	645.0	19
2001	AFA	628.0	4
2002	AFA	625.0	6
2003	AFA	636.0	17
2004	AFA	613.0	6
2005	AFA	598.0	5
2006	AFA	582.0	3
2007	AFA	643.0	5
2008	AFA	622.0	5
2009	AFA	670.0	3
2010	AFA	710.0	7
2011	AFA	740.0	1
2012	AFA	792.0	3
2013	AFA	848.0	1
2014	AFA	1039.0	1
2015	AFA	1048.0	1
2016	AFA	1063.0	1
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	622.0	0
2009	AAT	670.0	1
2010	AAT	710.0	0
2011	AAT	740.0	0
2012	AAT	792.0	0
2013	AAT	848.0	0
2014	AAT	1039.0	0
2015	AAT	1048.0	1
2016	AAT	1063.0	0
1996	AS	717.0	98
1997	AS	423.0	208
1998	AS	559.0	263
1999	AS	634.0	81
2000	AS	645.0	165
2001	AS	628.0	161
2002	AS	625.0	171
2003	AS	636.0	168
2004	AS	613.0	169
2005	AS	598.0	157
2006	AS	582.0	141
2007	AS	643.0	160
2008	AS	622.0	151
2009	AS	670.0	155
2010	AS	710.0	172
2011	AS	740.0	205
2012	AS	792.0	209
2013	AS	848.0	241
2014	AS	1039.0	243
2015	AS	1048.0	276
2016	AS	1063.0	267
1996	AAPS	717.0	305
1997	AAPS	423.0	199
1998	AAPS	559.0	273
1999	AAPS	634.0	197
2000	AAPS	645.0	228
2001	AAPS	628.0	215
2002	AAPS	625.0	205
2003	AAPS	636.0	197
2004	AAPS	613.0	171
2005	AAPS	598.0	156
2006	AAPS	582.0	166
2007	AAPS	643.0	160
2008	AAPS	622.0	191
2009	AAPS	670.0	177
2010	AAPS	710.0	207
2011	AAPS	740.0	185
2012	AAPS	792.0	204
2013	AAPS	848.0	201
2014	AAPS	1039.0	239
2015	AAPS	1048.0	233
2016	AAPS	1063.0	237
1996	AAS	717.0	0
1997	AAS	423.0	0
1998	AAS	559.0	0
1999	AAS	634.0	0
2000	AAS	645.0	0
2001	AAS	628.0	0
2002	AAS	625.0	0
2003	AAS	636.0	0
2004	AAS	613.0	0
2005	AAS	598.0	0
2006	AAS	582.0	0
2007	AAS	643.0	0
2008	AAS	622.0	0
2009	AAS	670.0	0
2010	AAS	710.0	0
2011	AAS	740.0	0
2012	AAS	792.0	0
2013	AAS	848.0	0
2014	AAS	1039.0	0
2015	AAS	1048.0	0
2016	AAS	1063.0	0
1996	AGS	717.0	0
1997	AGS	423.0	2
1998	AGS	559.0	1
1999	AGS	634.0	0
2000	AGS	645.0	28
2001	AGS	628.0	19
2002	AGS	625.0	28
2003	AGS	636.0	23
2004	AGS	613.0	31
2005	AGS	598.0	35
2006	AGS	582.0	30
2007	AGS	643.0	42
2008	AGS	622.0	37
2009	AGS	670.0	49
2010	AGS	710.0	36
2011	AGS	740.0	58
2012	AGS	792.0	60
2013	AGS	848.0	75
2014	AGS	1039.0	195
2015	AGS	1048.0	220
2016	AGS	1063.0	198
