date	key	total	value
1996	AA	471.0	194
1997	AA	779.0	386
1998	AA	665.0	322
1999	AA	507.0	126
2000	AA	461.0	145
2001	AA	492.0	153
2002	AA	465.0	123
2003	AA	505.0	140
2004	AA	549.0	174
2005	AA	584.0	171
2006	AA	516.0	172
2007	AA	540.0	185
2008	AA	542.0	186
2009	AA	656.0	178
2010	AA	518.0	215
2011	AA	517.0	171
2012	AA	528.0	187
2013	AA	745.0	184
2014	AA	612.0	148
2015	AA	542.0	157
2016	AA	445.0	128
1996	AES	471.0	0
1997	AES	779.0	0
1998	AES	665.0	0
1999	AES	507.0	3
2000	AES	461.0	1
2001	AES	492.0	0
2002	AES	465.0	1
2003	AES	505.0	1
2004	AES	549.0	3
2005	AES	584.0	1
2006	AES	516.0	3
2007	AES	540.0	0
2008	AES	542.0	2
2009	AES	656.0	0
2010	AES	518.0	2
2011	AES	517.0	0
2012	AES	528.0	1
2013	AES	745.0	5
2014	AES	612.0	0
2015	AES	542.0	0
2016	AES	445.0	0
1996	AFA	0.0	0
1997	AFA	779.0	1
1998	AFA	665.0	0
1999	AFA	507.0	0
2000	AFA	461.0	0
2001	AFA	492.0	0
2002	AFA	465.0	0
2003	AFA	505.0	0
2004	AFA	549.0	0
2005	AFA	584.0	1
2006	AFA	516.0	1
2007	AFA	540.0	3
2008	AFA	542.0	2
2009	AFA	656.0	2
2010	AFA	518.0	3
2011	AFA	517.0	4
2012	AFA	528.0	2
2013	AFA	745.0	4
2014	AFA	612.0	8
2015	AFA	542.0	3
2016	AFA	445.0	3
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	542.0	0
2009	AAT	656.0	0
2010	AAT	518.0	0
2011	AAT	517.0	0
2012	AAT	528.0	0
2013	AAT	745.0	0
2014	AAT	612.0	0
2015	AAT	542.0	0
2016	AAT	445.0	0
1996	AS	471.0	93
1997	AS	779.0	102
1998	AS	665.0	110
1999	AS	507.0	156
2000	AS	461.0	135
2001	AS	492.0	153
2002	AS	465.0	142
2003	AS	505.0	144
2004	AS	549.0	161
2005	AS	584.0	162
2006	AS	516.0	147
2007	AS	540.0	117
2008	AS	542.0	125
2009	AS	656.0	106
2010	AS	518.0	106
2011	AS	517.0	90
2012	AS	528.0	83
2013	AS	745.0	78
2014	AS	612.0	66
2015	AS	542.0	63
2016	AS	445.0	61
1996	AAPS	471.0	184
1997	AAPS	779.0	290
1998	AAPS	665.0	233
1999	AAPS	507.0	222
2000	AAPS	461.0	177
2001	AAPS	492.0	186
2002	AAPS	465.0	194
2003	AAPS	505.0	216
2004	AAPS	549.0	204
2005	AAPS	584.0	247
2006	AAPS	516.0	193
2007	AAPS	540.0	235
2008	AAPS	542.0	227
2009	AAPS	656.0	369
2010	AAPS	518.0	192
2011	AAPS	517.0	235
2012	AAPS	528.0	229
2013	AAPS	745.0	262
2014	AAPS	612.0	211
2015	AAPS	542.0	277
2016	AAPS	445.0	245
1996	AAS	471.0	0
1997	AAS	779.0	0
1998	AAS	665.0	0
1999	AAS	507.0	0
2000	AAS	461.0	0
2001	AAS	492.0	0
2002	AAS	465.0	0
2003	AAS	505.0	0
2004	AAS	549.0	0
2005	AAS	584.0	0
2006	AAS	516.0	0
2007	AAS	540.0	0
2008	AAS	542.0	0
2009	AAS	656.0	0
2010	AAS	518.0	0
2011	AAS	517.0	0
2012	AAS	528.0	0
2013	AAS	745.0	0
2014	AAS	612.0	0
2015	AAS	542.0	0
2016	AAS	445.0	0
1996	AGS	471.0	0
1997	AGS	779.0	0
1998	AGS	665.0	0
1999	AGS	507.0	0
2000	AGS	461.0	3
2001	AGS	492.0	0
2002	AGS	465.0	5
2003	AGS	505.0	4
2004	AGS	549.0	7
2005	AGS	584.0	2
2006	AGS	516.0	0
2007	AGS	540.0	0
2008	AGS	542.0	0
2009	AGS	656.0	1
2010	AGS	518.0	0
2011	AGS	517.0	17
2012	AGS	528.0	26
2013	AGS	745.0	212
2014	AGS	612.0	179
2015	AGS	542.0	42
2016	AGS	445.0	8
