date	key	total	value
1996	AA	299.0	25
1997	AA	503.0	179
1998	AA	532.0	150
1999	AA	319.0	16
2000	AA	373.0	22
2001	AA	415.0	24
2002	AA	367.0	14
2003	AA	358.0	18
2004	AA	432.0	33
2005	AA	475.0	30
2006	AA	520.0	41
2007	AA	521.0	60
2008	AA	437.0	25
2009	AA	473.0	41
2010	AA	582.0	31
2011	AA	717.0	45
2012	AA	803.0	61
2013	AA	742.0	36
2014	AA	783.0	41
2015	AA	788.0	45
2016	AA	817.0	69
1996	AES	299.0	0
1997	AES	503.0	0
1998	AES	532.0	4
1999	AES	319.0	0
2000	AES	373.0	1
2001	AES	415.0	2
2002	AES	367.0	2
2003	AES	358.0	4
2004	AES	432.0	1
2005	AES	475.0	0
2006	AES	520.0	4
2007	AES	521.0	0
2008	AES	437.0	3
2009	AES	473.0	3
2010	AES	582.0	0
2011	AES	717.0	1
2012	AES	803.0	2
2013	AES	742.0	1
2014	AES	783.0	4
2015	AES	788.0	2
2016	AES	817.0	8
1996	AFA	0.0	0
1997	AFA	503.0	0
1998	AFA	532.0	0
1999	AFA	319.0	3
2000	AFA	373.0	4
2001	AFA	415.0	4
2002	AFA	367.0	7
2003	AFA	358.0	6
2004	AFA	432.0	11
2005	AFA	475.0	12
2006	AFA	520.0	5
2007	AFA	521.0	3
2008	AFA	437.0	7
2009	AFA	473.0	5
2010	AFA	582.0	8
2011	AFA	717.0	7
2012	AFA	803.0	9
2013	AFA	742.0	7
2014	AFA	783.0	12
2015	AFA	788.0	6
2016	AFA	817.0	3
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	437.0	0
2009	AAT	473.0	0
2010	AAT	582.0	0
2011	AAT	717.0	0
2012	AAT	803.0	0
2013	AAT	742.0	0
2014	AAT	783.0	0
2015	AAT	788.0	0
2016	AAT	817.0	0
1996	AS	299.0	220
1997	AS	503.0	117
1998	AS	532.0	162
1999	AS	319.0	220
2000	AS	373.0	240
2001	AS	415.0	255
2002	AS	367.0	253
2003	AS	358.0	242
2004	AS	432.0	270
2005	AS	475.0	316
2006	AS	520.0	324
2007	AS	521.0	328
2008	AS	437.0	271
2009	AS	473.0	277
2010	AS	582.0	337
2011	AS	717.0	428
2012	AS	803.0	455
2013	AS	742.0	467
2014	AS	783.0	435
2015	AS	788.0	423
2016	AS	817.0	438
1996	AAPS	299.0	41
1997	AAPS	503.0	207
1998	AAPS	532.0	215
1999	AAPS	319.0	58
2000	AAPS	373.0	76
2001	AAPS	415.0	93
2002	AAPS	367.0	71
2003	AAPS	358.0	63
2004	AAPS	432.0	77
2005	AAPS	475.0	79
2006	AAPS	520.0	95
2007	AAPS	521.0	91
2008	AAPS	437.0	110
2009	AAPS	473.0	115
2010	AAPS	582.0	157
2011	AAPS	717.0	182
2012	AAPS	803.0	206
2013	AAPS	742.0	187
2014	AAPS	783.0	228
2015	AAPS	788.0	232
2016	AAPS	817.0	222
1996	AAS	299.0	0
1997	AAS	503.0	0
1998	AAS	532.0	0
1999	AAS	319.0	0
2000	AAS	373.0	0
2001	AAS	415.0	0
2002	AAS	367.0	0
2003	AAS	358.0	0
2004	AAS	432.0	0
2005	AAS	475.0	0
2006	AAS	520.0	0
2007	AAS	521.0	0
2008	AAS	437.0	0
2009	AAS	473.0	0
2010	AAS	582.0	0
2011	AAS	717.0	0
2012	AAS	803.0	0
2013	AAS	742.0	0
2014	AAS	783.0	0
2015	AAS	788.0	0
2016	AAS	817.0	0
1996	AGS	299.0	13
1997	AGS	503.0	0
1998	AGS	532.0	1
1999	AGS	319.0	22
2000	AGS	373.0	30
2001	AGS	415.0	37
2002	AGS	367.0	20
2003	AGS	358.0	25
2004	AGS	432.0	40
2005	AGS	475.0	38
2006	AGS	520.0	51
2007	AGS	521.0	39
2008	AGS	437.0	21
2009	AGS	473.0	32
2010	AGS	582.0	49
2011	AGS	717.0	54
2012	AGS	803.0	70
2013	AGS	742.0	44
2014	AGS	783.0	63
2015	AGS	788.0	80
2016	AGS	817.0	77
