date	key	total	value
1996	AA	0.0	0
1997	AA	323.0	21
1998	AA	322.0	24
1999	AA	19.0	7
2000	AA	0.0	0
2001	AA	0.0	0
2002	AA	0.0	0
2003	AA	0.0	0
2004	AA	0.0	0
2005	AA	0.0	0
2006	AA	0.0	0
2007	AA	0.0	0
2008	AA	0.0	0
2009	AA	0.0	0
2010	AA	0.0	0
2011	AA	0.0	0
2012	AA	0.0	0
2013	AA	0.0	0
2014	AA	0.0	0
2015	AA	0.0	0
2016	AA	0.0	0
1996	AES	0.0	0
1997	AES	323.0	0
1998	AES	322.0	0
1999	AES	19.0	0
2000	AES	0.0	0
2001	AES	0.0	0
2002	AES	0.0	0
2003	AES	0.0	0
2004	AES	0.0	0
2005	AES	0.0	0
2006	AES	0.0	0
2007	AES	0.0	0
2008	AES	0.0	0
2009	AES	0.0	0
2010	AES	0.0	0
2011	AES	0.0	0
2012	AES	0.0	0
2013	AES	0.0	0
2014	AES	0.0	0
2015	AES	0.0	0
2016	AES	0.0	0
1996	AFA	0.0	0
1997	AFA	323.0	0
1998	AFA	322.0	0
1999	AFA	19.0	0
2000	AFA	0.0	0
2001	AFA	0.0	0
2002	AFA	0.0	0
2003	AFA	0.0	0
2004	AFA	0.0	0
2005	AFA	0.0	0
2006	AFA	0.0	0
2007	AFA	0.0	0
2008	AFA	0.0	0
2009	AFA	0.0	0
2010	AFA	0.0	0
2011	AFA	0.0	0
2012	AFA	0.0	0
2013	AFA	0.0	0
2014	AFA	0.0	0
2015	AFA	0.0	0
2016	AFA	0.0	0
1996	AS	0.0	0
1997	AS	323.0	225
1998	AS	322.0	225
1999	AS	19.0	4
2000	AS	0.0	0
2001	AS	0.0	0
2002	AS	0.0	0
2003	AS	0.0	0
2004	AS	0.0	0
2005	AS	0.0	0
2006	AS	0.0	0
2007	AS	0.0	0
2008	AS	0.0	0
2009	AS	0.0	0
2010	AS	0.0	0
2011	AS	0.0	0
2012	AS	0.0	0
2013	AS	0.0	0
2014	AS	0.0	0
2015	AS	0.0	0
2016	AS	0.0	0
1996	AAPS	0.0	0
1997	AAPS	323.0	56
1998	AAPS	322.0	56
1999	AAPS	19.0	7
2000	AAPS	0.0	0
2001	AAPS	0.0	0
2002	AAPS	0.0	0
2003	AAPS	0.0	0
2004	AAPS	0.0	0
2005	AAPS	0.0	0
2006	AAPS	0.0	0
2007	AAPS	0.0	0
2008	AAPS	0.0	0
2009	AAPS	0.0	0
2010	AAPS	0.0	0
2011	AAPS	0.0	0
2012	AAPS	0.0	0
2013	AAPS	0.0	0
2014	AAPS	0.0	0
2015	AAPS	0.0	0
2016	AAPS	0.0	0
1996	AAS	0.0	0
1997	AAS	323.0	0
1998	AAS	322.0	0
1999	AAS	19.0	0
2000	AAS	0.0	0
2001	AAS	0.0	0
2002	AAS	0.0	0
2003	AAS	0.0	0
2004	AAS	0.0	0
2005	AAS	0.0	0
2006	AAS	0.0	0
2007	AAS	0.0	0
2008	AAS	0.0	0
2009	AAS	0.0	0
2010	AAS	0.0	0
2011	AAS	0.0	0
2012	AAS	0.0	0
2013	AAS	0.0	0
2014	AAS	0.0	0
2015	AAS	0.0	0
2016	AAS	0.0	0
1996	AGS	0.0	0
1997	AGS	323.0	21
1998	AGS	322.0	17
1999	AGS	19.0	1
2000	AGS	0.0	0
2001	AGS	0.0	0
2002	AGS	0.0	0
2003	AGS	0.0	0
2004	AGS	0.0	0
2005	AGS	0.0	0
2006	AGS	0.0	0
2007	AGS	0.0	0
2008	AGS	0.0	0
2009	AGS	0.0	0
2010	AGS	0.0	0
2011	AGS	0.0	0
2012	AGS	0.0	0
2013	AGS	0.0	0
2014	AGS	0.0	0
2015	AGS	0.0	0
2016	AGS	0.0	0
