date	key	total	value
1996	AA	1085.0	442
1997	AA	57.0	24
1998	AA	50.0	29
1999	AA	1078.0	463
2000	AA	1033.0	421
2001	AA	1090.0	442
2002	AA	1077.0	380
2003	AA	1059.0	339
2004	AA	1121.0	376
2005	AA	1168.0	399
2006	AA	1223.0	401
2007	AA	1226.0	363
2008	AA	1248.0	376
2009	AA	1251.0	398
2010	AA	1466.0	460
2011	AA	1532.0	421
2012	AA	1822.0	491
2013	AA	1798.0	442
2014	AA	1774.0	425
2015	AA	1726.0	403
2016	AA	2004.0	463
1996	AES	1085.0	0
1997	AES	57.0	0
1998	AES	50.0	0
1999	AES	1078.0	0
2000	AES	1033.0	0
2001	AES	1090.0	0
2002	AES	1077.0	0
2003	AES	1059.0	0
2004	AES	1121.0	0
2005	AES	1168.0	0
2006	AES	1223.0	0
2007	AES	1226.0	0
2008	AES	1248.0	0
2009	AES	1251.0	0
2010	AES	1466.0	0
2011	AES	1532.0	0
2012	AES	1822.0	0
2013	AES	1798.0	0
2014	AES	1774.0	0
2015	AES	1726.0	0
2016	AES	2004.0	0
1996	AFA	0.0	0
1997	AFA	57.0	0
1998	AFA	50.0	0
1999	AFA	1078.0	0
2000	AFA	1033.0	0
2001	AFA	1090.0	1
2002	AFA	1077.0	4
2003	AFA	1059.0	1
2004	AFA	1121.0	4
2005	AFA	1168.0	3
2006	AFA	1223.0	0
2007	AFA	1226.0	0
2008	AFA	1248.0	0
2009	AFA	1251.0	1
2010	AFA	1466.0	0
2011	AFA	1532.0	0
2012	AFA	1822.0	2
2013	AFA	1798.0	0
2014	AFA	1774.0	6
2015	AFA	1726.0	6
2016	AFA	2004.0	5
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	1248.0	0
2009	AAT	1251.0	0
2010	AAT	1466.0	2
2011	AAT	1532.0	1
2012	AAT	1822.0	0
2013	AAT	1798.0	0
2014	AAT	1774.0	1
2015	AAT	1726.0	0
2016	AAT	2004.0	0
1996	AS	1085.0	288
1997	AS	57.0	12
1998	AS	50.0	15
1999	AS	1078.0	301
2000	AS	1033.0	284
2001	AS	1090.0	315
2002	AS	1077.0	371
2003	AS	1059.0	386
2004	AS	1121.0	415
2005	AS	1168.0	415
2006	AS	1223.0	479
2007	AS	1226.0	512
2008	AS	1248.0	533
2009	AS	1251.0	495
2010	AS	1466.0	602
2011	AS	1532.0	673
2012	AS	1822.0	856
2013	AS	1798.0	876
2014	AS	1774.0	843
2015	AS	1726.0	863
2016	AS	2004.0	920
1996	AAPS	1085.0	355
1997	AAPS	57.0	21
1998	AAPS	50.0	6
1999	AAPS	1078.0	314
2000	AAPS	1033.0	328
2001	AAPS	1090.0	332
2002	AAPS	1077.0	322
2003	AAPS	1059.0	333
2004	AAPS	1121.0	326
2005	AAPS	1168.0	351
2006	AAPS	1223.0	343
2007	AAPS	1226.0	351
2008	AAPS	1248.0	339
2009	AAPS	1251.0	357
2010	AAPS	1466.0	402
2011	AAPS	1532.0	437
2012	AAPS	1822.0	473
2013	AAPS	1798.0	480
2014	AAPS	1774.0	499
2015	AAPS	1726.0	454
2016	AAPS	2004.0	504
1996	AAS	1085.0	0
1997	AAS	57.0	0
1998	AAS	50.0	0
1999	AAS	1078.0	0
2000	AAS	1033.0	0
2001	AAS	1090.0	0
2002	AAS	1077.0	0
2003	AAS	1059.0	0
2004	AAS	1121.0	0
2005	AAS	1168.0	0
2006	AAS	1223.0	0
2007	AAS	1226.0	0
2008	AAS	1248.0	0
2009	AAS	1251.0	0
2010	AAS	1466.0	0
2011	AAS	1532.0	0
2012	AAS	1822.0	0
2013	AAS	1798.0	0
2014	AAS	1774.0	0
2015	AAS	1726.0	0
2016	AAS	2004.0	0
1996	AGS	1085.0	0
1997	AGS	57.0	0
1998	AGS	50.0	0
1999	AGS	1078.0	0
2000	AGS	1033.0	0
2001	AGS	1090.0	0
2002	AGS	1077.0	0
2003	AGS	1059.0	0
2004	AGS	1121.0	0
2005	AGS	1168.0	0
2006	AGS	1223.0	0
2007	AGS	1226.0	0
2008	AGS	1248.0	0
2009	AGS	1251.0	0
2010	AGS	1466.0	0
2011	AGS	1532.0	0
2012	AGS	1822.0	0
2013	AGS	1798.0	0
2014	AGS	1774.0	0
2015	AGS	1726.0	0
2016	AGS	2004.0	112
