date	key	total	value
1996	AA	277.0	84
1997	AA	947.0	396
1998	AA	1048.0	461
1999	AA	274.0	63
2000	AA	218.0	72
2001	AA	249.0	81
2002	AA	260.0	99
2003	AA	299.0	111
2004	AA	227.0	65
2005	AA	295.0	87
2006	AA	315.0	92
2007	AA	331.0	88
2008	AA	333.0	96
2009	AA	304.0	94
2010	AA	352.0	108
2011	AA	338.0	100
2012	AA	420.0	100
2013	AA	417.0	133
2014	AA	377.0	131
2015	AA	504.0	138
2016	AA	459.0	131
1996	AES	277.0	0
1997	AES	947.0	0
1998	AES	1048.0	0
1999	AES	274.0	0
2000	AES	218.0	0
2001	AES	249.0	0
2002	AES	260.0	0
2003	AES	299.0	0
2004	AES	227.0	0
2005	AES	295.0	0
2006	AES	315.0	0
2007	AES	331.0	0
2008	AES	333.0	0
2009	AES	304.0	0
2010	AES	352.0	0
2011	AES	338.0	0
2012	AES	420.0	0
2013	AES	417.0	0
2014	AES	377.0	0
2015	AES	504.0	0
2016	AES	459.0	0
1996	AFA	0.0	0
1997	AFA	947.0	0
1998	AFA	1048.0	0
1999	AFA	274.0	0
2000	AFA	218.0	0
2001	AFA	249.0	0
2002	AFA	260.0	0
2003	AFA	299.0	3
2004	AFA	227.0	2
2005	AFA	295.0	2
2006	AFA	315.0	4
2007	AFA	331.0	6
2008	AFA	333.0	4
2009	AFA	304.0	2
2010	AFA	352.0	2
2011	AFA	338.0	2
2012	AFA	420.0	5
2013	AFA	417.0	6
2014	AFA	377.0	4
2015	AFA	504.0	3
2016	AFA	459.0	3
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	333.0	0
2009	AAT	304.0	0
2010	AAT	352.0	0
2011	AAT	338.0	0
2012	AAT	420.0	1
2013	AAT	417.0	0
2014	AAT	377.0	0
2015	AAT	504.0	0
2016	AAT	459.0	0
1996	AS	277.0	26
1997	AS	947.0	272
1998	AS	1048.0	284
1999	AS	274.0	19
2000	AS	218.0	16
2001	AS	249.0	30
2002	AS	260.0	28
2003	AS	299.0	28
2004	AS	227.0	13
2005	AS	295.0	17
2006	AS	315.0	20
2007	AS	331.0	28
2008	AS	333.0	29
2009	AS	304.0	35
2010	AS	352.0	45
2011	AS	338.0	60
2012	AS	420.0	73
2013	AS	417.0	66
2014	AS	377.0	80
2015	AS	504.0	94
2016	AS	459.0	122
1996	AAPS	277.0	122
1997	AAPS	947.0	279
1998	AAPS	1048.0	303
1999	AAPS	274.0	139
2000	AAPS	218.0	86
2001	AAPS	249.0	93
2002	AAPS	260.0	101
2003	AAPS	299.0	110
2004	AAPS	227.0	96
2005	AAPS	295.0	113
2006	AAPS	315.0	140
2007	AAPS	331.0	151
2008	AAPS	333.0	139
2009	AAPS	304.0	119
2010	AAPS	352.0	144
2011	AAPS	338.0	123
2012	AAPS	420.0	168
2013	AAPS	417.0	150
2014	AAPS	377.0	120
2015	AAPS	504.0	184
2016	AAPS	459.0	152
1996	AAS	277.0	0
1997	AAS	947.0	0
1998	AAS	1048.0	0
1999	AAS	274.0	0
2000	AAS	218.0	0
2001	AAS	249.0	0
2002	AAS	260.0	0
2003	AAS	299.0	0
2004	AAS	227.0	0
2005	AAS	295.0	0
2006	AAS	315.0	0
2007	AAS	331.0	0
2008	AAS	333.0	0
2009	AAS	304.0	0
2010	AAS	352.0	0
2011	AAS	338.0	0
2012	AAS	420.0	0
2013	AAS	417.0	0
2014	AAS	377.0	0
2015	AAS	504.0	0
2016	AAS	459.0	0
1996	AGS	277.0	45
1997	AGS	947.0	0
1998	AGS	1048.0	0
1999	AGS	274.0	53
2000	AGS	218.0	44
2001	AGS	249.0	45
2002	AGS	260.0	32
2003	AGS	299.0	47
2004	AGS	227.0	51
2005	AGS	295.0	76
2006	AGS	315.0	59
2007	AGS	331.0	58
2008	AGS	333.0	65
2009	AGS	304.0	54
2010	AGS	352.0	53
2011	AGS	338.0	53
2012	AGS	420.0	73
2013	AGS	417.0	62
2014	AGS	377.0	42
2015	AGS	504.0	85
2016	AGS	459.0	51
