date	key	total	value
1996	AA	434.0	214
1997	AA	268.0	92
1998	AA	282.0	79
1999	AA	381.0	226
2000	AA	351.0	190
2001	AA	364.0	202
2002	AA	405.0	225
2003	AA	416.0	238
2004	AA	468.0	259
2005	AA	482.0	256
2006	AA	435.0	222
2007	AA	545.0	267
2008	AA	474.0	265
2009	AA	447.0	228
2010	AA	521.0	286
2011	AA	507.0	288
2012	AA	603.0	328
2013	AA	639.0	367
2014	AA	1325.0	854
2015	AA	760.0	464
2016	AA	784.0	503
1996	AES	434.0	5
1997	AES	268.0	0
1998	AES	282.0	0
1999	AES	381.0	4
2000	AES	351.0	5
2001	AES	364.0	2
2002	AES	405.0	4
2003	AES	416.0	9
2004	AES	468.0	4
2005	AES	482.0	9
2006	AES	435.0	7
2007	AES	545.0	4
2008	AES	474.0	3
2009	AES	447.0	4
2010	AES	521.0	2
2011	AES	507.0	9
2012	AES	603.0	2
2013	AES	639.0	6
2014	AES	1325.0	8
2015	AES	760.0	10
2016	AES	784.0	7
1996	AFA	0.0	0
1997	AFA	268.0	0
1998	AFA	282.0	0
1999	AFA	381.0	0
2000	AFA	351.0	3
2001	AFA	364.0	0
2002	AFA	405.0	1
2003	AFA	416.0	2
2004	AFA	468.0	1
2005	AFA	482.0	0
2006	AFA	435.0	0
2007	AFA	545.0	1
2008	AFA	474.0	1
2009	AFA	447.0	1
2010	AFA	521.0	0
2011	AFA	507.0	2
2012	AFA	603.0	2
2013	AFA	639.0	3
2014	AFA	1325.0	2
2015	AFA	760.0	4
2016	AFA	784.0	3
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	474.0	0
2009	AAT	447.0	0
2010	AAT	521.0	1
2011	AAT	507.0	1
2012	AAT	603.0	5
2013	AAT	639.0	0
2014	AAT	1325.0	1
2015	AAT	760.0	3
2016	AAT	784.0	1
1996	AS	434.0	0
1997	AS	268.0	25
1998	AS	282.0	21
1999	AS	381.0	7
2000	AS	351.0	1
2001	AS	364.0	1
2002	AS	405.0	4
2003	AS	416.0	6
2004	AS	468.0	9
2005	AS	482.0	7
2006	AS	435.0	7
2007	AS	545.0	7
2008	AS	474.0	8
2009	AS	447.0	5
2010	AS	521.0	14
2011	AS	507.0	3
2012	AS	603.0	12
2013	AS	639.0	14
2014	AS	1325.0	12
2015	AS	760.0	12
2016	AS	784.0	22
1996	AAPS	434.0	215
1997	AAPS	268.0	101
1998	AAPS	282.0	112
1999	AAPS	381.0	144
2000	AAPS	351.0	152
2001	AAPS	364.0	159
2002	AAPS	405.0	171
2003	AAPS	416.0	161
2004	AAPS	468.0	195
2005	AAPS	482.0	210
2006	AAPS	435.0	199
2007	AAPS	545.0	266
2008	AAPS	474.0	197
2009	AAPS	447.0	209
2010	AAPS	521.0	218
2011	AAPS	507.0	204
2012	AAPS	603.0	254
2013	AAPS	639.0	249
2014	AAPS	1325.0	448
2015	AAPS	760.0	267
2016	AAPS	784.0	248
1996	AAS	434.0	0
1997	AAS	268.0	0
1998	AAS	282.0	0
1999	AAS	381.0	0
2000	AAS	351.0	0
2001	AAS	364.0	0
2002	AAS	405.0	0
2003	AAS	416.0	0
2004	AAS	468.0	0
2005	AAS	482.0	0
2006	AAS	435.0	0
2007	AAS	545.0	0
2008	AAS	474.0	0
2009	AAS	447.0	0
2010	AAS	521.0	0
2011	AAS	507.0	0
2012	AAS	603.0	0
2013	AAS	639.0	0
2014	AAS	1325.0	0
2015	AAS	760.0	0
2016	AAS	784.0	0
1996	AGS	434.0	0
1997	AGS	268.0	50
1998	AGS	282.0	70
1999	AGS	381.0	0
2000	AGS	351.0	0
2001	AGS	364.0	0
2002	AGS	405.0	0
2003	AGS	416.0	0
2004	AGS	468.0	0
2005	AGS	482.0	0
2006	AGS	435.0	0
2007	AGS	545.0	0
2008	AGS	474.0	0
2009	AGS	447.0	0
2010	AGS	521.0	0
2011	AGS	507.0	0
2012	AGS	603.0	0
2013	AGS	639.0	0
2014	AGS	1325.0	0
2015	AGS	760.0	0
2016	AGS	784.0	0
