date	key	total	value
1996	AA	718.0	162
1997	AA	381.0	177
1998	AA	370.0	196
1999	AA	769.0	233
2000	AA	740.0	186
2001	AA	733.0	179
2002	AA	741.0	176
2003	AA	822.0	169
2004	AA	945.0	190
2005	AA	893.0	161
2006	AA	1070.0	163
2007	AA	960.0	150
2008	AA	903.0	154
2009	AA	982.0	158
2010	AA	818.0	139
2011	AA	828.0	130
2012	AA	807.0	110
2013	AA	773.0	94
2014	AA	789.0	115
2015	AA	730.0	80
2016	AA	816.0	104
1996	AES	718.0	0
1997	AES	381.0	10
1998	AES	370.0	8
1999	AES	769.0	24
2000	AES	740.0	17
2001	AES	733.0	26
2002	AES	741.0	14
2003	AES	822.0	17
2004	AES	945.0	9
2005	AES	893.0	4
2006	AES	1070.0	7
2007	AES	960.0	9
2008	AES	903.0	6
2009	AES	982.0	12
2010	AES	818.0	8
2011	AES	828.0	3
2012	AES	807.0	2
2013	AES	773.0	5
2014	AES	789.0	7
2015	AES	730.0	8
2016	AES	816.0	6
1996	AFA	0.0	0
1997	AFA	381.0	0
1998	AFA	370.0	0
1999	AFA	769.0	10
2000	AFA	740.0	6
2001	AFA	733.0	13
2002	AFA	741.0	11
2003	AFA	822.0	12
2004	AFA	945.0	8
2005	AFA	893.0	7
2006	AFA	1070.0	10
2007	AFA	960.0	12
2008	AFA	903.0	10
2009	AFA	982.0	11
2010	AFA	818.0	6
2011	AFA	828.0	8
2012	AFA	807.0	10
2013	AFA	773.0	6
2014	AFA	789.0	6
2015	AFA	730.0	12
2016	AFA	816.0	17
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	903.0	0
2009	AAT	982.0	0
2010	AAT	818.0	0
2011	AAT	828.0	0
2012	AAT	807.0	0
2013	AAT	773.0	0
2014	AAT	789.0	0
2015	AAT	730.0	0
2016	AAT	816.0	0
1996	AS	718.0	117
1997	AS	381.0	7
1998	AS	370.0	6
1999	AS	769.0	138
2000	AS	740.0	151
2001	AS	733.0	157
2002	AS	741.0	196
2003	AS	822.0	254
2004	AS	945.0	283
2005	AS	893.0	283
2006	AS	1070.0	313
2007	AS	960.0	299
2008	AS	903.0	257
2009	AS	982.0	267
2010	AS	818.0	222
2011	AS	828.0	248
2012	AS	807.0	212
2013	AS	773.0	178
2014	AS	789.0	200
2015	AS	730.0	176
2016	AS	816.0	213
1996	AAPS	718.0	430
1997	AAPS	381.0	187
1998	AAPS	370.0	160
1999	AAPS	769.0	347
2000	AAPS	740.0	351
2001	AAPS	733.0	344
2002	AAPS	741.0	317
2003	AAPS	822.0	340
2004	AAPS	945.0	418
2005	AAPS	893.0	394
2006	AAPS	1070.0	522
2007	AAPS	960.0	420
2008	AAPS	903.0	420
2009	AAPS	982.0	468
2010	AAPS	818.0	388
2011	AAPS	828.0	378
2012	AAPS	807.0	419
2013	AAPS	773.0	426
2014	AAPS	789.0	401
2015	AAPS	730.0	406
2016	AAPS	816.0	405
1996	AAS	718.0	0
1997	AAS	381.0	0
1998	AAS	370.0	0
1999	AAS	769.0	0
2000	AAS	740.0	0
2001	AAS	733.0	0
2002	AAS	741.0	0
2003	AAS	822.0	0
2004	AAS	945.0	0
2005	AAS	893.0	0
2006	AAS	1070.0	0
2007	AAS	960.0	0
2008	AAS	903.0	0
2009	AAS	982.0	0
2010	AAS	818.0	0
2011	AAS	828.0	0
2012	AAS	807.0	0
2013	AAS	773.0	0
2014	AAS	789.0	0
2015	AAS	730.0	0
2016	AAS	816.0	0
1996	AGS	718.0	9
1997	AGS	381.0	0
1998	AGS	370.0	0
1999	AGS	769.0	17
2000	AGS	740.0	29
2001	AGS	733.0	14
2002	AGS	741.0	27
2003	AGS	822.0	30
2004	AGS	945.0	37
2005	AGS	893.0	44
2006	AGS	1070.0	55
2007	AGS	960.0	70
2008	AGS	903.0	56
2009	AGS	982.0	66
2010	AGS	818.0	55
2011	AGS	828.0	61
2012	AGS	807.0	54
2013	AGS	773.0	64
2014	AGS	789.0	60
2015	AGS	730.0	48
2016	AGS	816.0	71
