date	key	total	value
1996	AA	342.0	121
1997	AA	799.0	198
1998	AA	766.0	202
1999	AA	355.0	151
2000	AA	376.0	181
2001	AA	331.0	163
2002	AA	283.0	136
2003	AA	297.0	149
2004	AA	327.0	171
2005	AA	342.0	157
2006	AA	319.0	149
2007	AA	332.0	175
2008	AA	328.0	151
2009	AA	375.0	194
2010	AA	372.0	208
2011	AA	361.0	194
2012	AA	390.0	192
2013	AA	361.0	218
2014	AA	453.0	214
2015	AA	424.0	211
2016	AA	431.0	180
1996	AES	342.0	0
1997	AES	799.0	0
1998	AES	766.0	18
1999	AES	355.0	0
2000	AES	376.0	0
2001	AES	331.0	0
2002	AES	283.0	0
2003	AES	297.0	0
2004	AES	327.0	0
2005	AES	342.0	0
2006	AES	319.0	0
2007	AES	332.0	0
2008	AES	328.0	0
2009	AES	375.0	0
2010	AES	372.0	0
2011	AES	361.0	0
2012	AES	390.0	0
2013	AES	361.0	0
2014	AES	453.0	0
2015	AES	424.0	0
2016	AES	431.0	0
1996	AFA	0.0	0
1997	AFA	799.0	0
1998	AFA	766.0	5
1999	AFA	355.0	0
2000	AFA	376.0	0
2001	AFA	331.0	0
2002	AFA	283.0	0
2003	AFA	297.0	0
2004	AFA	327.0	1
2005	AFA	342.0	2
2006	AFA	319.0	1
2007	AFA	332.0	0
2008	AFA	328.0	1
2009	AFA	375.0	3
2010	AFA	372.0	4
2011	AFA	361.0	2
2012	AFA	390.0	5
2013	AFA	361.0	1
2014	AFA	453.0	1
2015	AFA	424.0	0
2016	AFA	431.0	5
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	328.0	0
2009	AAT	375.0	0
2010	AAT	372.0	0
2011	AAT	361.0	0
2012	AAT	390.0	0
2013	AAT	361.0	0
2014	AAT	453.0	0
2015	AAT	424.0	0
2016	AAT	431.0	0
1996	AS	342.0	37
1997	AS	799.0	144
1998	AS	766.0	143
1999	AS	355.0	34
2000	AS	376.0	27
2001	AS	331.0	21
2002	AS	283.0	23
2003	AS	297.0	32
2004	AS	327.0	29
2005	AS	342.0	23
2006	AS	319.0	31
2007	AS	332.0	30
2008	AS	328.0	39
2009	AS	375.0	42
2010	AS	372.0	30
2011	AS	361.0	38
2012	AS	390.0	53
2013	AS	361.0	41
2014	AS	453.0	61
2015	AS	424.0	69
2016	AS	431.0	93
1996	AAPS	342.0	176
1997	AAPS	799.0	446
1998	AAPS	766.0	385
1999	AAPS	355.0	155
2000	AAPS	376.0	152
2001	AAPS	331.0	139
2002	AAPS	283.0	119
2003	AAPS	297.0	112
2004	AAPS	327.0	123
2005	AAPS	342.0	154
2006	AAPS	319.0	130
2007	AAPS	332.0	121
2008	AAPS	328.0	132
2009	AAPS	375.0	128
2010	AAPS	372.0	124
2011	AAPS	361.0	121
2012	AAPS	390.0	129
2013	AAPS	361.0	94
2014	AAPS	453.0	170
2015	AAPS	424.0	122
2016	AAPS	431.0	137
1996	AAS	342.0	0
1997	AAS	799.0	0
1998	AAS	766.0	0
1999	AAS	355.0	0
2000	AAS	376.0	0
2001	AAS	331.0	0
2002	AAS	283.0	0
2003	AAS	297.0	0
2004	AAS	327.0	0
2005	AAS	342.0	0
2006	AAS	319.0	0
2007	AAS	332.0	0
2008	AAS	328.0	0
2009	AAS	375.0	0
2010	AAS	372.0	0
2011	AAS	361.0	0
2012	AAS	390.0	0
2013	AAS	361.0	0
2014	AAS	453.0	0
2015	AAS	424.0	0
2016	AAS	431.0	0
1996	AGS	342.0	8
1997	AGS	799.0	11
1998	AGS	766.0	13
1999	AGS	355.0	15
2000	AGS	376.0	16
2001	AGS	331.0	8
2002	AGS	283.0	5
2003	AGS	297.0	4
2004	AGS	327.0	3
2005	AGS	342.0	6
2006	AGS	319.0	8
2007	AGS	332.0	6
2008	AGS	328.0	5
2009	AGS	375.0	8
2010	AGS	372.0	6
2011	AGS	361.0	6
2012	AGS	390.0	11
2013	AGS	361.0	7
2014	AGS	453.0	7
2015	AGS	424.0	22
2016	AGS	431.0	16
