date	key	total	value
1996	AA	363.0	126
1997	AA	366.0	151
1998	AA	373.0	165
1999	AA	337.0	138
2000	AA	257.0	118
2001	AA	266.0	130
2002	AA	348.0	154
2003	AA	414.0	167
2004	AA	475.0	234
2005	AA	675.0	246
2006	AA	583.0	223
2007	AA	608.0	223
2008	AA	626.0	243
2009	AA	778.0	241
2010	AA	754.0	261
2011	AA	702.0	210
2012	AA	738.0	209
2013	AA	780.0	231
2014	AA	558.0	203
2015	AA	658.0	223
2016	AA	567.0	189
1996	AES	363.0	0
1997	AES	366.0	0
1998	AES	373.0	0
1999	AES	337.0	0
2000	AES	257.0	0
2001	AES	266.0	0
2002	AES	348.0	0
2003	AES	414.0	0
2004	AES	475.0	1
2005	AES	675.0	0
2006	AES	583.0	2
2007	AES	608.0	4
2008	AES	626.0	3
2009	AES	778.0	1
2010	AES	754.0	7
2011	AES	702.0	4
2012	AES	738.0	3
2013	AES	780.0	3
2014	AES	558.0	1
2015	AES	658.0	2
2016	AES	567.0	3
1996	AFA	0.0	0
1997	AFA	366.0	0
1998	AFA	373.0	0
1999	AFA	337.0	0
2000	AFA	257.0	0
2001	AFA	266.0	0
2002	AFA	348.0	0
2003	AFA	414.0	1
2004	AFA	475.0	1
2005	AFA	675.0	0
2006	AFA	583.0	0
2007	AFA	608.0	2
2008	AFA	626.0	1
2009	AFA	778.0	4
2010	AFA	754.0	0
2011	AFA	702.0	0
2012	AFA	738.0	5
2013	AFA	780.0	4
2014	AFA	558.0	5
2015	AFA	658.0	1
2016	AFA	567.0	7
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	626.0	0
2009	AAT	778.0	0
2010	AAT	754.0	6
2011	AAT	702.0	0
2012	AAT	738.0	9
2013	AAT	780.0	2
2014	AAT	558.0	3
2015	AAT	658.0	0
2016	AAT	567.0	1
1996	AS	363.0	56
1997	AS	366.0	37
1998	AS	373.0	35
1999	AS	337.0	68
2000	AS	257.0	49
2001	AS	266.0	50
2002	AS	348.0	80
2003	AS	414.0	103
2004	AS	475.0	137
2005	AS	675.0	151
2006	AS	583.0	155
2007	AS	608.0	148
2008	AS	626.0	177
2009	AS	778.0	183
2010	AS	754.0	203
2011	AS	702.0	149
2012	AS	738.0	142
2013	AS	780.0	177
2014	AS	558.0	142
2015	AS	658.0	181
2016	AS	567.0	141
1996	AAPS	363.0	181
1997	AAPS	366.0	164
1998	AAPS	373.0	158
1999	AAPS	337.0	131
2000	AAPS	257.0	90
2001	AAPS	266.0	86
2002	AAPS	348.0	114
2003	AAPS	414.0	143
2004	AAPS	475.0	102
2005	AAPS	675.0	278
2006	AAPS	583.0	203
2007	AAPS	608.0	231
2008	AAPS	626.0	202
2009	AAPS	778.0	349
2010	AAPS	754.0	277
2011	AAPS	702.0	339
2012	AAPS	738.0	370
2013	AAPS	780.0	363
2014	AAPS	558.0	204
2015	AAPS	658.0	251
2016	AAPS	567.0	226
1996	AAS	363.0	0
1997	AAS	366.0	0
1998	AAS	373.0	0
1999	AAS	337.0	0
2000	AAS	257.0	0
2001	AAS	266.0	0
2002	AAS	348.0	0
2003	AAS	414.0	0
2004	AAS	475.0	0
2005	AAS	675.0	0
2006	AAS	583.0	0
2007	AAS	608.0	0
2008	AAS	626.0	0
2009	AAS	778.0	0
2010	AAS	754.0	0
2011	AAS	702.0	0
2012	AAS	738.0	0
2013	AAS	780.0	0
2014	AAS	558.0	0
2015	AAS	658.0	0
2016	AAS	567.0	0
1996	AGS	363.0	0
1997	AGS	366.0	14
1998	AGS	373.0	15
1999	AGS	337.0	0
2000	AGS	257.0	0
2001	AGS	266.0	0
2002	AGS	348.0	0
2003	AGS	414.0	0
2004	AGS	475.0	0
2005	AGS	675.0	0
2006	AGS	583.0	0
2007	AGS	608.0	0
2008	AGS	626.0	0
2009	AGS	778.0	0
2010	AGS	754.0	0
2011	AGS	702.0	0
2012	AGS	738.0	0
2013	AGS	780.0	0
2014	AGS	558.0	0
2015	AGS	658.0	0
2016	AGS	567.0	0
