date	key	total	value
1996	AA	335.0	83
1997	AA	378.0	145
1998	AA	353.0	132
1999	AA	319.0	101
2000	AA	280.0	103
2001	AA	281.0	102
2002	AA	311.0	102
2003	AA	324.0	123
2004	AA	345.0	90
2005	AA	308.0	97
2006	AA	246.0	61
2007	AA	302.0	62
2008	AA	284.0	61
2009	AA	290.0	92
2010	AA	272.0	82
2011	AA	611.0	188
2012	AA	401.0	106
2013	AA	365.0	106
2014	AA	377.0	86
2015	AA	354.0	83
2016	AA	339.0	87
1996	AES	335.0	0
1997	AES	378.0	0
1998	AES	353.0	0
1999	AES	319.0	2
2000	AES	280.0	0
2001	AES	281.0	1
2002	AES	311.0	2
2003	AES	324.0	5
2004	AES	345.0	3
2005	AES	308.0	1
2006	AES	246.0	1
2007	AES	302.0	1
2008	AES	284.0	0
2009	AES	290.0	0
2010	AES	272.0	2
2011	AES	611.0	2
2012	AES	401.0	0
2013	AES	365.0	4
2014	AES	377.0	1
2015	AES	354.0	0
2016	AES	339.0	2
1996	AFA	0.0	0
1997	AFA	378.0	0
1998	AFA	353.0	0
1999	AFA	319.0	0
2000	AFA	280.0	0
2001	AFA	281.0	1
2002	AFA	311.0	0
2003	AFA	324.0	0
2004	AFA	345.0	2
2005	AFA	308.0	0
2006	AFA	246.0	0
2007	AFA	302.0	2
2008	AFA	284.0	0
2009	AFA	290.0	0
2010	AFA	272.0	3
2011	AFA	611.0	0
2012	AFA	401.0	0
2013	AFA	365.0	2
2014	AFA	377.0	0
2015	AFA	354.0	0
2016	AFA	339.0	0
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	284.0	0
2009	AAT	290.0	0
2010	AAT	272.0	0
2011	AAT	611.0	0
2012	AAT	401.0	1
2013	AAT	365.0	2
2014	AAT	377.0	0
2015	AAT	354.0	1
2016	AAT	339.0	1
1996	AS	335.0	97
1997	AS	378.0	68
1998	AS	353.0	85
1999	AS	319.0	84
2000	AS	280.0	81
2001	AS	281.0	67
2002	AS	311.0	65
2003	AS	324.0	67
2004	AS	345.0	64
2005	AS	308.0	46
2006	AS	246.0	67
2007	AS	302.0	74
2008	AS	284.0	74
2009	AS	290.0	69
2010	AS	272.0	62
2011	AS	611.0	150
2012	AS	401.0	84
2013	AS	365.0	65
2014	AS	377.0	82
2015	AS	354.0	82
2016	AS	339.0	75
1996	AAPS	335.0	153
1997	AAPS	378.0	165
1998	AAPS	353.0	136
1999	AAPS	319.0	127
2000	AAPS	280.0	91
2001	AAPS	281.0	109
2002	AAPS	311.0	140
2003	AAPS	324.0	127
2004	AAPS	345.0	181
2005	AAPS	308.0	158
2006	AAPS	246.0	109
2007	AAPS	302.0	152
2008	AAPS	284.0	144
2009	AAPS	290.0	115
2010	AAPS	272.0	114
2011	AAPS	611.0	251
2012	AAPS	401.0	159
2013	AAPS	365.0	152
2014	AAPS	377.0	179
2015	AAPS	354.0	159
2016	AAPS	339.0	151
1996	AAS	335.0	0
1997	AAS	378.0	0
1998	AAS	353.0	0
1999	AAS	319.0	0
2000	AAS	280.0	0
2001	AAS	281.0	0
2002	AAS	311.0	0
2003	AAS	324.0	0
2004	AAS	345.0	0
2005	AAS	308.0	0
2006	AAS	246.0	0
2007	AAS	302.0	0
2008	AAS	284.0	0
2009	AAS	290.0	0
2010	AAS	272.0	0
2011	AAS	611.0	0
2012	AAS	401.0	0
2013	AAS	365.0	0
2014	AAS	377.0	0
2015	AAS	354.0	0
2016	AAS	339.0	0
1996	AGS	335.0	2
1997	AGS	378.0	0
1998	AGS	353.0	0
1999	AGS	319.0	5
2000	AGS	280.0	5
2001	AGS	281.0	1
2002	AGS	311.0	2
2003	AGS	324.0	2
2004	AGS	345.0	5
2005	AGS	308.0	6
2006	AGS	246.0	8
2007	AGS	302.0	11
2008	AGS	284.0	5
2009	AGS	290.0	14
2010	AGS	272.0	9
2011	AGS	611.0	20
2012	AGS	401.0	51
2013	AGS	365.0	34
2014	AGS	377.0	29
2015	AGS	354.0	29
2016	AGS	339.0	23
