date	key	total	value
1996	AA	666.0	384
1997	AA	286.0	83
1998	AA	358.0	117
1999	AA	622.0	411
2000	AA	678.0	409
2001	AA	650.0	407
2002	AA	610.0	366
2003	AA	706.0	432
2004	AA	813.0	508
2005	AA	794.0	465
2006	AA	746.0	469
2007	AA	848.0	508
2008	AA	775.0	461
2009	AA	832.0	495
2010	AA	965.0	561
2011	AA	1039.0	638
2012	AA	1024.0	558
2013	AA	1125.0	635
2014	AA	1070.0	595
2015	AA	1028.0	605
2016	AA	1116.0	671
1996	AES	666.0	0
1997	AES	286.0	1
1998	AES	358.0	8
1999	AES	622.0	0
2000	AES	678.0	0
2001	AES	650.0	0
2002	AES	610.0	0
2003	AES	706.0	0
2004	AES	813.0	0
2005	AES	794.0	0
2006	AES	746.0	0
2007	AES	848.0	0
2008	AES	775.0	0
2009	AES	832.0	0
2010	AES	965.0	2
2011	AES	1039.0	0
2012	AES	1024.0	1
2013	AES	1125.0	2
2014	AES	1070.0	9
2015	AES	1028.0	7
2016	AES	1116.0	19
1996	AFA	0.0	0
1997	AFA	286.0	0
1998	AFA	358.0	0
1999	AFA	622.0	0
2000	AFA	678.0	0
2001	AFA	650.0	0
2002	AFA	610.0	0
2003	AFA	706.0	0
2004	AFA	813.0	0
2005	AFA	794.0	0
2006	AFA	746.0	0
2007	AFA	848.0	0
2008	AFA	775.0	0
2009	AFA	832.0	0
2010	AFA	965.0	0
2011	AFA	1039.0	0
2012	AFA	1024.0	0
2013	AFA	1125.0	0
2014	AFA	1070.0	0
2015	AFA	1028.0	0
2016	AFA	1116.0	0
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	775.0	0
2009	AAT	832.0	0
2010	AAT	965.0	0
2011	AAT	1039.0	0
2012	AAT	1024.0	0
2013	AAT	1125.0	1
2014	AAT	1070.0	0
2015	AAT	1028.0	0
2016	AAT	1116.0	0
1996	AS	666.0	95
1997	AS	286.0	76
1998	AS	358.0	94
1999	AS	622.0	86
2000	AS	678.0	99
2001	AS	650.0	72
2002	AS	610.0	71
2003	AS	706.0	69
2004	AS	813.0	80
2005	AS	794.0	89
2006	AS	746.0	78
2007	AS	848.0	96
2008	AS	775.0	97
2009	AS	832.0	104
2010	AS	965.0	134
2011	AS	1039.0	144
2012	AS	1024.0	152
2013	AS	1125.0	181
2014	AS	1070.0	190
2015	AS	1028.0	178
2016	AS	1116.0	216
1996	AAPS	666.0	184
1997	AAPS	286.0	122
1998	AAPS	358.0	135
1999	AAPS	622.0	123
2000	AAPS	678.0	166
2001	AAPS	650.0	170
2002	AAPS	610.0	172
2003	AAPS	706.0	204
2004	AAPS	813.0	224
2005	AAPS	794.0	235
2006	AAPS	746.0	197
2007	AAPS	848.0	243
2008	AAPS	775.0	215
2009	AAPS	832.0	231
2010	AAPS	965.0	267
2011	AAPS	1039.0	257
2012	AAPS	1024.0	310
2013	AAPS	1125.0	306
2014	AAPS	1070.0	276
2015	AAPS	1028.0	237
2016	AAPS	1116.0	209
1996	AAS	666.0	0
1997	AAS	286.0	0
1998	AAS	358.0	0
1999	AAS	622.0	0
2000	AAS	678.0	0
2001	AAS	650.0	0
2002	AAS	610.0	0
2003	AAS	706.0	0
2004	AAS	813.0	0
2005	AAS	794.0	0
2006	AAS	746.0	0
2007	AAS	848.0	0
2008	AAS	775.0	0
2009	AAS	832.0	0
2010	AAS	965.0	0
2011	AAS	1039.0	0
2012	AAS	1024.0	0
2013	AAS	1125.0	0
2014	AAS	1070.0	0
2015	AAS	1028.0	0
2016	AAS	1116.0	0
1996	AGS	666.0	3
1997	AGS	286.0	4
1998	AGS	358.0	4
1999	AGS	622.0	2
2000	AGS	678.0	4
2001	AGS	650.0	1
2002	AGS	610.0	1
2003	AGS	706.0	1
2004	AGS	813.0	1
2005	AGS	794.0	5
2006	AGS	746.0	2
2007	AGS	848.0	1
2008	AGS	775.0	2
2009	AGS	832.0	2
2010	AGS	965.0	1
2011	AGS	1039.0	0
2012	AGS	1024.0	3
2013	AGS	1125.0	0
2014	AGS	1070.0	0
2015	AGS	1028.0	1
2016	AGS	1116.0	1
