date	key	total	value
1996	AA	234.0	52
1997	AA	663.0	386
1998	AA	619.0	370
1999	AA	291.0	71
2000	AA	292.0	67
2001	AA	268.0	65
2002	AA	291.0	69
2003	AA	328.0	77
2004	AA	280.0	62
2005	AA	306.0	80
2006	AA	354.0	74
2007	AA	304.0	66
2008	AA	245.0	70
2009	AA	248.0	63
2010	AA	232.0	53
2011	AA	298.0	63
2012	AA	270.0	66
2013	AA	315.0	61
2014	AA	305.0	59
2015	AA	313.0	61
2016	AA	341.0	78
1996	AES	234.0	0
1997	AES	663.0	0
1998	AES	619.0	0
1999	AES	291.0	0
2000	AES	292.0	0
2001	AES	268.0	0
2002	AES	291.0	0
2003	AES	328.0	0
2004	AES	280.0	0
2005	AES	306.0	0
2006	AES	354.0	0
2007	AES	304.0	0
2008	AES	245.0	0
2009	AES	248.0	0
2010	AES	232.0	0
2011	AES	298.0	0
2012	AES	270.0	0
2013	AES	315.0	1
2014	AES	305.0	0
2015	AES	313.0	1
2016	AES	341.0	0
1996	AFA	0.0	0
1997	AFA	663.0	0
1998	AFA	619.0	0
1999	AFA	291.0	4
2000	AFA	292.0	4
2001	AFA	268.0	2
2002	AFA	291.0	6
2003	AFA	328.0	1
2004	AFA	280.0	0
2005	AFA	306.0	2
2006	AFA	354.0	2
2007	AFA	304.0	2
2008	AFA	245.0	3
2009	AFA	248.0	2
2010	AFA	232.0	2
2011	AFA	298.0	4
2012	AFA	270.0	1
2013	AFA	315.0	3
2014	AFA	305.0	3
2015	AFA	313.0	1
2016	AFA	341.0	1
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	245.0	0
2009	AAT	248.0	0
2010	AAT	232.0	0
2011	AAT	298.0	0
2012	AAT	270.0	0
2013	AAT	315.0	0
2014	AAT	305.0	0
2015	AAT	313.0	0
2016	AAT	341.0	0
1996	AS	234.0	46
1997	AS	663.0	86
1998	AS	619.0	74
1999	AS	291.0	83
2000	AS	292.0	77
2001	AS	268.0	70
2002	AS	291.0	66
2003	AS	328.0	60
2004	AS	280.0	39
2005	AS	306.0	58
2006	AS	354.0	37
2007	AS	304.0	34
2008	AS	245.0	40
2009	AS	248.0	49
2010	AS	232.0	50
2011	AS	298.0	52
2012	AS	270.0	53
2013	AS	315.0	56
2014	AS	305.0	69
2015	AS	313.0	76
2016	AS	341.0	77
1996	AAPS	234.0	127
1997	AAPS	663.0	187
1998	AAPS	619.0	172
1999	AAPS	291.0	109
2000	AAPS	292.0	132
2001	AAPS	268.0	107
2002	AAPS	291.0	130
2003	AAPS	328.0	181
2004	AAPS	280.0	175
2005	AAPS	306.0	158
2006	AAPS	354.0	231
2007	AAPS	304.0	189
2008	AAPS	245.0	126
2009	AAPS	248.0	124
2010	AAPS	232.0	123
2011	AAPS	298.0	174
2012	AAPS	270.0	140
2013	AAPS	315.0	162
2014	AAPS	305.0	138
2015	AAPS	313.0	135
2016	AAPS	341.0	134
1996	AAS	234.0	0
1997	AAS	663.0	0
1998	AAS	619.0	0
1999	AAS	291.0	0
2000	AAS	292.0	0
2001	AAS	268.0	0
2002	AAS	291.0	0
2003	AAS	328.0	0
2004	AAS	280.0	0
2005	AAS	306.0	0
2006	AAS	354.0	0
2007	AAS	304.0	0
2008	AAS	245.0	0
2009	AAS	248.0	0
2010	AAS	232.0	0
2011	AAS	298.0	0
2012	AAS	270.0	0
2013	AAS	315.0	0
2014	AAS	305.0	0
2015	AAS	313.0	0
2016	AAS	341.0	0
1996	AGS	234.0	9
1997	AGS	663.0	4
1998	AGS	619.0	3
1999	AGS	291.0	24
2000	AGS	292.0	12
2001	AGS	268.0	24
2002	AGS	291.0	20
2003	AGS	328.0	9
2004	AGS	280.0	4
2005	AGS	306.0	8
2006	AGS	354.0	10
2007	AGS	304.0	13
2008	AGS	245.0	6
2009	AGS	248.0	10
2010	AGS	232.0	4
2011	AGS	298.0	5
2012	AGS	270.0	10
2013	AGS	315.0	32
2014	AGS	305.0	36
2015	AGS	313.0	39
2016	AGS	341.0	51
