date	key	total	value
1996	AA	299.0	70
1997	AA	270.0	65
1998	AA	241.0	58
1999	AA	243.0	68
2000	AA	237.0	59
2001	AA	260.0	69
2002	AA	256.0	44
2003	AA	234.0	50
2004	AA	218.0	49
2005	AA	257.0	50
2006	AA	259.0	46
2007	AA	274.0	62
2008	AA	249.0	57
2009	AA	274.0	48
2010	AA	253.0	51
2011	AA	266.0	41
2012	AA	289.0	51
2013	AA	278.0	40
2014	AA	292.0	39
2015	AA	305.0	44
2016	AA	278.0	49
1996	AES	299.0	0
1997	AES	270.0	0
1998	AES	241.0	0
1999	AES	243.0	1
2000	AES	237.0	5
2001	AES	260.0	4
2002	AES	256.0	4
2003	AES	234.0	5
2004	AES	218.0	3
2005	AES	257.0	3
2006	AES	259.0	3
2007	AES	274.0	4
2008	AES	249.0	2
2009	AES	274.0	1
2010	AES	253.0	2
2011	AES	266.0	1
2012	AES	289.0	4
2013	AES	278.0	4
2014	AES	292.0	1
2015	AES	305.0	3
2016	AES	278.0	7
1996	AFA	0.0	0
1997	AFA	270.0	0
1998	AFA	241.0	1
1999	AFA	243.0	0
2000	AFA	237.0	0
2001	AFA	260.0	2
2002	AFA	256.0	1
2003	AFA	234.0	0
2004	AFA	218.0	3
2005	AFA	257.0	5
2006	AFA	259.0	2
2007	AFA	274.0	3
2008	AFA	249.0	0
2009	AFA	274.0	0
2010	AFA	253.0	0
2011	AFA	266.0	1
2012	AFA	289.0	3
2013	AFA	278.0	0
2014	AFA	292.0	1
2015	AFA	305.0	1
2016	AFA	278.0	3
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	249.0	0
2009	AAT	274.0	0
2010	AAT	253.0	0
2011	AAT	266.0	0
2012	AAT	289.0	0
2013	AAT	278.0	0
2014	AAT	292.0	0
2015	AAT	305.0	0
2016	AAT	278.0	0
1996	AS	299.0	90
1997	AS	270.0	62
1998	AS	241.0	53
1999	AS	243.0	90
2000	AS	237.0	84
2001	AS	260.0	79
2002	AS	256.0	121
2003	AS	234.0	82
2004	AS	218.0	74
2005	AS	257.0	84
2006	AS	259.0	106
2007	AS	274.0	104
2008	AS	249.0	100
2009	AS	274.0	112
2010	AS	253.0	102
2011	AS	266.0	101
2012	AS	289.0	108
2013	AS	278.0	106
2014	AS	292.0	122
2015	AS	305.0	126
2016	AS	278.0	116
1996	AAPS	299.0	128
1997	AAPS	270.0	123
1998	AAPS	241.0	113
1999	AAPS	243.0	78
2000	AAPS	237.0	80
2001	AAPS	260.0	96
2002	AAPS	256.0	78
2003	AAPS	234.0	91
2004	AAPS	218.0	79
2005	AAPS	257.0	107
2006	AAPS	259.0	93
2007	AAPS	274.0	94
2008	AAPS	249.0	78
2009	AAPS	274.0	100
2010	AAPS	253.0	89
2011	AAPS	266.0	111
2012	AAPS	289.0	114
2013	AAPS	278.0	120
2014	AAPS	292.0	120
2015	AAPS	305.0	117
2016	AAPS	278.0	101
1996	AAS	299.0	0
1997	AAS	270.0	0
1998	AAS	241.0	0
1999	AAS	243.0	0
2000	AAS	237.0	0
2001	AAS	260.0	0
2002	AAS	256.0	0
2003	AAS	234.0	0
2004	AAS	218.0	0
2005	AAS	257.0	0
2006	AAS	259.0	0
2007	AAS	274.0	0
2008	AAS	249.0	0
2009	AAS	274.0	0
2010	AAS	253.0	0
2011	AAS	266.0	0
2012	AAS	289.0	0
2013	AAS	278.0	0
2014	AAS	292.0	0
2015	AAS	305.0	0
2016	AAS	278.0	0
1996	AGS	299.0	11
1997	AGS	270.0	20
1998	AGS	241.0	16
1999	AGS	243.0	6
2000	AGS	237.0	9
2001	AGS	260.0	10
2002	AGS	256.0	8
2003	AGS	234.0	6
2004	AGS	218.0	10
2005	AGS	257.0	8
2006	AGS	259.0	9
2007	AGS	274.0	7
2008	AGS	249.0	12
2009	AGS	274.0	13
2010	AGS	253.0	9
2011	AGS	266.0	11
2012	AGS	289.0	9
2013	AGS	278.0	8
2014	AGS	292.0	9
2015	AGS	305.0	14
2016	AGS	278.0	2
