date	key	total	value
1996	AA	237.0	85
1997	AA	255.0	68
1998	AA	300.0	68
1999	AA	206.0	100
2000	AA	224.0	131
2001	AA	212.0	120
2002	AA	86.0	51
2003	AA	232.0	120
2004	AA	212.0	115
2005	AA	174.0	87
2006	AA	220.0	124
2007	AA	254.0	138
2008	AA	241.0	126
2009	AA	264.0	140
2010	AA	271.0	149
2011	AA	275.0	144
2012	AA	310.0	166
2013	AA	345.0	190
2014	AA	303.0	172
2015	AA	294.0	160
2016	AA	284.0	138
1996	AES	237.0	0
1997	AES	255.0	0
1998	AES	300.0	0
1999	AES	206.0	0
2000	AES	224.0	0
2001	AES	212.0	0
2002	AES	86.0	1
2003	AES	232.0	0
2004	AES	212.0	0
2005	AES	174.0	0
2006	AES	220.0	1
2007	AES	254.0	0
2008	AES	241.0	0
2009	AES	264.0	1
2010	AES	271.0	0
2011	AES	275.0	0
2012	AES	310.0	0
2013	AES	345.0	0
2014	AES	303.0	0
2015	AES	294.0	0
2016	AES	284.0	0
1996	AFA	0.0	0
1997	AFA	255.0	0
1998	AFA	300.0	0
1999	AFA	206.0	1
2000	AFA	224.0	1
2001	AFA	212.0	0
2002	AFA	86.0	0
2003	AFA	232.0	0
2004	AFA	212.0	1
2005	AFA	174.0	1
2006	AFA	220.0	1
2007	AFA	254.0	0
2008	AFA	241.0	0
2009	AFA	264.0	1
2010	AFA	271.0	9
2011	AFA	275.0	1
2012	AFA	310.0	0
2013	AFA	345.0	0
2014	AFA	303.0	0
2015	AFA	294.0	0
2016	AFA	284.0	0
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	241.0	0
2009	AAT	264.0	0
2010	AAT	271.0	0
2011	AAT	275.0	0
2012	AAT	310.0	0
2013	AAT	345.0	0
2014	AAT	303.0	0
2015	AAT	294.0	0
2016	AAT	284.0	0
1996	AS	237.0	43
1997	AS	255.0	75
1998	AS	300.0	103
1999	AS	206.0	32
2000	AS	224.0	29
2001	AS	212.0	36
2002	AS	86.0	10
2003	AS	232.0	33
2004	AS	212.0	32
2005	AS	174.0	26
2006	AS	220.0	34
2007	AS	254.0	47
2008	AS	241.0	29
2009	AS	264.0	41
2010	AS	271.0	55
2011	AS	275.0	47
2012	AS	310.0	45
2013	AS	345.0	60
2014	AS	303.0	58
2015	AS	294.0	65
2016	AS	284.0	64
1996	AAPS	237.0	103
1997	AAPS	255.0	102
1998	AAPS	300.0	126
1999	AAPS	206.0	67
2000	AAPS	224.0	59
2001	AAPS	212.0	51
2002	AAPS	86.0	17
2003	AAPS	232.0	73
2004	AAPS	212.0	53
2005	AAPS	174.0	53
2006	AAPS	220.0	54
2007	AAPS	254.0	62
2008	AAPS	241.0	77
2009	AAPS	264.0	73
2010	AAPS	271.0	55
2011	AAPS	275.0	73
2012	AAPS	310.0	78
2013	AAPS	345.0	64
2014	AAPS	303.0	55
2015	AAPS	294.0	51
2016	AAPS	284.0	58
1996	AAS	237.0	0
1997	AAS	255.0	0
1998	AAS	300.0	0
1999	AAS	206.0	0
2000	AAS	224.0	0
2001	AAS	212.0	0
2002	AAS	86.0	0
2003	AAS	232.0	0
2004	AAS	212.0	0
2005	AAS	174.0	0
2006	AAS	220.0	0
2007	AAS	254.0	0
2008	AAS	241.0	0
2009	AAS	264.0	0
2010	AAS	271.0	0
2011	AAS	275.0	0
2012	AAS	310.0	0
2013	AAS	345.0	0
2014	AAS	303.0	0
2015	AAS	294.0	0
2016	AAS	284.0	0
1996	AGS	237.0	6
1997	AGS	255.0	10
1998	AGS	300.0	3
1999	AGS	206.0	6
2000	AGS	224.0	4
2001	AGS	212.0	5
2002	AGS	86.0	7
2003	AGS	232.0	6
2004	AGS	212.0	11
2005	AGS	174.0	7
2006	AGS	220.0	6
2007	AGS	254.0	7
2008	AGS	241.0	9
2009	AGS	264.0	8
2010	AGS	271.0	3
2011	AGS	275.0	10
2012	AGS	310.0	21
2013	AGS	345.0	31
2014	AGS	303.0	18
2015	AGS	294.0	18
2016	AGS	284.0	24
