date	key	total	value
1996	AA	505.0	106
1997	AA	231.0	104
1998	AA	243.0	107
1999	AA	447.0	103
2000	AA	404.0	108
2001	AA	428.0	105
2002	AA	365.0	100
2003	AA	443.0	129
2004	AA	401.0	129
2005	AA	480.0	131
2006	AA	443.0	124
2007	AA	396.0	116
2008	AA	395.0	114
2009	AA	361.0	116
2010	AA	399.0	123
2011	AA	400.0	105
2012	AA	392.0	93
2013	AA	390.0	95
2014	AA	369.0	110
2015	AA	315.0	94
2016	AA	404.0	136
1996	AES	505.0	0
1997	AES	231.0	0
1998	AES	243.0	1
1999	AES	447.0	0
2000	AES	404.0	5
2001	AES	428.0	1
2002	AES	365.0	3
2003	AES	443.0	6
2004	AES	401.0	1
2005	AES	480.0	0
2006	AES	443.0	2
2007	AES	396.0	1
2008	AES	395.0	0
2009	AES	361.0	0
2010	AES	399.0	0
2011	AES	400.0	1
2012	AES	392.0	3
2013	AES	390.0	1
2014	AES	369.0	0
2015	AES	315.0	0
2016	AES	404.0	0
1996	AFA	0.0	0
1997	AFA	231.0	0
1998	AFA	243.0	0
1999	AFA	447.0	1
2000	AFA	404.0	1
2001	AFA	428.0	6
2002	AFA	365.0	0
2003	AFA	443.0	5
2004	AFA	401.0	2
2005	AFA	480.0	3
2006	AFA	443.0	2
2007	AFA	396.0	1
2008	AFA	395.0	3
2009	AFA	361.0	2
2010	AFA	399.0	2
2011	AFA	400.0	4
2012	AFA	392.0	1
2013	AFA	390.0	3
2014	AFA	369.0	4
2015	AFA	315.0	2
2016	AFA	404.0	4
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	395.0	0
2009	AAT	361.0	0
2010	AAT	399.0	0
2011	AAT	400.0	0
2012	AAT	392.0	0
2013	AAT	390.0	0
2014	AAT	369.0	0
2015	AAT	315.0	0
2016	AAT	404.0	0
1996	AS	505.0	124
1997	AS	231.0	38
1998	AS	243.0	46
1999	AS	447.0	105
2000	AS	404.0	84
2001	AS	428.0	91
2002	AS	365.0	64
2003	AS	443.0	101
2004	AS	401.0	88
2005	AS	480.0	112
2006	AS	443.0	98
2007	AS	396.0	101
2008	AS	395.0	95
2009	AS	361.0	101
2010	AS	399.0	112
2011	AS	400.0	101
2012	AS	392.0	104
2013	AS	390.0	108
2014	AS	369.0	110
2015	AS	315.0	104
2016	AS	404.0	114
1996	AAPS	505.0	275
1997	AAPS	231.0	80
1998	AAPS	243.0	80
1999	AAPS	447.0	238
2000	AAPS	404.0	206
2001	AAPS	428.0	225
2002	AAPS	365.0	198
2003	AAPS	443.0	202
2004	AAPS	401.0	181
2005	AAPS	480.0	234
2006	AAPS	443.0	217
2007	AAPS	396.0	177
2008	AAPS	395.0	183
2009	AAPS	361.0	142
2010	AAPS	399.0	162
2011	AAPS	400.0	189
2012	AAPS	392.0	191
2013	AAPS	390.0	183
2014	AAPS	369.0	145
2015	AAPS	315.0	112
2016	AAPS	404.0	138
1996	AAS	505.0	0
1997	AAS	231.0	0
1998	AAS	243.0	0
1999	AAS	447.0	0
2000	AAS	404.0	0
2001	AAS	428.0	0
2002	AAS	365.0	0
2003	AAS	443.0	0
2004	AAS	401.0	0
2005	AAS	480.0	0
2006	AAS	443.0	0
2007	AAS	396.0	0
2008	AAS	395.0	0
2009	AAS	361.0	0
2010	AAS	399.0	0
2011	AAS	400.0	0
2012	AAS	392.0	0
2013	AAS	390.0	0
2014	AAS	369.0	0
2015	AAS	315.0	0
2016	AAS	404.0	0
1996	AGS	505.0	0
1997	AGS	231.0	9
1998	AGS	243.0	9
1999	AGS	447.0	0
2000	AGS	404.0	0
2001	AGS	428.0	0
2002	AGS	365.0	0
2003	AGS	443.0	0
2004	AGS	401.0	0
2005	AGS	480.0	0
2006	AGS	443.0	0
2007	AGS	396.0	0
2008	AGS	395.0	0
2009	AGS	361.0	0
2010	AGS	399.0	0
2011	AGS	400.0	0
2012	AGS	392.0	0
2013	AGS	390.0	0
2014	AGS	369.0	0
2015	AGS	315.0	3
2016	AGS	404.0	12
