date	key	total	value
1996	AA	291.0	71
1997	AA	466.0	96
1998	AA	484.0	106
1999	AA	262.0	66
2000	AA	305.0	81
2001	AA	320.0	94
2002	AA	245.0	80
2003	AA	253.0	100
2004	AA	237.0	88
2005	AA	259.0	87
2006	AA	243.0	79
2007	AA	222.0	60
2008	AA	230.0	73
2009	AA	247.0	69
2010	AA	185.0	59
2011	AA	196.0	83
2012	AA	224.0	87
2013	AA	238.0	68
2014	AA	214.0	74
2015	AA	276.0	86
2016	AA	294.0	101
1996	AES	291.0	0
1997	AES	466.0	0
1998	AES	484.0	1
1999	AES	262.0	0
2000	AES	305.0	3
2001	AES	320.0	6
2002	AES	245.0	0
2003	AES	253.0	1
2004	AES	237.0	2
2005	AES	259.0	3
2006	AES	243.0	5
2007	AES	222.0	0
2008	AES	230.0	4
2009	AES	247.0	0
2010	AES	185.0	0
2011	AES	196.0	3
2012	AES	224.0	1
2013	AES	238.0	3
2014	AES	214.0	8
2015	AES	276.0	2
2016	AES	294.0	3
1996	AFA	0.0	0
1997	AFA	466.0	0
1998	AFA	484.0	0
1999	AFA	262.0	0
2000	AFA	305.0	0
2001	AFA	320.0	0
2002	AFA	245.0	0
2003	AFA	253.0	0
2004	AFA	237.0	0
2005	AFA	259.0	0
2006	AFA	243.0	0
2007	AFA	222.0	0
2008	AFA	230.0	0
2009	AFA	247.0	0
2010	AFA	185.0	0
2011	AFA	196.0	0
2012	AFA	224.0	0
2013	AFA	238.0	0
2014	AFA	214.0	0
2015	AFA	276.0	0
2016	AFA	294.0	0
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	230.0	1
2009	AAT	247.0	0
2010	AAT	185.0	0
2011	AAT	196.0	0
2012	AAT	224.0	0
2013	AAT	238.0	0
2014	AAT	214.0	0
2015	AAT	276.0	0
2016	AAT	294.0	0
1996	AS	291.0	52
1997	AS	466.0	95
1998	AS	484.0	121
1999	AS	262.0	58
2000	AS	305.0	58
2001	AS	320.0	81
2002	AS	245.0	56
2003	AS	253.0	65
2004	AS	237.0	67
2005	AS	259.0	54
2006	AS	243.0	65
2007	AS	222.0	53
2008	AS	230.0	58
2009	AS	247.0	69
2010	AS	185.0	49
2011	AS	196.0	51
2012	AS	224.0	65
2013	AS	238.0	63
2014	AS	214.0	67
2015	AS	276.0	84
2016	AS	294.0	97
1996	AAPS	291.0	145
1997	AAPS	466.0	275
1998	AAPS	484.0	256
1999	AAPS	262.0	128
2000	AAPS	305.0	145
2001	AAPS	320.0	121
2002	AAPS	245.0	93
2003	AAPS	253.0	77
2004	AAPS	237.0	65
2005	AAPS	259.0	90
2006	AAPS	243.0	83
2007	AAPS	222.0	90
2008	AAPS	230.0	87
2009	AAPS	247.0	107
2010	AAPS	185.0	76
2011	AAPS	196.0	59
2012	AAPS	224.0	67
2013	AAPS	238.0	102
2014	AAPS	214.0	65
2015	AAPS	276.0	103
2016	AAPS	294.0	92
1996	AAS	291.0	0
1997	AAS	466.0	0
1998	AAS	484.0	0
1999	AAS	262.0	0
2000	AAS	305.0	0
2001	AAS	320.0	0
2002	AAS	245.0	0
2003	AAS	253.0	0
2004	AAS	237.0	0
2005	AAS	259.0	0
2006	AAS	243.0	0
2007	AAS	222.0	0
2008	AAS	230.0	0
2009	AAS	247.0	0
2010	AAS	185.0	0
2011	AAS	196.0	0
2012	AAS	224.0	0
2013	AAS	238.0	0
2014	AAS	214.0	0
2015	AAS	276.0	0
2016	AAS	294.0	0
1996	AGS	291.0	23
1997	AGS	466.0	0
1998	AGS	484.0	0
1999	AGS	262.0	10
2000	AGS	305.0	18
2001	AGS	320.0	18
2002	AGS	245.0	16
2003	AGS	253.0	10
2004	AGS	237.0	15
2005	AGS	259.0	25
2006	AGS	243.0	11
2007	AGS	222.0	19
2008	AGS	230.0	7
2009	AGS	247.0	2
2010	AGS	185.0	1
2011	AGS	196.0	0
2012	AGS	224.0	4
2013	AGS	238.0	2
2014	AGS	214.0	0
2015	AGS	276.0	1
2016	AGS	294.0	1
