date	key	total	value
1996	AA	189.0	84
1997	AA	255.0	76
1998	AA	264.0	72
1999	AA	1116.0	401
2000	AA	1094.0	408
2001	AA	1066.0	392
2002	AA	1188.0	466
2003	AA	1133.0	465
2004	AA	1096.0	405
2005	AA	1065.0	401
2006	AA	1420.0	557
2007	AA	1071.0	373
2008	AA	1248.0	418
2009	AA	1117.0	378
2010	AA	1338.0	439
2011	AA	1304.0	457
2012	AA	1340.0	434
2013	AA	1398.0	456
2014	AA	1354.0	434
2015	AA	1423.0	469
2016	AA	1306.0	388
1996	AES	189.0	0
1997	AES	255.0	0
1998	AES	264.0	0
1999	AES	1116.0	0
2000	AES	1094.0	0
2001	AES	1066.0	0
2002	AES	1188.0	0
2003	AES	1133.0	0
2004	AES	1096.0	0
2005	AES	1065.0	0
2006	AES	1420.0	1
2007	AES	1071.0	0
2008	AES	1248.0	0
2009	AES	1117.0	0
2010	AES	1338.0	0
2011	AES	1304.0	1
2012	AES	1340.0	3
2013	AES	1398.0	8
2014	AES	1354.0	5
2015	AES	1423.0	6
2016	AES	1306.0	7
1996	AFA	0.0	0
1997	AFA	255.0	0
1998	AFA	264.0	0
1999	AFA	1116.0	0
2000	AFA	1094.0	1
2001	AFA	1066.0	5
2002	AFA	1188.0	6
2003	AFA	1133.0	6
2004	AFA	1096.0	6
2005	AFA	1065.0	8
2006	AFA	1420.0	22
2007	AFA	1071.0	16
2008	AFA	1248.0	12
2009	AFA	1117.0	9
2010	AFA	1338.0	14
2011	AFA	1304.0	19
2012	AFA	1340.0	29
2013	AFA	1398.0	15
2014	AFA	1354.0	15
2015	AFA	1423.0	21
2016	AFA	1306.0	20
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	1248.0	0
2009	AAT	1117.0	0
2010	AAT	1338.0	1
2011	AAT	1304.0	0
2012	AAT	1340.0	0
2013	AAT	1398.0	0
2014	AAT	1354.0	0
2015	AAT	1423.0	0
2016	AAT	1306.0	0
1996	AS	189.0	38
1997	AS	255.0	54
1998	AS	264.0	67
1999	AS	1116.0	248
2000	AS	1094.0	273
2001	AS	1066.0	226
2002	AS	1188.0	229
2003	AS	1133.0	214
2004	AS	1096.0	199
2005	AS	1065.0	214
2006	AS	1420.0	261
2007	AS	1071.0	188
2008	AS	1248.0	247
2009	AS	1117.0	238
2010	AS	1338.0	252
2011	AS	1304.0	262
2012	AS	1340.0	250
2013	AS	1398.0	278
2014	AS	1354.0	282
2015	AS	1423.0	291
2016	AS	1306.0	322
1996	AAPS	189.0	49
1997	AAPS	255.0	125
1998	AAPS	264.0	112
1999	AAPS	1116.0	467
2000	AAPS	1094.0	412
2001	AAPS	1066.0	443
2002	AAPS	1188.0	487
2003	AAPS	1133.0	448
2004	AAPS	1096.0	486
2005	AAPS	1065.0	441
2006	AAPS	1420.0	576
2007	AAPS	1071.0	493
2008	AAPS	1248.0	571
2009	AAPS	1117.0	491
2010	AAPS	1338.0	628
2011	AAPS	1304.0	564
2012	AAPS	1340.0	623
2013	AAPS	1398.0	638
2014	AAPS	1354.0	614
2015	AAPS	1423.0	636
2016	AAPS	1306.0	567
1996	AAS	189.0	0
1997	AAS	255.0	0
1998	AAS	264.0	0
1999	AAS	1116.0	0
2000	AAS	1094.0	0
2001	AAS	1066.0	0
2002	AAS	1188.0	0
2003	AAS	1133.0	0
2004	AAS	1096.0	0
2005	AAS	1065.0	0
2006	AAS	1420.0	0
2007	AAS	1071.0	0
2008	AAS	1248.0	0
2009	AAS	1117.0	0
2010	AAS	1338.0	0
2011	AAS	1304.0	0
2012	AAS	1340.0	0
2013	AAS	1398.0	0
2014	AAS	1354.0	0
2015	AAS	1423.0	0
2016	AAS	1306.0	0
1996	AGS	189.0	18
1997	AGS	255.0	0
1998	AGS	264.0	13
1999	AGS	1116.0	0
2000	AGS	1094.0	0
2001	AGS	1066.0	0
2002	AGS	1188.0	0
2003	AGS	1133.0	0
2004	AGS	1096.0	0
2005	AGS	1065.0	1
2006	AGS	1420.0	3
2007	AGS	1071.0	1
2008	AGS	1248.0	0
2009	AGS	1117.0	1
2010	AGS	1338.0	4
2011	AGS	1304.0	1
2012	AGS	1340.0	1
2013	AGS	1398.0	3
2014	AGS	1354.0	4
2015	AGS	1423.0	0
2016	AGS	1306.0	2
