date	key	total	value
1996	AA	111.0	38
1997	AA	233.0	97
1998	AA	227.0	103
1999	AA	214.0	82
2000	AA	222.0	103
2001	AA	192.0	98
2002	AA	195.0	101
2003	AA	217.0	104
2004	AA	201.0	79
2005	AA	274.0	108
2006	AA	269.0	123
2007	AA	259.0	109
2008	AA	232.0	98
2009	AA	216.0	71
2010	AA	217.0	44
2011	AA	235.0	13
2012	AA	191.0	4
2013	AA	228.0	2
2014	AA	242.0	0
2015	AA	219.0	0
2016	AA	206.0	0
1996	AES	111.0	0
1997	AES	233.0	0
1998	AES	227.0	0
1999	AES	214.0	0
2000	AES	222.0	0
2001	AES	192.0	0
2002	AES	195.0	0
2003	AES	217.0	0
2004	AES	201.0	0
2005	AES	274.0	0
2006	AES	269.0	0
2007	AES	259.0	0
2008	AES	232.0	0
2009	AES	216.0	0
2010	AES	217.0	0
2011	AES	235.0	0
2012	AES	191.0	0
2013	AES	228.0	0
2014	AES	242.0	0
2015	AES	219.0	0
2016	AES	206.0	0
1996	AFA	0.0	0
1997	AFA	233.0	0
1998	AFA	227.0	0
1999	AFA	214.0	0
2000	AFA	222.0	0
2001	AFA	192.0	0
2002	AFA	195.0	0
2003	AFA	217.0	0
2004	AFA	201.0	0
2005	AFA	274.0	0
2006	AFA	269.0	0
2007	AFA	259.0	0
2008	AFA	232.0	0
2009	AFA	216.0	0
2010	AFA	217.0	0
2011	AFA	235.0	0
2012	AFA	191.0	0
2013	AFA	228.0	0
2014	AFA	242.0	0
2015	AFA	219.0	0
2016	AFA	206.0	0
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	232.0	1
2009	AAT	216.0	0
2010	AAT	217.0	2
2011	AAT	235.0	2
2012	AAT	191.0	0
2013	AAT	228.0	3
2014	AAT	242.0	0
2015	AAT	219.0	0
2016	AAT	206.0	0
1996	AS	111.0	24
1997	AS	233.0	49
1998	AS	227.0	51
1999	AS	214.0	48
2000	AS	222.0	51
2001	AS	192.0	36
2002	AS	195.0	51
2003	AS	217.0	48
2004	AS	201.0	57
2005	AS	274.0	53
2006	AS	269.0	58
2007	AS	259.0	71
2008	AS	232.0	68
2009	AS	216.0	33
2010	AS	217.0	16
2011	AS	235.0	6
2012	AS	191.0	4
2013	AS	228.0	0
2014	AS	242.0	0
2015	AS	219.0	0
2016	AS	206.0	0
1996	AAPS	111.0	49
1997	AAPS	233.0	67
1998	AAPS	227.0	68
1999	AAPS	214.0	75
2000	AAPS	222.0	60
2001	AAPS	192.0	46
2002	AAPS	195.0	36
2003	AAPS	217.0	56
2004	AAPS	201.0	57
2005	AAPS	274.0	94
2006	AAPS	269.0	70
2007	AAPS	259.0	60
2008	AAPS	232.0	51
2009	AAPS	216.0	66
2010	AAPS	217.0	57
2011	AAPS	235.0	41
2012	AAPS	191.0	55
2013	AAPS	228.0	57
2014	AAPS	242.0	66
2015	AAPS	219.0	43
2016	AAPS	206.0	35
1996	AAS	111.0	0
1997	AAS	233.0	0
1998	AAS	227.0	0
1999	AAS	214.0	0
2000	AAS	222.0	0
2001	AAS	192.0	0
2002	AAS	195.0	0
2003	AAS	217.0	0
2004	AAS	201.0	0
2005	AAS	274.0	0
2006	AAS	269.0	0
2007	AAS	259.0	0
2008	AAS	232.0	0
2009	AAS	216.0	27
2010	AAS	217.0	84
2011	AAS	235.0	142
2012	AAS	191.0	104
2013	AAS	228.0	149
2014	AAS	242.0	149
2015	AAS	219.0	158
2016	AAS	206.0	149
1996	AGS	111.0	0
1997	AGS	233.0	20
1998	AGS	227.0	5
1999	AGS	214.0	9
2000	AGS	222.0	8
2001	AGS	192.0	12
2002	AGS	195.0	7
2003	AGS	217.0	9
2004	AGS	201.0	8
2005	AGS	274.0	19
2006	AGS	269.0	18
2007	AGS	259.0	19
2008	AGS	232.0	14
2009	AGS	216.0	19
2010	AGS	217.0	14
2011	AGS	235.0	31
2012	AGS	191.0	24
2013	AGS	228.0	17
2014	AGS	242.0	27
2015	AGS	219.0	18
2016	AGS	206.0	22
