date	key	total	value
1996	AA	23317.0	7413
1997	AA	23010.0	7676
1998	AA	23393.0	7972
1999	AA	22446.0	7827
2000	AA	22477.0	7861
2001	AA	22121.0	7798
2002	AA	21717.0	7711
2003	AA	22977.0	8278
2004	AA	23640.0	8548
2005	AA	25158.0	8812
2006	AA	25740.0	8873
2007	AA	25707.0	8756
2008	AA	25130.0	8659
2009	AA	26460.0	8888
2010	AA	27839.0	9635
2011	AA	29790.0	9887
2012	AA	32470.0	10634
2013	AA	33667.0	11242
2014	AA	34785.0	11569
2015	AA	35070.0	11756
2016	AA	35463.0	12009
1996	AES	23317.0	32
1997	AES	23010.0	31
1998	AES	23393.0	72
1999	AES	22446.0	76
2000	AES	22477.0	84
2001	AES	22121.0	92
2002	AES	21717.0	93
2003	AES	22977.0	110
2004	AES	23640.0	103
2005	AES	25158.0	85
2006	AES	25740.0	91
2007	AES	25707.0	99
2008	AES	25130.0	105
2009	AES	26460.0	94
2010	AES	27839.0	104
2011	AES	29790.0	114
2012	AES	32470.0	138
2013	AES	33667.0	183
2014	AES	34785.0	217
2015	AES	35070.0	226
2016	AES	35463.0	252
1996	AFA	0.0	0
1997	AFA	23010.0	1
1998	AFA	23393.0	9
1999	AFA	22446.0	33
2000	AFA	22477.0	57
2001	AFA	22121.0	54
2002	AFA	21717.0	58
2003	AFA	22977.0	74
2004	AFA	23640.0	62
2005	AFA	25158.0	73
2006	AFA	25740.0	78
2007	AFA	25707.0	78
2008	AFA	25130.0	76
2009	AFA	26460.0	70
2010	AFA	27839.0	89
2011	AFA	29790.0	86
2012	AFA	32470.0	112
2013	AFA	33667.0	102
2014	AFA	34785.0	131
2015	AFA	35070.0	109
2016	AFA	35463.0	112
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	25130.0	2
2009	AAT	26460.0	2
2010	AAT	27839.0	18
2011	AAT	29790.0	15
2012	AAT	32470.0	29
2013	AAT	33667.0	18
2014	AAT	34785.0	13
2015	AAT	35070.0	11
2016	AAT	35463.0	9
1996	AS	23317.0	4762
1997	AS	23010.0	4914
1998	AS	23393.0	4703
1999	AS	22446.0	4498
2000	AS	22477.0	4272
2001	AS	22121.0	4103
2002	AS	21717.0	4068
2003	AS	22977.0	4250
2004	AS	23640.0	4363
2005	AS	25158.0	4459
2006	AS	25740.0	4643
2007	AS	25707.0	4703
2008	AS	25130.0	4778
2009	AS	26460.0	4868
2010	AS	27839.0	5058
2011	AS	29790.0	5412
2012	AS	32470.0	6015
2013	AS	33667.0	6460
2014	AS	34785.0	6952
2015	AS	35070.0	7570
2016	AS	35463.0	8208
1996	AAPS	23317.0	9769
1997	AAPS	23010.0	9188
1998	AAPS	23393.0	9260
1999	AAPS	22446.0	8608
2000	AAPS	22477.0	8604
2001	AAPS	22121.0	8371
2002	AAPS	21717.0	8145
2003	AAPS	22977.0	8508
2004	AAPS	23640.0	8746
2005	AAPS	25158.0	9742
2006	AAPS	25740.0	9934
2007	AAPS	25707.0	9891
2008	AAPS	25130.0	9390
2009	AAPS	26460.0	10213
2010	AAPS	27839.0	10573
2011	AAPS	29790.0	11317
2012	AAPS	32470.0	12217
2013	AAPS	33667.0	11921
2014	AAPS	34785.0	11555
2015	AAPS	35070.0	11309
2016	AAPS	35463.0	11014
1996	AAS	23317.0	526
1997	AAS	23010.0	466
1998	AAS	23393.0	592
1999	AAS	22446.0	560
2000	AAS	22477.0	578
2001	AAS	22121.0	797
2002	AAS	21717.0	831
2003	AAS	22977.0	887
2004	AAS	23640.0	946
2005	AAS	25158.0	989
2006	AAS	25740.0	1052
2007	AAS	25707.0	995
2008	AAS	25130.0	1008
2009	AAS	26460.0	986
2010	AAS	27839.0	1090
2011	AAS	29790.0	1236
2012	AAS	32470.0	1137
2013	AAS	33667.0	966
2014	AAS	34785.0	642
2015	AAS	35070.0	553
2016	AAS	35463.0	585
1996	AGS	23317.0	815
1997	AGS	23010.0	734
1998	AGS	23393.0	785
1999	AGS	22446.0	844
2000	AGS	22477.0	1021
2001	AGS	22121.0	906
2002	AGS	21717.0	811
2003	AGS	22977.0	870
2004	AGS	23640.0	872
2005	AGS	25158.0	998
2006	AGS	25740.0	1069
2007	AGS	25707.0	1185
2008	AGS	25130.0	1112
2009	AGS	26460.0	1339
2010	AGS	27839.0	1272
2011	AGS	29790.0	1723
2012	AGS	32470.0	2188
2013	AGS	33667.0	2775
2014	AGS	34785.0	3706
2015	AGS	35070.0	3536
2016	AGS	35463.0	3274
