date	key	total	value
1996	AA	805.0	121
1997	AA	710.0	135
1998	AA	700.0	134
1999	AA	678.0	143
2000	AA	727.0	153
2001	AA	664.0	150
2002	AA	735.0	188
2003	AA	686.0	224
2004	AA	665.0	185
2005	AA	751.0	213
2006	AA	738.0	187
2007	AA	825.0	209
2008	AA	788.0	210
2009	AA	814.0	220
2010	AA	847.0	237
2011	AA	1004.0	223
2012	AA	1046.0	278
2013	AA	956.0	272
2014	AA	746.0	210
2015	AA	786.0	226
2016	AA	878.0	261
1996	AES	805.0	0
1997	AES	710.0	0
1998	AES	700.0	0
1999	AES	678.0	0
2000	AES	727.0	0
2001	AES	664.0	0
2002	AES	735.0	1
2003	AES	686.0	1
2004	AES	665.0	0
2005	AES	751.0	0
2006	AES	738.0	0
2007	AES	825.0	0
2008	AES	788.0	0
2009	AES	814.0	0
2010	AES	847.0	0
2011	AES	1004.0	0
2012	AES	1046.0	0
2013	AES	956.0	0
2014	AES	746.0	0
2015	AES	786.0	0
2016	AES	878.0	0
1996	AFA	0.0	0
1997	AFA	710.0	0
1998	AFA	700.0	0
1999	AFA	678.0	0
2000	AFA	727.0	0
2001	AFA	664.0	1
2002	AFA	735.0	1
2003	AFA	686.0	1
2004	AFA	665.0	1
2005	AFA	751.0	0
2006	AFA	738.0	2
2007	AFA	825.0	2
2008	AFA	788.0	0
2009	AFA	814.0	0
2010	AFA	847.0	0
2011	AFA	1004.0	2
2012	AFA	1046.0	0
2013	AFA	956.0	0
2014	AFA	746.0	1
2015	AFA	786.0	0
2016	AFA	878.0	0
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	788.0	0
2009	AAT	814.0	1
2010	AAT	847.0	1
2011	AAT	1004.0	0
2012	AAT	1046.0	1
2013	AAT	956.0	0
2014	AAT	746.0	0
2015	AAT	786.0	0
2016	AAT	878.0	1
1996	AS	805.0	127
1997	AS	710.0	107
1998	AS	700.0	107
1999	AS	678.0	108
2000	AS	727.0	99
2001	AS	664.0	89
2002	AS	735.0	115
2003	AS	686.0	99
2004	AS	665.0	89
2005	AS	751.0	124
2006	AS	738.0	116
2007	AS	825.0	140
2008	AS	788.0	130
2009	AS	814.0	135
2010	AS	847.0	149
2011	AS	1004.0	162
2012	AS	1046.0	160
2013	AS	956.0	181
2014	AS	746.0	143
2015	AS	786.0	155
2016	AS	878.0	211
1996	AAPS	805.0	540
1997	AAPS	710.0	445
1998	AAPS	700.0	445
1999	AAPS	678.0	406
2000	AAPS	727.0	447
2001	AAPS	664.0	398
2002	AAPS	735.0	411
2003	AAPS	686.0	333
2004	AAPS	665.0	362
2005	AAPS	751.0	374
2006	AAPS	738.0	381
2007	AAPS	825.0	385
2008	AAPS	788.0	364
2009	AAPS	814.0	340
2010	AAPS	847.0	358
2011	AAPS	1004.0	476
2012	AAPS	1046.0	427
2013	AAPS	956.0	369
2014	AAPS	746.0	295
2015	AAPS	786.0	295
2016	AAPS	878.0	318
1996	AAS	805.0	0
1997	AAS	710.0	0
1998	AAS	700.0	0
1999	AAS	678.0	0
2000	AAS	727.0	0
2001	AAS	664.0	0
2002	AAS	735.0	0
2003	AAS	686.0	0
2004	AAS	665.0	0
2005	AAS	751.0	0
2006	AAS	738.0	0
2007	AAS	825.0	0
2008	AAS	788.0	0
2009	AAS	814.0	0
2010	AAS	847.0	0
2011	AAS	1004.0	0
2012	AAS	1046.0	0
2013	AAS	956.0	0
2014	AAS	746.0	0
2015	AAS	786.0	0
2016	AAS	878.0	0
1996	AGS	805.0	17
1997	AGS	710.0	23
1998	AGS	700.0	14
1999	AGS	678.0	21
2000	AGS	727.0	28
2001	AGS	664.0	26
2002	AGS	735.0	19
2003	AGS	686.0	28
2004	AGS	665.0	28
2005	AGS	751.0	40
2006	AGS	738.0	52
2007	AGS	825.0	89
2008	AGS	788.0	84
2009	AGS	814.0	118
2010	AGS	847.0	102
2011	AGS	1004.0	141
2012	AGS	1046.0	180
2013	AGS	956.0	134
2014	AGS	746.0	97
2015	AGS	786.0	110
2016	AGS	878.0	87
