date	key	total	value
1996	AA	416.0	56
1997	AA	453.0	69
1998	AA	483.0	74
1999	AA	460.0	63
2000	AA	449.0	79
2001	AA	433.0	73
2002	AA	424.0	85
2003	AA	499.0	104
2004	AA	550.0	137
2005	AA	447.0	125
2006	AA	521.0	124
2007	AA	516.0	103
2008	AA	635.0	125
2009	AA	705.0	124
2010	AA	722.0	152
2011	AA	791.0	171
2012	AA	1033.0	243
2013	AA	1115.0	254
2014	AA	1041.0	234
2015	AA	1094.0	264
2016	AA	1028.0	241
1996	AES	416.0	0
1997	AES	453.0	0
1998	AES	483.0	0
1999	AES	460.0	0
2000	AES	449.0	0
2001	AES	433.0	0
2002	AES	424.0	0
2003	AES	499.0	0
2004	AES	550.0	0
2005	AES	447.0	0
2006	AES	521.0	0
2007	AES	516.0	0
2008	AES	635.0	1
2009	AES	705.0	0
2010	AES	722.0	3
2011	AES	791.0	3
2012	AES	1033.0	2
2013	AES	1115.0	2
2014	AES	1041.0	1
2015	AES	1094.0	1
2016	AES	1028.0	4
1996	AFA	0.0	0
1997	AFA	453.0	0
1998	AFA	483.0	0
1999	AFA	460.0	0
2000	AFA	449.0	0
2001	AFA	433.0	0
2002	AFA	424.0	0
2003	AFA	499.0	0
2004	AFA	550.0	0
2005	AFA	447.0	0
2006	AFA	521.0	0
2007	AFA	516.0	1
2008	AFA	635.0	0
2009	AFA	705.0	2
2010	AFA	722.0	1
2011	AFA	791.0	1
2012	AFA	1033.0	1
2013	AFA	1115.0	0
2014	AFA	1041.0	0
2015	AFA	1094.0	2
2016	AFA	1028.0	0
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	635.0	0
2009	AAT	705.0	0
2010	AAT	722.0	0
2011	AAT	791.0	0
2012	AAT	1033.0	0
2013	AAT	1115.0	0
2014	AAT	1041.0	0
2015	AAT	1094.0	0
2016	AAT	1028.0	0
1996	AS	416.0	215
1997	AS	453.0	240
1998	AS	483.0	257
1999	AS	460.0	269
2000	AS	449.0	236
2001	AS	433.0	238
2002	AS	424.0	216
2003	AS	499.0	274
2004	AS	550.0	259
2005	AS	447.0	178
2006	AS	521.0	219
2007	AS	516.0	231
2008	AS	635.0	301
2009	AS	705.0	341
2010	AS	722.0	319
2011	AS	791.0	358
2012	AS	1033.0	486
2013	AS	1115.0	526
2014	AS	1041.0	505
2015	AS	1094.0	519
2016	AS	1028.0	520
1996	AAPS	416.0	136
1997	AAPS	453.0	130
1998	AAPS	483.0	135
1999	AAPS	460.0	114
2000	AAPS	449.0	121
2001	AAPS	433.0	110
2002	AAPS	424.0	102
2003	AAPS	499.0	97
2004	AAPS	550.0	137
2005	AAPS	447.0	116
2006	AAPS	521.0	155
2007	AAPS	516.0	156
2008	AAPS	635.0	183
2009	AAPS	705.0	210
2010	AAPS	722.0	219
2011	AAPS	791.0	218
2012	AAPS	1033.0	258
2013	AAPS	1115.0	270
2014	AAPS	1041.0	247
2015	AAPS	1094.0	242
2016	AAPS	1028.0	226
1996	AAS	416.0	0
1997	AAS	453.0	0
1998	AAS	483.0	0
1999	AAS	460.0	0
2000	AAS	449.0	0
2001	AAS	433.0	0
2002	AAS	424.0	0
2003	AAS	499.0	0
2004	AAS	550.0	0
2005	AAS	447.0	0
2006	AAS	521.0	0
2007	AAS	516.0	0
2008	AAS	635.0	0
2009	AAS	705.0	0
2010	AAS	722.0	0
2011	AAS	791.0	0
2012	AAS	1033.0	0
2013	AAS	1115.0	0
2014	AAS	1041.0	0
2015	AAS	1094.0	0
2016	AAS	1028.0	0
1996	AGS	416.0	9
1997	AGS	453.0	14
1998	AGS	483.0	17
1999	AGS	460.0	14
2000	AGS	449.0	13
2001	AGS	433.0	12
2002	AGS	424.0	21
2003	AGS	499.0	24
2004	AGS	550.0	17
2005	AGS	447.0	28
2006	AGS	521.0	23
2007	AGS	516.0	25
2008	AGS	635.0	25
2009	AGS	705.0	28
2010	AGS	722.0	28
2011	AGS	791.0	40
2012	AGS	1033.0	43
2013	AGS	1115.0	63
2014	AGS	1041.0	54
2015	AGS	1094.0	66
2016	AGS	1028.0	37
