year	Belleville	Black Hawk	Chicago	Danville	DuPage	Elgin	Harper	Heartland	Highland	Illinois Central	Illinois Eastern	Illinois Valley	Joliet	Kankakee	Kaskaskia	Kishwaukee	Lake County	Lake Land	Lewis & Clark	Lincoln Land	Logan	McHenry	Metropolitan	Moraine Valley	Morton	Oakton	Parkland	Prairie State	Rend Lake	Rest of state	Richland	Rock Valley	Sandburg	Sauk Valley	Shawnee	South Suburban	Southeastern	Southwestern	Spoon River	Statewide	Triton	Waubonsee	Wood
1996	0.38	0.43	0.43	0.59	0.34	0.34	0.31	0.13	0.28	0.42	0.48	0.31	0.44	0.59	0.49	0.32	0.37	0.55	0.5	0.43	0.39	0.14		0.33	0.44	0.5	0.6	0.51	0.5	0.42	0.46	0.28	0.54	0.43	0.43	0.54	0.5	0.26	0.44	0.42	0.67	0.33	0.53
1997		0.4	0.43	0.39	0.55	0.33	0.32	0.29	0.13	0.26	0.4	0.48	0.31	0.46	0.62	0.48	0.33	0.37	0.5	0.47	0.37	0.41	0.17	0.37	0.29	0.38	0.49	0.56	0.45	0.4	0.44	0.43	0.28	0.46	0.4	0.35	0.59	0.49	0.29	0.4	0.63	0.29	0.54
1998		0.4	0.45	0.39	0.53	0.34	0.36	0.35	0.13	0.2	0.41	0.46	0.3	0.44	0.61	0.49	0.32	0.42	0.48	0.49	0.35	0.4	0.17	0.12	0.29	0.4	0.43	0.5	0.42	0.39	0.39	0.38	0.28	0.47	0.42	0.33	0.53	0.42	0.3	0.4	0.64	0.28	0.45
1999		0.38	0.41	0.52	0.33	0.32	0.35	0.11	0.13	0.41	0.48	0.27	0.45	0.61	0.48	0.28	0.35	0.49	0.45	0.31	0.44	0.18	0.37	0.29	0.51	0.38	0.45	0.44	0.39	0.38	0.4	0.2	0.37	0.32	0.33	0.53	0.49	0.42	0.35	0.38	0.6	0.25	0.43
2000		0.43	0.36	0.52	0.35	0.31	0.39	0.11	0.16	0.38	0.42	0.28	0.5	0.56	0.44	0.29	0.35	0.53	0.43	0.35	0.38	0.2		0.32	0.39	0.43	0.47	0.4	0.35	0.38	0.33	0.24	0.45	0.34	0.26	0.51	0.48	0.38	0.27	0.38	0.61	0.27	0.39
2001		0.39	0.33	0.56	0.35	0.37	0.29	0.11	0.32	0.4	0.45	0.29	0.52	0.52	0.46	0.31	0.35	0.44	0.38	0.34	0.38	0.22		0.3	0.37	0.44	0.47	0.42	0.32	0.38	0.39	0.26	0.4	0.37	0.24	0.53	0.38	0.42	0.24	0.38	0.6	0.25	0.45
2002		0.33	0.37	0.49	0.38	0.29	0.32	0.13	0.35	0.39	0.5	0.23	0.51	0.55	0.45	0.24	0.35	0.47	0.43	0.33	0.42	0.19		0.3	0.39	0.42	0.43	0.42	0.33	0.38	0.45	0.28	0.45	0.3	0.2	0.54	0.38	0.41	0.18	0.38	0.56	0.24	0.31
2003		0.37	0.4	0.54	0.39	0.28	0.37	0.09	0.34	0.39	0.4	0.23	0.48	0.48	0.5	0.26	0.37	0.46	0.39	0.31	0.43	0.18		0.31	0.37	0.39	0.41	0.38	0.35	0.37	0.39	0.29	0.55	0.39	0.31	0.46	0.3	0.4	0.26	0.37	0.49	0.19	0.36
2004		0.34	0.4	0.48	0.39	0.33	0.34	0.06	0.34	0.37	0.39	0.3	0.47	0.5	0.62	0.27	0.39	0.32	0.36	0.28	0.37	0.18		0.29	0.42	0.42	0.44	0.38	0.21	0.37	0.52	0.28	0.63	0.36	0.25	0.45	0.27	0.44	0.28	0.37	0.54	0.25	0.35
2005		0.38	0.39	0.41	0.41	0.31	0.35	0.11	0.32	0.42	0.4	0.33	0.51	0.53	0.57	0.28	0.37	0.48	0.37	0.26	0.42	0.17		0.3	0.38	0.44	0.44	0.45	0.41	0.39	0.51	0.3	0.52	0.42	0.3	0.49	0.35	0.41	0.34	0.39	0.5	0.26	0.39
2006		0.4	0.42	0.55	0.44	0.34	0.37	0.13	0.29	0.38	0.38	0.32	0.49	0.51	0.52	0.3	0.35	0.46	0.36	0.29	0.37	0.18		0.28	0.44	0.46	0.49	0.41	0.35	0.38	0.44	0.26	0.65	0.36	0.25	0.49	0.34	0.41	0.26	0.39	0.52	0.3	0.4
2007		0.37	0.4	0.44	0.41	0.37	0.44	0.11	0.26	0.39	0.42	0.28	0.42	0.54	0.54	0.24	0.38	0.44	0.41	0.25	0.44	0.17		0.29	0.46	0.49	0.44	0.36	0.38	0.38	0.5	0.29	0.62	0.34	0.24	0.45	0.41	0.46	0.23	0.38	0.47	0.3	0.39
2008		0.37	0.34	0.5	0.38	0.35	0.35	0.13	0.28	0.37	0.39	0.35	0.43	0.55	0.51	0.25	0.36	0.48	0.41	0.31	0.42	0.25		0.27	0.42	0.42	0.47	0.4	0.32	0.38	0.51	0.28	0.51	0.31	0.32	0.46	0.38	0.46	0.22	0.37	0.46	0.29	0.41
2009		0.39	0.4	0.5	0.39	0.37	0.36	0.13	0.31	0.39	0.34	0.3	0.47	0.55	0.55	0.3	0.39	0.44	0.47	0.26	0.56	0.24		0.29	0.39	0.47	0.48	0.34	0.45	0.38	0.4	0.28	0.5	0.36	0.28	0.39	0.43	0.44	0.31	0.39	0.42	0.3	0.29
2010		0.39	0.45	0.55	0.39	0.35	0.3	0.13	0.35	0.4	0.4	0.31	0.46	0.54	0.48	0.29	0.4	0.46	0.45	0.29	0.37	0.27		0.27	0.41	0.42	0.47	0.33	0.37	0.37	0.42	0.28	0.53	0.35	0.2	0.41	0.41	0.47	0.26	0.38	0.42	0.3	0.42
2011		0.41	0.38	0.51	0.4	0.37	0.3	0.14	0.41	0.39	0.46	0.32	0.43	0.56	0.51	0.33	0.35	0.5	0.47	0.25	0.45	0.25		0.29	0.36	0.4	0.46	0.34	0.48	0.38	0.41	0.25	0.58	0.42	0.27	0.47	0.3	0.43	0.17	0.38	0.47	0.28	0.43
2012		0.34	0.38	0.55	0.4	0.36	0.28	0.14	0.41	0.41	0.46	0.34	0.44	0.6	0.48	0.3	0.34	0.47	0.48	0.26	0.43	0.26		0.26	0.4	0.42	0.52	0.33	0.5	0.38	0.4	0.3	0.52	0.39	0.25	0.49	0.3	0.46	0.29	0.38	0.41	0.25	0.4
2013		0.37	0.32	0.4	0.38	0.33	0.29	0.15	0.41	0.36	0.41	0.35	0.44	0.43	0.44	0.35	0.29	0.43	0.52	0.24	0.35	0.25		0.27	0.36	0.39	0.55	0.26	0.47	0.36	0.42	0.27	0.51	0.43	0.19	0.47	0.43	0.46	0.25	0.35	0.39	0.24	0.36
2014		0.39	0.25	0.48	0.32	0.33	0.26	0.12	0.36	0.36	0.35	0.31	0.46	0.48	0.47	0.3	0.28	0.43	0.44	0.23	0.34	0.29		0.28	0.32	0.34	0.51	0.38	0.37	0.34	0.47	0.26	0.45	0.41	0.18	0.39	0.3	0.45	0.27	0.33	0.4	0.24	0.37
2015		0.39	0.22	0.44	0.31	0.31	0.3	0.11	0.31	0.34	0.4	0.3	0.38	0.52	0.51	0.33	0.29	0.4	0.46	0.22	0.51	0.29		0.26	0.37	0.35	0.56	0.29	0.38	0.34	0.45	0.23	0.43	0.38	0.17	0.36	0.37	0.45	0.2	0.32	0.38	0.22	0.3
2016		0.36	0.2	0.43	0.32	0.32	0.26	0.12	0.34	0.34	0.43	0.27	0.41	0.49	0.47	0.32	0.29	0.4	0.4	0.22	0.55	0.27		0.25	0.33	0.32	0.5	0.32	0.4	0.33	0.45	0.19	0.39	0.36	0.2	0.34	0.31	0.43	0.17	0.31	0.36	0.22	0.33
