year	Belleville	Black Hawk	Chicago	Danville	DuPage	Elgin	Harper	Heartland	Highland	Illinois Central	Illinois Eastern	Illinois Valley	Joliet	Kankakee	Kaskaskia	Kishwaukee	Lake County	Lake Land	Lewis & Clark	Lincoln Land	Logan	McHenry	Metropolitan	Moraine Valley	Morton	Oakton	Parkland	Prairie State	Rend Lake	Rest of state	Richland	Rock Valley	Sandburg	Sauk Valley	Shawnee	South Suburban	Southeastern	Southwestern	Spoon River	Statewide	Triton	Waubonsee	Wood
1996	0.0	0.04	0.09	0.0	0.05	0.01	0.0	0.0	0.03	0.09	0.05	0.13	0.03	0.09	0.04	0.0	0.0	0.02	0.0	0.0	0.0	0.04		0.0	0.16	0.0	0.01	0.02	0.0	0.03	0.01	0.0	0.04	0.04	0.03	0.0	0.08	0.1	0.0	0.03	0.02	0.02	0.0
1997		0.0	0.04	0.08	0.0	0.04	0.0	0.0	0.0	0.02	0.08	0.04	0.12	0.02	0.1	0.04	0.0	0.0	0.02	0.0	0.0	0.0	0.07	0.0	0.0	0.19	0.0	0.01	0.04	0.03	0.0	0.01	0.01	0.07	0.04	0.04	0.0	0.0	0.09	0.03	0.03	0.03	0.01
1998		0.0	0.02	0.1	0.0	0.05	0.0	0.0	0.0	0.01	0.11	0.05	0.1	0.01	0.1	0.03	0.0	0.0	0.02	0.0	0.0	0.0	0.05	0.0	0.0	0.25	0.0	0.02	0.04	0.03	0.0	0.01	0.0	0.07	0.01	0.04	0.0	0.05	0.02	0.03	0.02	0.04	0.01
1999		0.05	0.11	0.0	0.07	0.01	0.0	0.0	0.06	0.1	0.05	0.1	0.02	0.08	0.03	0.0	0.0	0.05	0.0	0.0	0.0	0.07	0.05	0.0	0.19	0.0	0.02	0.04	0.0	0.03	0.02	0.0	0.08	0.02	0.03	0.0	0.04	0.0	0.04	0.04	0.03	0.03	0.02
2000		0.02	0.16	0.0	0.06	0.01	0.0	0.0	0.04	0.09	0.09	0.11	0.03	0.11	0.03	0.0	0.0	0.06	0.0	0.04	0.01	0.08		0.0	0.2	0.0	0.04	0.04	0.0	0.03	0.02	0.01	0.04	0.04	0.02	0.0	0.06	0.0	0.04	0.05	0.04	0.03	0.01
2001		0.01	0.12	0.0	0.08	0.01	0.0	0.0	0.03	0.08	0.08	0.09	0.03	0.11	0.06	0.0	0.0	0.07	0.01	0.03	0.0	0.09		0.0	0.18	0.0	0.02	0.02	0.0	0.03	0.0	0.0	0.09	0.04	0.02	0.0	0.06	0.0	0.06	0.04	0.04	0.03	0.0
2002		0.03	0.1	0.0	0.06	0.01	0.0	0.0	0.03	0.09	0.07	0.04	0.03	0.13	0.07	0.0	0.0	0.07	0.0	0.04	0.01	0.05		0.0	0.12	0.0	0.04	0.02	0.0	0.03	0.01	0.0	0.07	0.03	0.08	0.0	0.07	0.0	0.04	0.04	0.03	0.05	0.0
2003		0.03	0.05	0.0	0.07	0.05	0.0	0.0	0.03	0.09	0.15	0.04	0.05	0.09	0.02	0.0	0.0	0.08	0.02	0.04	0.01	0.07		0.0	0.16	0.0	0.04	0.01	0.0	0.04	0.01	0.0	0.03	0.03	0.03	0.0	0.04	0.0	0.04	0.04	0.04	0.05	0.0
2004		0.02	0.03	0.0	0.07	0.04	0.0	0.0	0.04	0.09	0.1	0.03	0.07	0.1	0.03	0.0	0.0	0.1	0.02	0.05	0.01	0.09		0.0	0.22	0.0	0.04	0.01	0.0	0.04	0.01	0.0	0.01	0.05	0.05	0.0	0.06	0.0	0.04	0.04	0.04	0.03	0.0
2005		0.01	0.04	0.0	0.08	0.05	0.0	0.0	0.03	0.08	0.1	0.03	0.07	0.1	0.03	0.0	0.0	0.05	0.05	0.06	0.0	0.08		0.0	0.26	0.0	0.05	0.02	0.0	0.04	0.02	0.01	0.03	0.03	0.04	0.0	0.1	0.0	0.07	0.04	0.05	0.06	0.01
2006		0.02	0.05	0.05	0.08	0.06	0.0	0.0	0.04	0.09	0.1	0.03	0.1	0.08	0.03	0.0	0.0	0.09	0.02	0.05	0.0	0.1		0.0	0.19	0.0	0.05	0.03	0.0	0.04	0.03	0.0	0.03	0.03	0.03	0.0	0.05	0.0	0.07	0.04	0.07	0.04	0.0
2007		0.01	0.05	0.1	0.09	0.05	0.0	0.0	0.04	0.1	0.12	0.04	0.11	0.09	0.04	0.0	0.0	0.07	0.02	0.07	0.0	0.07		0.0	0.18	0.0	0.07	0.02	0.0	0.05	0.04	0.0	0.04	0.03	0.03	0.0	0.09	0.0	0.07	0.05	0.11	0.05	0.01
2008		0.01	0.05	0.08	0.08	0.05	0.0	0.0	0.05	0.13	0.1	0.03	0.12	0.06	0.04	0.0	0.0	0.06	0.0	0.06	0.0	0.05		0.0	0.2	0.0	0.06	0.02	0.0	0.04	0.02	0.0	0.02	0.05	0.04	0.0	0.03	0.0	0.06	0.04	0.11	0.04	0.0
2009		0.01	0.07	0.07	0.1	0.05	0.01	0.0	0.04	0.13	0.14	0.03	0.12	0.08	0.03	0.0	0.0	0.08	0.01	0.07	0.0	0.07		0.0	0.18	0.0	0.07	0.02	0.0	0.05	0.05	0.0	0.04	0.05	0.03	0.0	0.01	0.0	0.09	0.05	0.14	0.04	0.0
2010		0.0	0.06	0.06	0.09	0.06	0.03	0.0	0.03	0.11	0.12	0.03	0.11	0.07	0.04	0.0	0.0	0.07	0.01	0.05	0.0	0.08		0.0	0.15	0.0	0.07	0.02	0.0	0.04	0.03	0.0	0.02	0.04	0.01	0.0	0.01	0.0	0.06	0.05	0.12	0.04	0.0
2011		0.01	0.1	0.09	0.1	0.07	0.02	0.0	0.02	0.11	0.11	0.03	0.18	0.09	0.05	0.0	0.0	0.1	0.03	0.08	0.03	0.08		0.0	0.16	0.0	0.07	0.02	0.0	0.05	0.03	0.0	0.02	0.04	0.04	0.0	0.0	0.0	0.13	0.06	0.14	0.05	0.0
2012		0.01	0.16	0.09	0.1	0.07	0.02	0.0	0.02	0.1	0.12	0.04	0.14	0.1	0.08	0.0	0.0	0.15	0.02	0.08	0.05	0.09		0.0	0.17	0.0	0.07	0.03	0.0	0.06	0.13	0.0	0.04	0.03	0.07	0.0	0.02	0.0	0.13	0.07	0.17	0.04	0.0
2013		0.0	0.24	0.16	0.09	0.04	0.02	0.0	0.03	0.12	0.13	0.04	0.1	0.19	0.11	0.0	0.0	0.2	0.02	0.09	0.28	0.06		0.0	0.15	0.0	0.08	0.02	0.0	0.06	0.09	0.0	0.1	0.03	0.09	0.0	0.01	0.0	0.07	0.08	0.14	0.06	0.0
