key,value,date
AA,226,2016
AS,129,2016
AAS,0,2016
AAT,1,2016
AES,0,2016
AFA,0,2016
AGS,3,2016
AAPS,200,2016
AA,221,2015
AS,127,2015
AAS,0,2015
AAT,0,2015
AES,0,2015
AFA,0,2015
AGS,1,2015
AAPS,222,2015
AA,256,2014
AS,152,2014
AAS,0,2014
AAT,0,2014
AES,0,2014
AFA,0,2014
AGS,1,2014
AAPS,258,2014
AA,233,2013
AS,122,2013
AAS,0,2013
AAT,3,2013
AES,0,2013
AFA,0,2013
AGS,0,2013
AAPS,211,2013
AA,230,2012
AS,118,2012
AAS,0,2012
AAT,3,2012
AES,0,2012
AFA,0,2012
AGS,4,2012
AAPS,185,2012
AA,197,2011
AS,75,2011
AAS,0,2011
AAT,2,2011
AES,0,2011
AFA,0,2011
AGS,4,2011
AAPS,194,2011
AA,228,2010
AS,80,2010
AAS,0,2010
AAT,2,2010
AES,0,2010
AFA,0,2010
AGS,2,2010
AAPS,196,2010
AA,237,2009
AS,86,2009
AAS,0,2009
AAT,0,2009
AES,0,2009
AFA,0,2009
AGS,4,2009
AAPS,206,2009
AA,268,2008
AS,87,2008
AAS,0,2008
AAT,0,2008
AES,0,2008
AFA,0,2008
AGS,6,2008
AAPS,214,2008
AA,281,2007
AS,96,2007
AAS,0,2007
AES,0,2007
AFA,0,2007
AGS,5,2007
AAPS,225,2007
AA,266,2006
AS,90,2006
AAS,0,2006
AES,0,2006
AFA,0,2006
AGS,11,2006
AAPS,243,2006
AA,251,2005
AS,100,2005
AAS,0,2005
AES,0,2005
AFA,0,2005
AGS,5,2005
AAPS,222,2005
AA,279,2004
AS,79,2004
AAS,0,2004
AES,0,2004
AFA,0,2004
AGS,14,2004
AAPS,190,2004
AA,264,2003
AS,80,2003
AAS,0,2003
AES,0,2003
AFA,0,2003
AGS,17,2003
AAPS,215,2003
AA,269,2002
AS,82,2002
AAS,0,2002
AES,0,2002
AFA,0,2002
AGS,17,2002
AAPS,182,2002
AA,219,2001
AS,88,2001
AAS,0,2001
AES,0,2001
AFA,0,2001
AGS,7,2001
AAPS,205,2001
AA,273,2000
AS,64,2000
AAS,0,2000
AES,0,2000
AFA,0,2000
AGS,11,2000
AAPS,261,2000
AA,255,1999
AS,76,1999
AAS,0,1999
AES,0,1999
AFA,0,1999
AGS,26,1999
AAPS,220,1999
AA,415,1998
AS,271,1998
AAS,0,1998
AES,0,1998
AFA,0,1998
AGS,0,1998
AAPS,456,1998
AA,416,1997
AS,307,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,0,1997
AAPS,473,1997
AA,250,1996
AS,65,1996
AAS,0,1996
AES,0,1996
AGS,22,1996
AAPS,258,1996
