key,value,date
AA,2073,2016
AS,889,2016
AAS,0,2016
AAT,0,2016
AES,18,2016
AFA,5,2016
AGS,1047,2016
AAPS,980,2016
AA,2099,2015
AS,574,2015
AAS,0,2015
AAT,0,2015
AES,19,2015
AFA,4,2015
AGS,1186,2015
AAPS,1068,2015
AA,1523,2014
AS,254,2014
AAS,0,2014
AAT,0,2014
AES,27,2014
AFA,11,2014
AGS,1429,2014
AAPS,1106,2014
AA,1410,2013
AS,213,2013
AAS,0,2013
AAT,1,2013
AES,25,2013
AFA,5,2013
AGS,897,2013
AAPS,1228,2013
AA,1360,2012
AS,175,2012
AAS,0,2012
AAT,0,2012
AES,8,2012
AFA,1,2012
AGS,517,2012
AAPS,1262,2012
AA,1115,2011
AS,164,2011
AAS,0,2011
AAT,0,2011
AES,13,2011
AFA,4,2011
AGS,248,2011
AAPS,950,2011
AA,1111,2010
AS,134,2010
AAS,0,2010
AAT,0,2010
AES,12,2010
AFA,0,2010
AGS,158,2010
AAPS,1141,2010
AA,1019,2009
AS,201,2009
AAS,0,2009
AAT,0,2009
AES,14,2009
AFA,3,2009
AGS,168,2009
AAPS,956,2009
AA,919,2008
AS,170,2008
AAS,0,2008
AAT,0,2008
AES,18,2008
AFA,4,2008
AGS,85,2008
AAPS,607,2008
AA,980,2007
AS,173,2007
AAS,0,2007
AES,11,2007
AFA,3,2007
AGS,110,2007
AAPS,845,2007
AA,865,2006
AS,135,2006
AAS,0,2006
AES,8,2006
AFA,3,2006
AGS,86,2006
AAPS,787,2006
AA,958,2005
AS,141,2005
AAS,0,2005
AES,19,2005
AFA,1,2005
AGS,82,2005
AAPS,769,2005
AA,903,2004
AS,144,2004
AAS,0,2004
AES,11,2004
AFA,0,2004
AGS,65,2004
AAPS,761,2004
AA,741,2003
AS,110,2003
AAS,0,2003
AES,15,2003
AFA,0,2003
AGS,87,2003
AAPS,630,2003
AA,713,2002
AS,98,2002
AAS,0,2002
AES,9,2002
AFA,1,2002
AGS,160,2002
AAPS,571,2002
AA,739,2001
AS,126,2001
AAS,0,2001
AES,2,2001
AFA,0,2001
AGS,188,2001
AAPS,528,2001
AA,809,2000
AS,132,2000
AAS,0,2000
AES,1,2000
AFA,0,2000
AGS,307,2000
AAPS,707,2000
AA,744,1999
AS,179,1999
AAS,0,1999
AES,8,1999
AFA,0,1999
AGS,210,1999
AAPS,785,1999
AA,236,1998
AS,78,1998
AAS,0,1998
AES,0,1998
AFA,0,1998
AGS,10,1998
AAPS,266,1998
AA,261,1997
AS,81,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,25,1997
AAPS,280,1997
AA,761,1996
AS,481,1996
AAS,0,1996
AES,0,1996
AGS,245,1996
AAPS,1141,1996
