key,value,date
AA,0,2016
AS,0,2016
AAS,148,2016
AAT,0,2016
AES,0,2016
AFA,1,2016
AGS,56,2016
AAPS,155,2016
AA,0,2015
AS,0,2015
AAS,134,2015
AAT,0,2015
AES,2,2015
AFA,0,2015
AGS,29,2015
AAPS,130,2015
AA,0,2014
AS,0,2014
AAS,134,2014
AAT,0,2014
AES,2,2014
AFA,0,2014
AGS,42,2014
AAPS,164,2014
AA,0,2013
AS,0,2013
AAS,138,2013
AAT,0,2013
AES,3,2013
AFA,0,2013
AGS,53,2013
AAPS,132,2013
AA,0,2012
AS,0,2012
AAS,107,2012
AAT,0,2012
AES,3,2012
AFA,0,2012
AGS,28,2012
AAPS,166,2012
AA,0,2011
AS,0,2011
AAS,110,2011
AAT,0,2011
AES,0,2011
AFA,0,2011
AGS,26,2011
AAPS,142,2011
AA,0,2010
AS,0,2010
AAS,97,2010
AAT,0,2010
AES,1,2010
AFA,0,2010
AGS,14,2010
AAPS,137,2010
AA,0,2009
AS,0,2009
AAS,101,2009
AAT,0,2009
AES,4,2009
AFA,0,2009
AGS,16,2009
AAPS,122,2009
AA,0,2008
AS,0,2008
AAS,110,2008
AAT,0,2008
AES,4,2008
AFA,0,2008
AGS,22,2008
AAPS,134,2008
AA,0,2007
AS,0,2007
AAS,109,2007
AES,2,2007
AFA,0,2007
AGS,23,2007
AAPS,107,2007
AA,0,2006
AS,0,2006
AAS,75,2006
AES,1,2006
AFA,0,2006
AGS,9,2006
AAPS,105,2006
AA,0,2005
AS,1,2005
AAS,123,2005
AES,3,2005
AFA,0,2005
AGS,0,2005
AAPS,90,2005
AA,1,2004
AS,0,2004
AAS,93,2004
AES,8,2004
AFA,0,2004
AGS,0,2004
AAPS,93,2004
AA,2,2003
AS,5,2003
AAS,88,2003
AES,0,2003
AFA,0,2003
AGS,0,2003
AAPS,113,2003
AA,6,2002
AS,12,2002
AAS,103,2002
AES,2,2002
AFA,0,2002
AGS,0,2002
AAPS,117,2002
AA,25,2001
AS,35,2001
AAS,61,2001
AES,1,2001
AFA,0,2001
AGS,0,2001
AAPS,155,2001
AA,60,2000
AS,59,2000
AAS,17,2000
AES,3,2000
AFA,0,2000
AGS,0,2000
AAPS,150,2000
AA,57,1999
AS,60,1999
AAS,0,1999
AES,0,1999
AFA,0,1999
AGS,0,1999
AAPS,125,1999
AA,927,1998
AS,193,1998
AAS,0,1998
AES,0,1998
AFA,0,1998
AGS,218,1998
AAPS,868,1998
AA,832,1997
AS,499,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,198,1997
AAPS,978,1997
AA,44,1996
AS,41,1996
AAS,0,1996
AES,0,1996
AGS,0,1996
AAPS,121,1996
