key,value,date
AA,1034,2016
AS,341,2016
AAS,0,2016
AAT,3,2016
AES,33,2016
AFA,12,2016
AGS,431,2016
AAPS,892,2016
AA,1021,2015
AS,378,2015
AAS,0,2015
AAT,5,2015
AES,40,2015
AFA,8,2015
AGS,544,2015
AAPS,891,2015
AA,930,2014
AS,294,2014
AAS,0,2014
AAT,1,2014
AES,27,2014
AFA,15,2014
AGS,390,2014
AAPS,791,2014
AA,794,2013
AS,232,2013
AAS,0,2013
AAT,0,2013
AES,15,2013
AFA,11,2013
AGS,183,2013
AAPS,764,2013
AA,771,2012
AS,172,2012
AAS,0,2012
AAT,3,2012
AES,14,2012
AFA,13,2012
AGS,182,2012
AAPS,757,2012
AA,715,2011
AS,123,2011
AAS,0,2011
AAT,0,2011
AES,10,2011
AFA,8,2011
AGS,174,2011
AAPS,695,2011
AA,739,2010
AS,122,2010
AAS,0,2010
AAT,0,2010
AES,8,2010
AFA,5,2010
AGS,145,2010
AAPS,658,2010
AA,688,2009
AS,136,2009
AAS,0,2009
AAT,0,2009
AES,7,2009
AFA,0,2009
AGS,160,2009
AAPS,639,2009
AA,652,2008
AS,130,2008
AAS,0,2008
AAT,0,2008
AES,7,2008
AFA,0,2008
AGS,126,2008
AAPS,569,2008
AA,666,2007
AS,98,2007
AAS,0,2007
AES,5,2007
AFA,0,2007
AGS,133,2007
AAPS,626,2007
AA,775,2006
AS,105,2006
AAS,0,2006
AES,7,2006
AFA,0,2006
AGS,145,2006
AAPS,822,2006
AA,878,2005
AS,128,2005
AAS,0,2005
AES,7,2005
AFA,0,2005
AGS,168,2005
AAPS,815,2005
AA,828,2004
AS,121,2004
AAS,0,2004
AES,10,2004
AFA,0,2004
AGS,122,2004
AAPS,702,2004
AA,766,2003
AS,133,2003
AAS,0,2003
AES,11,2003
AFA,0,2003
AGS,120,2003
AAPS,666,2003
AA,660,2002
AS,104,2002
AAS,0,2002
AES,8,2002
AFA,0,2002
AGS,90,2002
AAPS,525,2002
AA,742,2001
AS,131,2001
AAS,0,2001
AES,9,2001
AFA,0,2001
AGS,119,2001
AAPS,534,2001
AA,773,2000
AS,135,2000
AAS,0,2000
AES,6,2000
AFA,0,2000
AGS,97,2000
AAPS,547,2000
AA,738,1999
AS,185,1999
AAS,0,1999
AES,4,1999
AFA,0,1999
AGS,101,1999
AAPS,502,1999
AA,63,1998
AS,61,1998
AAS,0,1998
AES,0,1998
AFA,0,1998
AGS,0,1998
AAPS,139,1998
AA,41,1997
AS,50,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,0,1997
AAPS,112,1997
AA,797,1996
AS,206,1996
AAS,0,1996
AES,9,1996
AGS,84,1996
AAPS,564,1996
