key,value,date
AA,522,2016
AS,256,2016
AAS,0,2016
AAT,0,2016
AES,26,2016
AFA,5,2016
AGS,23,2016
AAPS,389,2016
AA,529,2015
AS,231,2015
AAS,0,2015
AAT,0,2015
AES,19,2015
AFA,9,2015
AGS,42,2015
AAPS,369,2015
AA,466,2014
AS,196,2014
AAS,0,2014
AAT,0,2014
AES,14,2014
AFA,11,2014
AGS,41,2014
AAPS,366,2014
AA,524,2013
AS,197,2013
AAS,0,2013
AAT,0,2013
AES,14,2013
AFA,7,2013
AGS,43,2013
AAPS,387,2013
AA,496,2012
AS,145,2012
AAS,0,2012
AAT,0,2012
AES,15,2012
AFA,3,2012
AGS,76,2012
AAPS,422,2012
AA,427,2011
AS,142,2011
AAS,0,2011
AAT,0,2011
AES,3,2011
AFA,1,2011
AGS,67,2011
AAPS,375,2011
AA,427,2010
AS,108,2010
AAS,0,2010
AAT,0,2010
AES,8,2010
AFA,5,2010
AGS,53,2010
AAPS,319,2010
AA,375,2009
AS,89,2009
AAS,0,2009
AAT,0,2009
AES,3,2009
AFA,5,2009
AGS,43,2009
AAPS,308,2009
AA,345,2008
AS,106,2008
AAS,0,2008
AAT,0,2008
AES,7,2008
AFA,7,2008
AGS,35,2008
AAPS,271,2008
AA,323,2007
AS,76,2007
AAS,0,2007
AES,0,2007
AFA,0,2007
AGS,34,2007
AAPS,258,2007
AA,351,2006
AS,102,2006
AAS,0,2006
AES,7,2006
AFA,5,2006
AGS,47,2006
AAPS,261,2006
AA,351,2005
AS,103,2005
AAS,0,2005
AES,6,2005
AFA,6,2005
AGS,39,2005
AAPS,230,2005
AA,338,2004
AS,113,2004
AAS,0,2004
AES,10,2004
AFA,3,2004
AGS,28,2004
AAPS,242,2004
AA,364,2003
AS,114,2003
AAS,0,2003
AES,2,2003
AFA,2,2003
AGS,38,2003
AAPS,205,2003
AA,325,2002
AS,118,2002
AAS,0,2002
AES,9,2002
AFA,2,2002
AGS,7,2002
AAPS,188,2002
AA,295,2001
AS,135,2001
AAS,0,2001
AES,2,2001
AFA,0,2001
AGS,7,2001
AAPS,255,2001
AA,276,2000
AS,185,2000
AAS,0,2000
AES,2,2000
AFA,1,2000
AGS,9,2000
AAPS,214,2000
AA,292,1999
AS,190,1999
AAS,0,1999
AES,0,1999
AFA,1,1999
AGS,5,1999
AAPS,233,1999
AA,841,1998
AS,211,1998
AAS,0,1998
AES,12,1998
AFA,0,1998
AGS,92,1998
AAPS,602,1998
AA,807,1997
AS,186,1997
AAS,0,1997
AES,9,1997
AFA,0,1997
AGS,70,1997
AAPS,525,1997
AA,204,1996
AS,192,1996
AAS,0,1996
AES,0,1996
AGS,4,1996
AAPS,206,1996
