key,value,date
AA,921,2016
AS,166,2016
AAS,0,2016
AAT,0,2016
AES,15,2016
AFA,6,2016
AGS,86,2016
AAPS,417,2016
AA,892,2015
AS,159,2015
AAS,0,2015
AAT,0,2015
AES,9,2015
AFA,7,2015
AGS,68,2015
AAPS,485,2015
AA,937,2014
AS,138,2014
AAS,0,2014
AAT,0,2014
AES,3,2014
AFA,5,2014
AGS,231,2014
AAPS,458,2014
AA,1023,2013
AS,115,2013
AAS,0,2013
AAT,1,2013
AES,6,2013
AFA,7,2013
AGS,33,2013
AAPS,490,2013
AA,1027,2012
AS,128,2012
AAS,0,2012
AAT,0,2012
AES,2,2012
AFA,3,2012
AGS,31,2012
AAPS,452,2012
AA,883,2011
AS,101,2011
AAS,0,2011
AAT,0,2011
AES,2,2011
AFA,6,2011
AGS,24,2011
AAPS,440,2011
AA,763,2010
AS,83,2010
AAS,0,2010
AAT,0,2010
AES,4,2010
AFA,6,2010
AGS,37,2010
AAPS,376,2010
AA,764,2009
AS,34,2009
AAS,0,2009
AAT,0,2009
AES,2,2009
AFA,5,2009
AGS,9,2009
AAPS,457,2009
AA,794,2008
AS,16,2008
AAS,0,2008
AAT,0,2008
AES,4,2008
AFA,5,2008
AGS,5,2008
AAPS,438,2008
AA,790,2007
AS,27,2007
AAS,0,2007
AES,8,2007
AFA,6,2007
AGS,0,2007
AAPS,645,2007
AA,820,2006
AS,11,2006
AAS,0,2006
AES,0,2006
AFA,7,2006
AGS,0,2006
AAPS,494,2006
AA,680,2005
AS,33,2005
AAS,0,2005
AES,4,2005
AFA,7,2005
AGS,0,2005
AAPS,398,2005
AA,642,2004
AS,37,2004
AAS,0,2004
AES,1,2004
AFA,3,2004
AGS,0,2004
AAPS,352,2004
AA,611,2003
AS,22,2003
AAS,0,2003
AES,0,2003
AFA,13,2003
AGS,0,2003
AAPS,379,2003
AA,629,2002
AS,23,2002
AAS,0,2002
AES,1,2002
AFA,5,2002
AGS,0,2002
AAPS,306,2002
AA,652,2001
AS,13,2001
AAS,0,2001
AES,4,2001
AFA,9,2001
AGS,0,2001
AAPS,282,2001
AA,624,2000
AS,30,2000
AAS,0,2000
AES,3,2000
AFA,7,2000
AGS,0,2000
AAPS,428,2000
AA,648,1999
AS,59,1999
AAS,0,1999
AES,1,1999
AFA,7,1999
AGS,0,1999
AAPS,388,1999
AA,249,1998
AS,246,1998
AAS,0,1998
AES,0,1998
AFA,0,1998
AGS,0,1998
AAPS,275,1998
AA,231,1997
AS,234,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,2,1997
AAPS,224,1997
AA,585,1996
AS,174,1996
AAS,0,1996
AES,0,1996
AGS,0,1996
AAPS,335,1996
