key,value,date
AA,469,2016
AS,140,2016
AAS,0,2016
AAT,0,2016
AES,2,2016
AFA,0,2016
AGS,0,2016
AAPS,85,2016
AA,429,2015
AS,136,2015
AAS,0,2015
AAT,0,2015
AES,3,2015
AFA,0,2015
AGS,0,2015
AAPS,70,2015
AA,465,2014
AS,142,2014
AAS,0,2014
AAT,0,2014
AES,7,2014
AFA,0,2014
AGS,0,2014
AAPS,86,2014
AA,409,2013
AS,102,2013
AAS,0,2013
AAT,0,2013
AES,3,2013
AFA,0,2013
AGS,0,2013
AAPS,93,2013
AA,460,2012
AS,114,2012
AAS,0,2012
AAT,0,2012
AES,9,2012
AFA,0,2012
AGS,0,2012
AAPS,94,2012
AA,484,2011
AS,92,2011
AAS,0,2011
AAT,0,2011
AES,1,2011
AFA,0,2011
AGS,0,2011
AAPS,97,2011
AA,455,2010
AS,101,2010
AAS,0,2010
AAT,0,2010
AES,2,2010
AFA,0,2010
AGS,0,2010
AAPS,82,2010
AA,413,2009
AS,63,2009
AAS,0,2009
AAT,0,2009
AES,0,2009
AFA,0,2009
AGS,0,2009
AAPS,70,2009
AA,380,2008
AS,59,2008
AAS,0,2008
AAT,0,2008
AES,0,2008
AFA,0,2008
AGS,0,2008
AAPS,63,2008
AA,427,2007
AS,73,2007
AAS,0,2007
AES,3,2007
AFA,0,2007
AGS,0,2007
AAPS,63,2007
AA,427,2006
AS,80,2006
AAS,0,2006
AES,0,2006
AFA,0,2006
AGS,0,2006
AAPS,75,2006
AA,396,2005
AS,68,2005
AAS,0,2005
AES,3,2005
AFA,0,2005
AGS,0,2005
AAPS,60,2005
AA,441,2004
AS,52,2004
AAS,0,2004
AES,2,2004
AFA,0,2004
AGS,0,2004
AAPS,33,2004
AA,390,2003
AS,71,2003
AAS,0,2003
AES,2,2003
AFA,0,2003
AGS,0,2003
AAPS,47,2003
AA,345,2002
AS,45,2002
AAS,0,2002
AES,3,2002
AFA,0,2002
AGS,0,2002
AAPS,60,2002
AA,270,2001
AS,50,2001
AAS,0,2001
AES,0,2001
AFA,0,2001
AGS,0,2001
AAPS,38,2001
AA,260,2000
AS,50,2000
AAS,0,2000
AES,0,2000
AFA,0,2000
AGS,0,2000
AAPS,37,2000
AA,252,1999
AS,59,1999
AAS,0,1999
AES,0,1999
AFA,0,1999
AGS,0,1999
AAPS,38,1999
AA,697,1998
AS,26,1998
AAS,0,1998
AES,0,1998
AFA,3,1998
AGS,0,1998
AAPS,398,1998
AA,601,1997
AS,176,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,0,1997
AAPS,321,1997
AA,147,1996
AS,38,1996
AAS,0,1996
AES,0,1996
AGS,0,1996
AAPS,27,1996
