key,value,date
AA,170,2016
AS,527,2016
AAS,0,2016
AAT,0,2016
AES,18,2016
AFA,0,2016
AGS,112,2016
AAPS,417,2016
AA,153,2015
AS,501,2015
AAS,0,2015
AAT,0,2015
AES,28,2015
AFA,0,2015
AGS,131,2015
AAPS,423,2015
AA,182,2014
AS,475,2014
AAS,17,2014
AAT,0,2014
AES,30,2014
AFA,0,2014
AGS,117,2014
AAPS,471,2014
AA,68,2013
AS,229,2013
AAS,404,2013
AAT,0,2013
AES,25,2013
AFA,0,2013
AGS,169,2013
AAPS,498,2013
AA,0,2012
AS,0,2012
AAS,662,2012
AAT,0,2012
AES,26,2012
AFA,0,2012
AGS,147,2012
AAPS,577,2012
AA,0,2011
AS,0,2011
AAS,669,2011
AAT,0,2011
AES,16,2011
AFA,0,2011
AGS,143,2011
AAPS,531,2011
AA,0,2010
AS,0,2010
AAS,618,2010
AAT,0,2010
AES,22,2010
AFA,0,2010
AGS,142,2010
AAPS,528,2010
AA,0,2009
AS,0,2009
AAS,547,2009
AAT,0,2009
AES,17,2009
AFA,0,2009
AGS,146,2009
AAPS,452,2009
AA,0,2008
AS,0,2008
AAS,591,2008
AAT,0,2008
AES,13,2008
AFA,0,2008
AGS,163,2008
AAPS,456,2008
AA,0,2007
AS,0,2007
AAS,600,2007
AES,12,2007
AFA,0,2007
AGS,126,2007
AAPS,477,2007
AA,0,2006
AS,0,2006
AAS,668,2006
AES,9,2006
AFA,0,2006
AGS,111,2006
AAPS,474,2006
AA,0,2005
AS,0,2005
AAS,571,2005
AES,4,2005
AFA,0,2005
AGS,87,2005
AAPS,485,2005
AA,0,2004
AS,0,2004
AAS,577,2004
AES,8,2004
AFA,0,2004
AGS,103,2004
AAPS,410,2004
AA,0,2003
AS,0,2003
AAS,574,2003
AES,13,2003
AFA,0,2003
AGS,101,2003
AAPS,444,2003
AA,0,2002
AS,0,2002
AAS,545,2002
AES,7,2002
AFA,0,2002
AGS,101,2002
AAPS,421,2002
AA,0,2001
AS,0,2001
AAS,615,2001
AES,12,2001
AFA,0,2001
AGS,102,2001
AAPS,490,2001
AA,0,2000
AS,0,2000
AAS,561,2000
AES,16,2000
AFA,0,2000
AGS,97,2000
AAPS,421,2000
AA,0,1999
AS,0,1999
AAS,560,1999
AES,18,1999
AFA,0,1999
AGS,115,1999
AAPS,477,1999
AA,71,1998
AS,114,1998
AAS,0,1998
AES,2,1998
AFA,0,1998
AGS,2,1998
AAPS,47,1998
AA,54,1997
AS,115,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,5,1997
AAPS,62,1997
AA,0,1996
AS,0,1996
AAS,526,1996
AES,14,1996
AGS,101,1996
AAPS,469,1996
