key,value,date
AA,1,2016
AS,57,2016
AAS,288,2016
AAT,0,2016
AES,0,2016
AFA,0,2016
AGS,88,2016
AAPS,325,2016
AA,0,2015
AS,71,2015
AAS,261,2015
AAT,0,2015
AES,0,2015
AFA,0,2015
AGS,106,2015
AAPS,294,2015
AA,0,2014
AS,53,2014
AAS,342,2014
AAT,0,2014
AES,0,2014
AFA,0,2014
AGS,121,2014
AAPS,274,2014
AA,0,2013
AS,51,2013
AAS,275,2013
AAT,0,2013
AES,1,2013
AFA,0,2013
AGS,95,2013
AAPS,291,2013
AA,1,2012
AS,52,2012
AAS,264,2012
AAT,0,2012
AES,0,2012
AFA,0,2012
AGS,88,2012
AAPS,348,2012
AA,0,2011
AS,49,2011
AAS,315,2011
AAT,0,2011
AES,0,2011
AFA,0,2011
AGS,89,2011
AAPS,385,2011
AA,0,2010
AS,79,2010
AAS,291,2010
AAT,0,2010
AES,0,2010
AFA,0,2010
AGS,94,2010
AAPS,315,2010
AA,0,2009
AS,93,2009
AAS,311,2009
AAT,0,2009
AES,0,2009
AFA,0,2009
AGS,105,2009
AAPS,268,2009
AA,1,2008
AS,90,2008
AAS,307,2008
AAT,0,2008
AES,0,2008
AFA,1,2008
AGS,78,2008
AAPS,309,2008
AA,2,2007
AS,104,2007
AAS,286,2007
AES,0,2007
AFA,0,2007
AGS,103,2007
AAPS,364,2007
AA,5,2006
AS,106,2006
AAS,309,2006
AES,0,2006
AFA,0,2006
AGS,83,2006
AAPS,314,2006
AA,6,2005
AS,118,2005
AAS,295,2005
AES,0,2005
AFA,0,2005
AGS,85,2005
AAPS,335,2005
AA,10,2004
AS,137,2004
AAS,276,2004
AES,0,2004
AFA,2,2004
AGS,83,2004
AAPS,328,2004
AA,8,2003
AS,152,2003
AAS,225,2003
AES,0,2003
AFA,0,2003
AGS,127,2003
AAPS,346,2003
AA,7,2002
AS,156,2002
AAS,183,2002
AES,0,2002
AFA,1,2002
AGS,58,2002
AAPS,413,2002
AA,11,2001
AS,279,2001
AAS,121,2001
AES,0,2001
AFA,2,2001
AGS,66,2001
AAPS,386,2001
AA,29,2000
AS,384,2000
AAS,0,2000
AES,0,2000
AFA,1,2000
AGS,80,2000
AAPS,359,2000
AA,43,1999
AS,349,1999
AAS,0,1999
AES,0,1999
AFA,0,1999
AGS,40,1999
AAPS,403,1999
AA,0,1998
AS,0,1998
AAS,592,1998
AES,14,1998
AFA,0,1998
AGS,132,1998
AAPS,519,1998
AA,0,1997
AS,0,1997
AAS,466,1997
AES,8,1997
AFA,0,1997
AGS,74,1997
AAPS,363,1997
AA,41,1996
AS,331,1996
AAS,0,1996
AES,0,1996
AGS,43,1996
AAPS,379,1996
