key,value,date
AA,115,2016
AS,249,2016
AAS,0,2016
AAT,1,2016
AES,6,2016
AFA,0,2016
AGS,9,2016
AAPS,138,2016
AA,87,2015
AS,214,2015
AAS,0,2015
AAT,0,2015
AES,5,2015
AFA,0,2015
AGS,18,2015
AAPS,140,2015
AA,97,2014
AS,234,2014
AAS,0,2014
AAT,4,2014
AES,0,2014
AFA,0,2014
AGS,16,2014
AAPS,160,2014
AA,107,2013
AS,228,2013
AAS,0,2013
AAT,1,2013
AES,2,2013
AFA,0,2013
AGS,23,2013
AAPS,195,2013
AA,102,2012
AS,246,2012
AAS,0,2012
AAT,3,2012
AES,3,2012
AFA,0,2012
AGS,23,2012
AAPS,195,2012
AA,132,2011
AS,222,2011
AAS,0,2011
AAT,8,2011
AES,3,2011
AFA,0,2011
AGS,15,2011
AAPS,178,2011
AA,111,2010
AS,225,2010
AAS,0,2010
AAT,0,2010
AES,5,2010
AFA,0,2010
AGS,17,2010
AAPS,158,2010
AA,112,2009
AS,215,2009
AAS,0,2009
AAT,0,2009
AES,3,2009
AFA,0,2009
AGS,15,2009
AAPS,149,2009
AA,90,2008
AS,163,2008
AAS,0,2008
AAT,0,2008
AES,2,2008
AFA,0,2008
AGS,13,2008
AAPS,142,2008
AA,111,2007
AS,224,2007
AAS,0,2007
AES,2,2007
AFA,0,2007
AGS,21,2007
AAPS,137,2007
AA,128,2006
AS,211,2006
AAS,0,2006
AES,1,2006
AFA,0,2006
AGS,15,2006
AAPS,164,2006
AA,101,2005
AS,168,2005
AAS,0,2005
AES,3,2005
AFA,0,2005
AGS,15,2005
AAPS,142,2005
AA,101,2004
AS,176,2004
AAS,0,2004
AES,0,2004
AFA,0,2004
AGS,11,2004
AAPS,126,2004
AA,137,2003
AS,176,2003
AAS,0,2003
AES,2,2003
AFA,0,2003
AGS,19,2003
AAPS,101,2003
AA,158,2002
AS,163,2002
AAS,0,2002
AES,5,2002
AFA,0,2002
AGS,19,2002
AAPS,103,2002
AA,172,2001
AS,77,2001
AAS,0,2001
AES,2,2001
AFA,0,2001
AGS,36,2001
AAPS,118,2001
AA,171,2000
AS,81,2000
AAS,0,2000
AES,2,2000
AFA,0,2000
AGS,46,2000
AAPS,119,2000
AA,187,1999
AS,81,1999
AAS,0,1999
AES,3,1999
AFA,0,1999
AGS,42,1999
AAPS,116,1999
AA,31,1998
AS,332,1998
AAS,0,1998
AES,0,1998
AFA,0,1998
AGS,34,1998
AAPS,333,1998
AA,37,1997
AS,332,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,33,1997
AAPS,371,1997
AA,176,1996
AS,93,1996
AAS,0,1996
AES,4,1996
AGS,63,1996
AAPS,153,1996
