key,value,date
AA,626,2016
AS,116,2016
AAS,0,2016
AAT,0,2016
AES,0,2016
AFA,0,2016
AGS,209,2016
AAPS,656,2016
AA,652,2015
AS,98,2015
AAS,0,2015
AAT,0,2015
AES,0,2015
AFA,0,2015
AGS,265,2015
AAPS,626,2015
AA,590,2014
AS,127,2014
AAS,0,2014
AAT,1,2014
AES,0,2014
AFA,0,2014
AGS,153,2014
AAPS,731,2014
AA,570,2013
AS,113,2013
AAS,0,2013
AAT,0,2013
AES,0,2013
AFA,0,2013
AGS,144,2013
AAPS,657,2013
AA,592,2012
AS,80,2012
AAS,0,2012
AAT,0,2012
AES,0,2012
AFA,0,2012
AGS,220,2012
AAPS,696,2012
AA,509,2011
AS,58,2011
AAS,0,2011
AAT,0,2011
AES,0,2011
AFA,0,2011
AGS,253,2011
AAPS,611,2011
AA,458,2010
AS,45,2010
AAS,0,2010
AAT,0,2010
AES,0,2010
AFA,0,2010
AGS,130,2010
AAPS,532,2010
AA,401,2009
AS,51,2009
AAS,0,2009
AAT,0,2009
AES,0,2009
AFA,0,2009
AGS,135,2009
AAPS,528,2009
AA,394,2008
AS,54,2008
AAS,0,2008
AAT,0,2008
AES,0,2008
AFA,0,2008
AGS,125,2008
AAPS,437,2008
AA,377,2007
AS,56,2007
AAS,0,2007
AES,0,2007
AFA,0,2007
AGS,100,2007
AAPS,385,2007
AA,353,2006
AS,35,2006
AAS,0,2006
AES,0,2006
AFA,0,2006
AGS,92,2006
AAPS,458,2006
AA,294,2005
AS,38,2005
AAS,0,2005
AES,0,2005
AFA,0,2005
AGS,52,2005
AAPS,403,2005
AA,318,2004
AS,39,2004
AAS,0,2004
AES,0,2004
AFA,0,2004
AGS,56,2004
AAPS,371,2004
AA,299,2003
AS,45,2003
AAS,0,2003
AES,0,2003
AFA,0,2003
AGS,33,2003
AAPS,354,2003
AA,318,2002
AS,38,2002
AAS,0,2002
AES,0,2002
AFA,0,2002
AGS,22,2002
AAPS,389,2002
AA,319,2001
AS,59,2001
AAS,0,2001
AES,0,2001
AFA,0,2001
AGS,29,2001
AAPS,434,2001
AA,296,2000
AS,65,2000
AAS,0,2000
AES,0,2000
AFA,0,2000
AGS,20,2000
AAPS,385,2000
AA,269,1999
AS,87,1999
AAS,0,1999
AES,0,1999
AFA,0,1999
AGS,15,1999
AAPS,304,1999
AA,168,1998
AS,76,1998
AAS,0,1998
AES,3,1998
AFA,0,1998
AGS,39,1998
AAPS,122,1998
AA,147,1997
AS,90,1997
AAS,0,1997
AES,3,1997
AFA,0,1997
AGS,49,1997
AAPS,127,1997
AA,290,1996
AS,92,1996
AAS,0,1996
AES,0,1996
AGS,18,1996
AAPS,312,1996
