key,value,date
AA,119,2016
AS,47,2016
AAS,0,2016
AAT,0,2016
AES,4,2016
AFA,0,2016
AGS,44,2016
AAPS,208,2016
AA,109,2015
AS,40,2015
AAS,0,2015
AAT,0,2015
AES,6,2015
AFA,2,2015
AGS,63,2015
AAPS,236,2015
AA,109,2014
AS,42,2014
AAS,0,2014
AAT,0,2014
AES,8,2014
AFA,4,2014
AGS,61,2014
AAPS,207,2014
AA,127,2013
AS,34,2013
AAS,0,2013
AAT,2,2013
AES,3,2013
AFA,4,2013
AGS,86,2013
AAPS,197,2013
AA,77,2012
AS,34,2012
AAS,0,2012
AAT,2,2012
AES,1,2012
AFA,3,2012
AGS,38,2012
AAPS,237,2012
AA,95,2011
AS,25,2011
AAS,0,2011
AAT,1,2011
AES,4,2011
AFA,1,2011
AGS,33,2011
AAPS,203,2011
AA,86,2010
AS,33,2010
AAS,0,2010
AAT,2,2010
AES,1,2010
AFA,1,2010
AGS,21,2010
AAPS,169,2010
AA,75,2009
AS,43,2009
AAS,0,2009
AAT,0,2009
AES,1,2009
AFA,2,2009
AGS,27,2009
AAPS,184,2009
AA,71,2008
AS,43,2008
AAS,0,2008
AAT,0,2008
AES,4,2008
AFA,2,2008
AGS,20,2008
AAPS,168,2008
AA,65,2007
AS,50,2007
AAS,0,2007
AES,4,2007
AFA,4,2007
AGS,32,2007
AAPS,182,2007
AA,65,2006
AS,53,2006
AAS,0,2006
AES,3,2006
AFA,5,2006
AGS,26,2006
AAPS,158,2006
AA,71,2005
AS,35,2005
AAS,0,2005
AES,3,2005
AFA,4,2005
AGS,29,2005
AAPS,163,2005
AA,75,2004
AS,38,2004
AAS,0,2004
AES,6,2004
AFA,3,2004
AGS,31,2004
AAPS,152,2004
AA,79,2003
AS,22,2003
AAS,0,2003
AES,4,2003
AFA,2,2003
AGS,22,2003
AAPS,121,2003
AA,47,2002
AS,34,2002
AAS,0,2002
AES,3,2002
AFA,5,2002
AGS,36,2002
AAPS,151,2002
AA,76,2001
AS,53,2001
AAS,0,2001
AES,1,2001
AFA,2,2001
AGS,39,2001
AAPS,185,2001
AA,64,2000
AS,48,2000
AAS,0,2000
AES,2,2000
AFA,4,2000
AGS,37,2000
AAPS,195,2000
AA,49,1999
AS,45,1999
AAS,0,1999
AES,1,1999
AFA,2,1999
AGS,24,1999
AAPS,188,1999
AA,299,1998
AS,112,1998
AAS,0,1998
AES,0,1998
AFA,0,1998
AGS,5,1998
AAPS,323,1998
AA,293,1997
AS,97,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,17,1997
AAPS,349,1997
AA,68,1996
AS,32,1996
AAS,0,1996
AES,0,1996
AGS,27,1996
AAPS,185,1996
