key,value,date
AA,201,2016
AS,37,2016
AAS,0,2016
AAT,0,2016
AES,10,2016
AFA,1,2016
AGS,67,2016
AAPS,280,2016
AA,198,2015
AS,31,2015
AAS,0,2015
AAT,0,2015
AES,7,2015
AFA,1,2015
AGS,64,2015
AAPS,308,2015
AA,216,2014
AS,31,2014
AAS,0,2014
AAT,0,2014
AES,5,2014
AFA,0,2014
AGS,71,2014
AAPS,284,2014
AA,215,2013
AS,35,2013
AAS,0,2013
AAT,0,2013
AES,8,2013
AFA,0,2013
AGS,66,2013
AAPS,257,2013
AA,233,2012
AS,26,2012
AAS,0,2012
AAT,0,2012
AES,11,2012
AFA,0,2012
AGS,47,2012
AAPS,297,2012
AA,201,2011
AS,24,2011
AAS,0,2011
AAT,0,2011
AES,5,2011
AFA,0,2011
AGS,26,2011
AAPS,267,2011
AA,226,2010
AS,28,2010
AAS,0,2010
AAT,0,2010
AES,0,2010
AFA,0,2010
AGS,21,2010
AAPS,252,2010
AA,172,2009
AS,13,2009
AAS,0,2009
AAT,0,2009
AES,0,2009
AFA,0,2009
AGS,14,2009
AAPS,244,2009
AA,201,2008
AS,31,2008
AAS,0,2008
AAT,0,2008
AES,0,2008
AFA,0,2008
AGS,22,2008
AAPS,263,2008
AA,175,2007
AS,28,2007
AAS,0,2007
AES,0,2007
AFA,0,2007
AGS,22,2007
AAPS,269,2007
AA,207,2006
AS,30,2006
AAS,0,2006
AES,0,2006
AFA,0,2006
AGS,15,2006
AAPS,268,2006
AA,217,2005
AS,24,2005
AAS,0,2005
AES,0,2005
AFA,0,2005
AGS,15,2005
AAPS,335,2005
AA,138,2004
AS,30,2004
AAS,0,2004
AES,0,2004
AFA,0,2004
AGS,15,2004
AAPS,301,2004
AA,201,2003
AS,20,2003
AAS,0,2003
AES,0,2003
AFA,0,2003
AGS,11,2003
AAPS,231,2003
AA,184,2002
AS,11,2002
AAS,0,2002
AES,0,2002
AFA,0,2002
AGS,28,2002
AAPS,185,2002
AA,193,2001
AS,21,2001
AAS,0,2001
AES,0,2001
AFA,0,2001
AGS,26,2001
AAPS,207,2001
AA,202,2000
AS,25,2000
AAS,0,2000
AES,0,2000
AFA,0,2000
AGS,13,2000
AAPS,191,2000
AA,148,1999
AS,31,1999
AAS,0,1999
AES,0,1999
AFA,0,1999
AGS,12,1999
AAPS,178,1999
AA,41,1998
AS,44,1998
AAS,0,1998
AES,1,1998
AFA,0,1998
AGS,28,1998
AAPS,178,1998
AA,45,1997
AS,45,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,31,1997
AAPS,201,1997
AA,155,1996
AS,41,1996
AAS,0,1996
AES,0,1996
AGS,18,1996
AAPS,205,1996
