key,value,date
AA,63,2016
AS,258,2016
AAS,0,2016
AAT,0,2016
AES,6,2016
AFA,0,2016
AGS,0,2016
AAPS,152,2016
AA,61,2015
AS,236,2015
AAS,0,2015
AAT,0,2015
AES,5,2015
AFA,1,2015
AGS,0,2015
AAPS,148,2015
AA,76,2014
AS,286,2014
AAS,0,2014
AAT,0,2014
AES,3,2014
AFA,1,2014
AGS,0,2014
AAPS,157,2014
AA,92,2013
AS,234,2013
AAS,0,2013
AAT,0,2013
AES,0,2013
AFA,0,2013
AGS,0,2013
AAPS,176,2013
AA,111,2012
AS,305,2012
AAS,0,2012
AAT,0,2012
AES,0,2012
AFA,3,2012
AGS,0,2012
AAPS,180,2012
AA,109,2011
AS,224,2011
AAS,0,2011
AAT,0,2011
AES,5,2011
AFA,0,2011
AGS,0,2011
AAPS,163,2011
AA,126,2010
AS,225,2010
AAS,0,2010
AAT,0,2010
AES,1,2010
AFA,0,2010
AGS,0,2010
AAPS,142,2010
AA,102,2009
AS,193,2009
AAS,0,2009
AAT,0,2009
AES,0,2009
AFA,0,2009
AGS,0,2009
AAPS,127,2009
AA,102,2008
AS,227,2008
AAS,0,2008
AAT,0,2008
AES,2,2008
AFA,0,2008
AGS,0,2008
AAPS,112,2008
AA,142,2007
AS,229,2007
AAS,0,2007
AES,0,2007
AFA,1,2007
AGS,0,2007
AAPS,115,2007
AA,108,2006
AS,189,2006
AAS,0,2006
AES,4,2006
AFA,1,2006
AGS,0,2006
AAPS,132,2006
AA,129,2005
AS,217,2005
AAS,0,2005
AES,1,2005
AFA,1,2005
AGS,0,2005
AAPS,133,2005
AA,107,2004
AS,201,2004
AAS,0,2004
AES,2,2004
AFA,0,2004
AGS,0,2004
AAPS,115,2004
AA,138,2003
AS,173,2003
AAS,0,2003
AES,1,2003
AFA,1,2003
AGS,0,2003
AAPS,110,2003
AA,114,2002
AS,199,2002
AAS,0,2002
AES,2,2002
AFA,0,2002
AGS,0,2002
AAPS,98,2002
AA,105,2001
AS,168,2001
AAS,0,2001
AES,3,2001
AFA,1,2001
AGS,0,2001
AAPS,127,2001
AA,99,2000
AS,153,2000
AAS,0,2000
AES,2,2000
AFA,0,2000
AGS,0,2000
AAPS,105,2000
AA,101,1999
AS,193,1999
AAS,0,1999
AES,0,1999
AFA,0,1999
AGS,0,1999
AAPS,112,1999
AA,152,1998
AS,28,1998
AAS,0,1998
AES,0,1998
AFA,0,1998
AGS,12,1998
AAPS,185,1998
AA,171,1997
AS,25,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,16,1997
AAPS,196,1997
AA,78,1996
AS,161,1996
AAS,0,1996
AES,0,1996
AGS,0,1996
AAPS,112,1996
