key,value,date
AA,864,2016
AS,147,2016
AAS,0,2016
AAT,0,2016
AES,21,2016
AFA,1,2016
AGS,10,2016
AAPS,434,2016
AA,778,2015
AS,178,2015
AAS,0,2015
AAT,1,2015
AES,18,2015
AFA,4,2015
AGS,0,2015
AAPS,409,2015
AA,844,2014
AS,127,2014
AAS,0,2014
AAT,1,2014
AES,23,2014
AFA,4,2014
AGS,0,2014
AAPS,391,2014
AA,1048,2013
AS,177,2013
AAS,0,2013
AAT,2,2013
AES,27,2013
AFA,6,2013
AGS,0,2013
AAPS,525,2013
AA,673,2012
AS,138,2012
AAS,0,2012
AAT,1,2012
AES,11,2012
AFA,1,2012
AGS,0,2012
AAPS,429,2012
AA,617,2011
AS,98,2011
AAS,0,2011
AAT,0,2011
AES,12,2011
AFA,2,2011
AGS,0,2011
AAPS,391,2011
AA,557,2010
AS,89,2010
AAS,0,2010
AAT,0,2010
AES,2,2010
AFA,1,2010
AGS,0,2010
AAPS,424,2010
AA,511,2009
AS,70,2009
AAS,0,2009
AAT,0,2009
AES,5,2009
AFA,2,2009
AGS,0,2009
AAPS,380,2009
AA,508,2008
AS,91,2008
AAS,0,2008
AAT,0,2008
AES,4,2008
AFA,0,2008
AGS,0,2008
AAPS,344,2008
AA,454,2007
AS,81,2007
AAS,0,2007
AES,5,2007
AFA,0,2007
AGS,0,2007
AAPS,337,2007
AA,475,2006
AS,89,2006
AAS,0,2006
AES,3,2006
AFA,0,2006
AGS,0,2006
AAPS,305,2006
AA,486,2005
AS,76,2005
AAS,0,2005
AES,7,2005
AFA,1,2005
AGS,0,2005
AAPS,340,2005
AA,411,2004
AS,84,2004
AAS,0,2004
AES,5,2004
AFA,1,2004
AGS,0,2004
AAPS,322,2004
AA,451,2003
AS,81,2003
AAS,0,2003
AES,3,2003
AFA,1,2003
AGS,0,2003
AAPS,313,2003
AA,448,2002
AS,77,2002
AAS,0,2002
AES,5,2002
AFA,0,2002
AGS,0,2002
AAPS,284,2002
AA,384,2001
AS,75,2001
AAS,0,2001
AES,7,2001
AFA,0,2001
AGS,0,2001
AAPS,253,2001
AA,406,2000
AS,76,2000
AAS,0,2000
AES,0,2000
AFA,0,2000
AGS,0,2000
AAPS,259,2000
AA,399,1999
AS,104,1999
AAS,0,1999
AES,0,1999
AFA,0,1999
AGS,0,1999
AAPS,275,1999
AA,88,1998
AS,191,1998
AAS,0,1998
AES,0,1998
AFA,0,1998
AGS,0,1998
AAPS,133,1998
AA,73,1997
AS,170,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,0,1997
AAPS,121,1997
AA,373,1996
AS,147,1996
AAS,0,1996
AES,0,1996
AGS,0,1996
AAPS,299,1996
