key,value,date
AA,105,2016
AS,196,2016
AAS,0,2016
AAT,0,2016
AES,3,2016
AFA,0,2016
AGS,235,2016
AAPS,353,2016
AA,139,2015
AS,221,2015
AAS,0,2015
AAT,0,2015
AES,3,2015
AFA,0,2015
AGS,193,2015
AAPS,377,2015
AA,124,2014
AS,216,2014
AAS,0,2014
AAT,0,2014
AES,6,2014
AFA,0,2014
AGS,190,2014
AAPS,402,2014
AA,129,2013
AS,173,2013
AAS,0,2013
AAT,0,2013
AES,3,2013
AFA,0,2013
AGS,169,2013
AAPS,361,2013
AA,126,2012
AS,196,2012
AAS,0,2012
AAT,0,2012
AES,2,2012
AFA,0,2012
AGS,122,2012
AAPS,389,2012
AA,131,2011
AS,189,2011
AAS,0,2011
AAT,0,2011
AES,4,2011
AFA,0,2011
AGS,82,2011
AAPS,403,2011
AA,113,2010
AS,217,2010
AAS,0,2010
AAT,0,2010
AES,4,2010
AFA,0,2010
AGS,51,2010
AAPS,325,2010
AA,124,2009
AS,196,2009
AAS,0,2009
AAT,0,2009
AES,3,2009
AFA,0,2009
AGS,56,2009
AAPS,297,2009
AA,116,2008
AS,211,2008
AAS,0,2008
AAT,0,2008
AES,7,2008
AFA,0,2008
AGS,46,2008
AAPS,348,2008
AA,123,2007
AS,211,2007
AAS,0,2007
AES,12,2007
AFA,0,2007
AGS,47,2007
AAPS,313,2007
AA,126,2006
AS,191,2006
AAS,0,2006
AES,5,2006
AFA,0,2006
AGS,61,2006
AAPS,329,2006
AA,154,2005
AS,215,2005
AAS,0,2005
AES,0,2005
AFA,0,2005
AGS,38,2005
AAPS,373,2005
AA,130,2004
AS,189,2004
AAS,0,2004
AES,0,2004
AFA,0,2004
AGS,56,2004
AAPS,176,2004
AA,122,2003
AS,177,2003
AAS,0,2003
AES,0,2003
AFA,0,2003
AGS,50,2003
AAPS,301,2003
AA,97,2002
AS,185,2002
AAS,0,2002
AES,0,2002
AFA,0,2002
AGS,45,2002
AAPS,294,2002
AA,115,2001
AS,201,2001
AAS,0,2001
AES,0,2001
AFA,0,2001
AGS,42,2001
AAPS,287,2001
AA,107,2000
AS,165,2000
AAS,0,2000
AES,0,2000
AFA,0,2000
AGS,40,2000
AAPS,347,2000
AA,114,1999
AS,171,1999
AAS,0,1999
AES,0,1999
AFA,0,1999
AGS,29,1999
AAPS,301,1999
AA,346,1998
AS,102,1998
AAS,0,1998
AES,0,1998
AFA,0,1998
AGS,0,1998
AAPS,324,1998
AA,364,1997
AS,134,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,0,1997
AAPS,288,1997
AA,86,1996
AS,135,1996
AAS,0,1996
AES,0,1996
AGS,10,1996
AAPS,286,1996
