key,value,date
AA,71,2016
AS,370,2016
AAS,0,2016
AAT,0,2016
AES,5,2016
AFA,5,2016
AGS,37,2016
AAPS,331,2016
AA,66,2015
AS,354,2015
AAS,0,2015
AAT,0,2015
AES,8,2015
AFA,8,2015
AGS,14,2015
AAPS,378,2015
AA,81,2014
AS,300,2014
AAS,0,2014
AAT,0,2014
AES,7,2014
AFA,11,2014
AGS,12,2014
AAPS,320,2014
AA,59,2013
AS,259,2013
AAS,0,2013
AAT,0,2013
AES,1,2013
AFA,7,2013
AGS,14,2013
AAPS,364,2013
AA,94,2012
AS,268,2012
AAS,0,2012
AAT,0,2012
AES,1,2012
AFA,5,2012
AGS,17,2012
AAPS,361,2012
AA,91,2011
AS,286,2011
AAS,0,2011
AAT,0,2011
AES,1,2011
AFA,5,2011
AGS,24,2011
AAPS,360,2011
AA,91,2010
AS,243,2010
AAS,0,2010
AAT,0,2010
AES,3,2010
AFA,10,2010
AGS,4,2010
AAPS,293,2010
AA,81,2009
AS,298,2009
AAS,0,2009
AAT,0,2009
AES,6,2009
AFA,4,2009
AGS,4,2009
AAPS,355,2009
AA,94,2008
AS,270,2008
AAS,0,2008
AAT,0,2008
AES,0,2008
AFA,8,2008
AGS,2,2008
AAPS,262,2008
AA,75,2007
AS,234,2007
AAS,0,2007
AES,2,2007
AFA,5,2007
AGS,9,2007
AAPS,230,2007
AA,65,2006
AS,289,2006
AAS,0,2006
AES,0,2006
AFA,2,2006
AGS,13,2006
AAPS,205,2006
AA,59,2005
AS,268,2005
AAS,0,2005
AES,0,2005
AFA,2,2005
AGS,26,2005
AAPS,208,2005
AA,57,2004
AS,255,2004
AAS,0,2004
AES,0,2004
AFA,1,2004
AGS,10,2004
AAPS,181,2004
AA,45,2003
AS,235,2003
AAS,0,2003
AES,1,2003
AFA,0,2003
AGS,10,2003
AAPS,185,2003
AA,40,2002
AS,232,2002
AAS,0,2002
AES,0,2002
AFA,1,2002
AGS,2,2002
AAPS,209,2002
AA,38,2001
AS,251,2001
AAS,0,2001
AES,0,2001
AFA,1,2001
AGS,5,2001
AAPS,184,2001
AA,35,2000
AS,224,2000
AAS,0,2000
AES,0,2000
AFA,5,2000
AGS,2,2000
AAPS,200,2000
AA,25,1999
AS,225,1999
AAS,0,1999
AES,1,1999
AFA,3,1999
AGS,2,1999
AAPS,209,1999
AA,109,1998
AS,188,1998
AAS,0,1998
AES,0,1998
AFA,0,1998
AGS,10,1998
AAPS,288,1998
AA,99,1997
AS,185,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,10,1997
AAPS,295,1997
AA,10,1996
AS,200,1996
AAS,0,1996
AES,0,1996
AGS,0,1996
AAPS,213,1996
