key,value,date
AA,354,2016
AS,267,2016
AAS,0,2016
AAT,0,2016
AES,6,2016
AFA,1,2016
AGS,198,2016
AAPS,237,2016
AA,310,2015
AS,276,2015
AAS,0,2015
AAT,1,2015
AES,7,2015
AFA,1,2015
AGS,220,2015
AAPS,233,2015
AA,359,2014
AS,243,2014
AAS,0,2014
AAT,0,2014
AES,2,2014
AFA,1,2014
AGS,195,2014
AAPS,239,2014
AA,330,2013
AS,241,2013
AAS,0,2013
AAT,0,2013
AES,0,2013
AFA,1,2013
AGS,75,2013
AAPS,201,2013
AA,313,2012
AS,209,2012
AAS,0,2012
AAT,0,2012
AES,3,2012
AFA,3,2012
AGS,60,2012
AAPS,204,2012
AA,291,2011
AS,205,2011
AAS,0,2011
AAT,0,2011
AES,0,2011
AFA,1,2011
AGS,58,2011
AAPS,185,2011
AA,287,2010
AS,172,2010
AAS,0,2010
AAT,0,2010
AES,1,2010
AFA,7,2010
AGS,36,2010
AAPS,207,2010
AA,280,2009
AS,155,2009
AAS,0,2009
AAT,1,2009
AES,5,2009
AFA,3,2009
AGS,49,2009
AAPS,177,2009
AA,234,2008
AS,151,2008
AAS,0,2008
AAT,0,2008
AES,4,2008
AFA,5,2008
AGS,37,2008
AAPS,191,2008
AA,269,2007
AS,160,2007
AAS,0,2007
AES,7,2007
AFA,5,2007
AGS,42,2007
AAPS,160,2007
AA,239,2006
AS,141,2006
AAS,0,2006
AES,3,2006
AFA,3,2006
AGS,30,2006
AAPS,166,2006
AA,245,2005
AS,157,2005
AAS,0,2005
AES,0,2005
AFA,5,2005
AGS,35,2005
AAPS,156,2005
AA,230,2004
AS,169,2004
AAS,0,2004
AES,6,2004
AFA,6,2004
AGS,31,2004
AAPS,171,2004
AA,227,2003
AS,168,2003
AAS,0,2003
AES,4,2003
AFA,17,2003
AGS,23,2003
AAPS,197,2003
AA,211,2002
AS,171,2002
AAS,0,2002
AES,4,2002
AFA,6,2002
AGS,28,2002
AAPS,205,2002
AA,226,2001
AS,161,2001
AAS,0,2001
AES,3,2001
AFA,4,2001
AGS,19,2001
AAPS,215,2001
AA,201,2000
AS,165,2000
AAS,0,2000
AES,4,2000
AFA,19,2000
AGS,28,2000
AAPS,228,2000
AA,355,1999
AS,81,1999
AAS,0,1999
AES,0,1999
AFA,1,1999
AGS,0,1999
AAPS,197,1999
AA,22,1998
AS,263,1998
AAS,0,1998
AES,0,1998
AFA,0,1998
AGS,1,1998
AAPS,273,1998
AA,14,1997
AS,208,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,2,1997
AAPS,199,1997
AA,314,1996
AS,98,1996
AAS,0,1996
AES,0,1996
AGS,0,1996
AAPS,305,1996
