key,value,date
AA,128,2016
AS,61,2016
AAS,0,2016
AAT,0,2016
AES,0,2016
AFA,3,2016
AGS,8,2016
AAPS,245,2016
AA,157,2015
AS,63,2015
AAS,0,2015
AAT,0,2015
AES,0,2015
AFA,3,2015
AGS,42,2015
AAPS,277,2015
AA,148,2014
AS,66,2014
AAS,0,2014
AAT,0,2014
AES,0,2014
AFA,8,2014
AGS,179,2014
AAPS,211,2014
AA,184,2013
AS,78,2013
AAS,0,2013
AAT,0,2013
AES,5,2013
AFA,4,2013
AGS,212,2013
AAPS,262,2013
AA,187,2012
AS,83,2012
AAS,0,2012
AAT,0,2012
AES,1,2012
AFA,2,2012
AGS,26,2012
AAPS,229,2012
AA,171,2011
AS,90,2011
AAS,0,2011
AAT,0,2011
AES,0,2011
AFA,4,2011
AGS,17,2011
AAPS,235,2011
AA,215,2010
AS,106,2010
AAS,0,2010
AAT,0,2010
AES,2,2010
AFA,3,2010
AGS,0,2010
AAPS,192,2010
AA,178,2009
AS,106,2009
AAS,0,2009
AAT,0,2009
AES,0,2009
AFA,2,2009
AGS,1,2009
AAPS,369,2009
AA,186,2008
AS,125,2008
AAS,0,2008
AAT,0,2008
AES,2,2008
AFA,2,2008
AGS,0,2008
AAPS,227,2008
AA,185,2007
AS,117,2007
AAS,0,2007
AES,0,2007
AFA,3,2007
AGS,0,2007
AAPS,235,2007
AA,172,2006
AS,147,2006
AAS,0,2006
AES,3,2006
AFA,1,2006
AGS,0,2006
AAPS,193,2006
AA,171,2005
AS,162,2005
AAS,0,2005
AES,1,2005
AFA,1,2005
AGS,2,2005
AAPS,247,2005
AA,174,2004
AS,161,2004
AAS,0,2004
AES,3,2004
AFA,0,2004
AGS,7,2004
AAPS,204,2004
AA,140,2003
AS,144,2003
AAS,0,2003
AES,1,2003
AFA,0,2003
AGS,4,2003
AAPS,216,2003
AA,123,2002
AS,142,2002
AAS,0,2002
AES,1,2002
AFA,0,2002
AGS,5,2002
AAPS,194,2002
AA,153,2001
AS,153,2001
AAS,0,2001
AES,0,2001
AFA,0,2001
AGS,0,2001
AAPS,186,2001
AA,145,2000
AS,135,2000
AAS,0,2000
AES,1,2000
AFA,0,2000
AGS,3,2000
AAPS,177,2000
AA,126,1999
AS,156,1999
AAS,0,1999
AES,3,1999
AFA,0,1999
AGS,0,1999
AAPS,222,1999
AA,322,1998
AS,110,1998
AAS,0,1998
AES,0,1998
AFA,0,1998
AGS,0,1998
AAPS,233,1998
AA,386,1997
AS,102,1997
AAS,0,1997
AES,0,1997
AFA,1,1997
AGS,0,1997
AAPS,290,1997
AA,194,1996
AS,93,1996
AAS,0,1996
AES,0,1996
AGS,0,1996
AAPS,184,1996
