key,value,date
AA,69,2016
AS,438,2016
AAS,0,2016
AAT,0,2016
AES,8,2016
AFA,3,2016
AGS,77,2016
AAPS,222,2016
AA,45,2015
AS,423,2015
AAS,0,2015
AAT,0,2015
AES,2,2015
AFA,6,2015
AGS,80,2015
AAPS,232,2015
AA,41,2014
AS,435,2014
AAS,0,2014
AAT,0,2014
AES,4,2014
AFA,12,2014
AGS,63,2014
AAPS,228,2014
AA,36,2013
AS,467,2013
AAS,0,2013
AAT,0,2013
AES,1,2013
AFA,7,2013
AGS,44,2013
AAPS,187,2013
AA,61,2012
AS,455,2012
AAS,0,2012
AAT,0,2012
AES,2,2012
AFA,9,2012
AGS,70,2012
AAPS,206,2012
AA,45,2011
AS,428,2011
AAS,0,2011
AAT,0,2011
AES,1,2011
AFA,7,2011
AGS,54,2011
AAPS,182,2011
AA,31,2010
AS,337,2010
AAS,0,2010
AAT,0,2010
AES,0,2010
AFA,8,2010
AGS,49,2010
AAPS,157,2010
AA,41,2009
AS,277,2009
AAS,0,2009
AAT,0,2009
AES,3,2009
AFA,5,2009
AGS,32,2009
AAPS,115,2009
AA,25,2008
AS,271,2008
AAS,0,2008
AAT,0,2008
AES,3,2008
AFA,7,2008
AGS,21,2008
AAPS,110,2008
AA,60,2007
AS,328,2007
AAS,0,2007
AES,0,2007
AFA,3,2007
AGS,39,2007
AAPS,91,2007
AA,41,2006
AS,324,2006
AAS,0,2006
AES,4,2006
AFA,5,2006
AGS,51,2006
AAPS,95,2006
AA,30,2005
AS,316,2005
AAS,0,2005
AES,0,2005
AFA,12,2005
AGS,38,2005
AAPS,79,2005
AA,33,2004
AS,270,2004
AAS,0,2004
AES,1,2004
AFA,11,2004
AGS,40,2004
AAPS,77,2004
AA,18,2003
AS,242,2003
AAS,0,2003
AES,4,2003
AFA,6,2003
AGS,25,2003
AAPS,63,2003
AA,14,2002
AS,253,2002
AAS,0,2002
AES,2,2002
AFA,7,2002
AGS,20,2002
AAPS,71,2002
AA,24,2001
AS,255,2001
AAS,0,2001
AES,2,2001
AFA,4,2001
AGS,37,2001
AAPS,93,2001
AA,22,2000
AS,240,2000
AAS,0,2000
AES,1,2000
AFA,4,2000
AGS,30,2000
AAPS,76,2000
AA,16,1999
AS,220,1999
AAS,0,1999
AES,0,1999
AFA,3,1999
AGS,22,1999
AAPS,58,1999
AA,150,1998
AS,162,1998
AAS,0,1998
AES,4,1998
AFA,0,1998
AGS,1,1998
AAPS,215,1998
AA,179,1997
AS,117,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,0,1997
AAPS,207,1997
AA,25,1996
AS,220,1996
AAS,0,1996
AES,0,1996
AGS,13,1996
AAPS,41,1996
