key,value,date
AA,463,2016
AS,920,2016
AAS,0,2016
AAT,0,2016
AES,0,2016
AFA,5,2016
AGS,112,2016
AAPS,504,2016
AA,403,2015
AS,863,2015
AAS,0,2015
AAT,0,2015
AES,0,2015
AFA,6,2015
AGS,0,2015
AAPS,454,2015
AA,425,2014
AS,843,2014
AAS,0,2014
AAT,1,2014
AES,0,2014
AFA,6,2014
AGS,0,2014
AAPS,499,2014
AA,442,2013
AS,876,2013
AAS,0,2013
AAT,0,2013
AES,0,2013
AFA,0,2013
AGS,0,2013
AAPS,480,2013
AA,491,2012
AS,856,2012
AAS,0,2012
AAT,0,2012
AES,0,2012
AFA,2,2012
AGS,0,2012
AAPS,473,2012
AA,421,2011
AS,673,2011
AAS,0,2011
AAT,1,2011
AES,0,2011
AFA,0,2011
AGS,0,2011
AAPS,437,2011
AA,460,2010
AS,602,2010
AAS,0,2010
AAT,2,2010
AES,0,2010
AFA,0,2010
AGS,0,2010
AAPS,402,2010
AA,398,2009
AS,495,2009
AAS,0,2009
AAT,0,2009
AES,0,2009
AFA,1,2009
AGS,0,2009
AAPS,357,2009
AA,376,2008
AS,533,2008
AAS,0,2008
AAT,0,2008
AES,0,2008
AFA,0,2008
AGS,0,2008
AAPS,339,2008
AA,363,2007
AS,512,2007
AAS,0,2007
AES,0,2007
AFA,0,2007
AGS,0,2007
AAPS,351,2007
AA,401,2006
AS,479,2006
AAS,0,2006
AES,0,2006
AFA,0,2006
AGS,0,2006
AAPS,343,2006
AA,399,2005
AS,415,2005
AAS,0,2005
AES,0,2005
AFA,3,2005
AGS,0,2005
AAPS,351,2005
AA,376,2004
AS,415,2004
AAS,0,2004
AES,0,2004
AFA,4,2004
AGS,0,2004
AAPS,326,2004
AA,339,2003
AS,386,2003
AAS,0,2003
AES,0,2003
AFA,1,2003
AGS,0,2003
AAPS,333,2003
AA,380,2002
AS,371,2002
AAS,0,2002
AES,0,2002
AFA,4,2002
AGS,0,2002
AAPS,322,2002
AA,442,2001
AS,315,2001
AAS,0,2001
AES,0,2001
AFA,1,2001
AGS,0,2001
AAPS,332,2001
AA,421,2000
AS,284,2000
AAS,0,2000
AES,0,2000
AFA,0,2000
AGS,0,2000
AAPS,328,2000
AA,463,1999
AS,301,1999
AAS,0,1999
AES,0,1999
AFA,0,1999
AGS,0,1999
AAPS,314,1999
AA,29,1998
AS,15,1998
AAS,0,1998
AES,0,1998
AFA,0,1998
AGS,0,1998
AAPS,6,1998
AA,24,1997
AS,12,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,0,1997
AAPS,21,1997
AA,442,1996
AS,288,1996
AAS,0,1996
AES,0,1996
AGS,0,1996
AAPS,355,1996
