key,value,date
AA,131,2016
AS,122,2016
AAS,0,2016
AAT,0,2016
AES,0,2016
AFA,3,2016
AGS,51,2016
AAPS,152,2016
AA,138,2015
AS,94,2015
AAS,0,2015
AAT,0,2015
AES,0,2015
AFA,3,2015
AGS,85,2015
AAPS,184,2015
AA,131,2014
AS,80,2014
AAS,0,2014
AAT,0,2014
AES,0,2014
AFA,4,2014
AGS,42,2014
AAPS,120,2014
AA,133,2013
AS,66,2013
AAS,0,2013
AAT,0,2013
AES,0,2013
AFA,6,2013
AGS,62,2013
AAPS,150,2013
AA,100,2012
AS,73,2012
AAS,0,2012
AAT,1,2012
AES,0,2012
AFA,5,2012
AGS,73,2012
AAPS,168,2012
AA,100,2011
AS,60,2011
AAS,0,2011
AAT,0,2011
AES,0,2011
AFA,2,2011
AGS,53,2011
AAPS,123,2011
AA,108,2010
AS,45,2010
AAS,0,2010
AAT,0,2010
AES,0,2010
AFA,2,2010
AGS,53,2010
AAPS,144,2010
AA,94,2009
AS,35,2009
AAS,0,2009
AAT,0,2009
AES,0,2009
AFA,2,2009
AGS,54,2009
AAPS,119,2009
AA,96,2008
AS,29,2008
AAS,0,2008
AAT,0,2008
AES,0,2008
AFA,4,2008
AGS,65,2008
AAPS,139,2008
AA,88,2007
AS,28,2007
AAS,0,2007
AES,0,2007
AFA,6,2007
AGS,58,2007
AAPS,151,2007
AA,92,2006
AS,20,2006
AAS,0,2006
AES,0,2006
AFA,4,2006
AGS,59,2006
AAPS,140,2006
AA,87,2005
AS,17,2005
AAS,0,2005
AES,0,2005
AFA,2,2005
AGS,76,2005
AAPS,113,2005
AA,65,2004
AS,13,2004
AAS,0,2004
AES,0,2004
AFA,2,2004
AGS,51,2004
AAPS,96,2004
AA,111,2003
AS,28,2003
AAS,0,2003
AES,0,2003
AFA,3,2003
AGS,47,2003
AAPS,110,2003
AA,99,2002
AS,28,2002
AAS,0,2002
AES,0,2002
AFA,0,2002
AGS,32,2002
AAPS,101,2002
AA,81,2001
AS,30,2001
AAS,0,2001
AES,0,2001
AFA,0,2001
AGS,45,2001
AAPS,93,2001
AA,72,2000
AS,16,2000
AAS,0,2000
AES,0,2000
AFA,0,2000
AGS,44,2000
AAPS,86,2000
AA,63,1999
AS,19,1999
AAS,0,1999
AES,0,1999
AFA,0,1999
AGS,53,1999
AAPS,139,1999
AA,461,1998
AS,284,1998
AAS,0,1998
AES,0,1998
AFA,0,1998
AGS,0,1998
AAPS,303,1998
AA,396,1997
AS,272,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,0,1997
AAPS,279,1997
AA,84,1996
AS,26,1996
AAS,0,1996
AES,0,1996
AGS,45,1996
AAPS,122,1996
