key,value,date
AA,503,2016
AS,22,2016
AAS,0,2016
AAT,1,2016
AES,7,2016
AFA,3,2016
AGS,0,2016
AAPS,248,2016
AA,464,2015
AS,12,2015
AAS,0,2015
AAT,3,2015
AES,10,2015
AFA,4,2015
AGS,0,2015
AAPS,267,2015
AA,854,2014
AS,12,2014
AAS,0,2014
AAT,1,2014
AES,8,2014
AFA,2,2014
AGS,0,2014
AAPS,448,2014
AA,367,2013
AS,14,2013
AAS,0,2013
AAT,0,2013
AES,6,2013
AFA,3,2013
AGS,0,2013
AAPS,249,2013
AA,328,2012
AS,12,2012
AAS,0,2012
AAT,5,2012
AES,2,2012
AFA,2,2012
AGS,0,2012
AAPS,254,2012
AA,288,2011
AS,3,2011
AAS,0,2011
AAT,1,2011
AES,9,2011
AFA,2,2011
AGS,0,2011
AAPS,204,2011
AA,286,2010
AS,14,2010
AAS,0,2010
AAT,1,2010
AES,2,2010
AFA,0,2010
AGS,0,2010
AAPS,218,2010
AA,228,2009
AS,5,2009
AAS,0,2009
AAT,0,2009
AES,4,2009
AFA,1,2009
AGS,0,2009
AAPS,209,2009
AA,265,2008
AS,8,2008
AAS,0,2008
AAT,0,2008
AES,3,2008
AFA,1,2008
AGS,0,2008
AAPS,197,2008
AA,267,2007
AS,7,2007
AAS,0,2007
AES,4,2007
AFA,1,2007
AGS,0,2007
AAPS,266,2007
AA,222,2006
AS,7,2006
AAS,0,2006
AES,7,2006
AFA,0,2006
AGS,0,2006
AAPS,199,2006
AA,256,2005
AS,7,2005
AAS,0,2005
AES,9,2005
AFA,0,2005
AGS,0,2005
AAPS,210,2005
AA,259,2004
AS,9,2004
AAS,0,2004
AES,4,2004
AFA,1,2004
AGS,0,2004
AAPS,195,2004
AA,238,2003
AS,6,2003
AAS,0,2003
AES,9,2003
AFA,2,2003
AGS,0,2003
AAPS,161,2003
AA,225,2002
AS,4,2002
AAS,0,2002
AES,4,2002
AFA,1,2002
AGS,0,2002
AAPS,171,2002
AA,202,2001
AS,1,2001
AAS,0,2001
AES,2,2001
AFA,0,2001
AGS,0,2001
AAPS,159,2001
AA,190,2000
AS,1,2000
AAS,0,2000
AES,5,2000
AFA,3,2000
AGS,0,2000
AAPS,152,2000
AA,226,1999
AS,7,1999
AAS,0,1999
AES,4,1999
AFA,0,1999
AGS,0,1999
AAPS,144,1999
AA,79,1998
AS,21,1998
AAS,0,1998
AES,0,1998
AFA,0,1998
AGS,70,1998
AAPS,112,1998
AA,92,1997
AS,25,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,50,1997
AAPS,101,1997
AA,214,1996
AS,0,1996
AAS,0,1996
AES,5,1996
AGS,0,1996
AAPS,215,1996
