key,value,date
AA,104,2016
AS,213,2016
AAS,0,2016
AAT,0,2016
AES,6,2016
AFA,17,2016
AGS,71,2016
AAPS,405,2016
AA,80,2015
AS,176,2015
AAS,0,2015
AAT,0,2015
AES,8,2015
AFA,12,2015
AGS,48,2015
AAPS,406,2015
AA,115,2014
AS,200,2014
AAS,0,2014
AAT,0,2014
AES,7,2014
AFA,6,2014
AGS,60,2014
AAPS,401,2014
AA,94,2013
AS,178,2013
AAS,0,2013
AAT,0,2013
AES,5,2013
AFA,6,2013
AGS,64,2013
AAPS,426,2013
AA,110,2012
AS,212,2012
AAS,0,2012
AAT,0,2012
AES,2,2012
AFA,10,2012
AGS,54,2012
AAPS,419,2012
AA,130,2011
AS,248,2011
AAS,0,2011
AAT,0,2011
AES,3,2011
AFA,8,2011
AGS,61,2011
AAPS,378,2011
AA,139,2010
AS,222,2010
AAS,0,2010
AAT,0,2010
AES,8,2010
AFA,6,2010
AGS,55,2010
AAPS,388,2010
AA,158,2009
AS,267,2009
AAS,0,2009
AAT,0,2009
AES,12,2009
AFA,11,2009
AGS,66,2009
AAPS,468,2009
AA,154,2008
AS,257,2008
AAS,0,2008
AAT,0,2008
AES,6,2008
AFA,10,2008
AGS,56,2008
AAPS,420,2008
AA,150,2007
AS,299,2007
AAS,0,2007
AES,9,2007
AFA,12,2007
AGS,70,2007
AAPS,420,2007
AA,163,2006
AS,313,2006
AAS,0,2006
AES,7,2006
AFA,10,2006
AGS,55,2006
AAPS,522,2006
AA,161,2005
AS,283,2005
AAS,0,2005
AES,4,2005
AFA,7,2005
AGS,44,2005
AAPS,394,2005
AA,190,2004
AS,283,2004
AAS,0,2004
AES,9,2004
AFA,8,2004
AGS,37,2004
AAPS,418,2004
AA,169,2003
AS,254,2003
AAS,0,2003
AES,17,2003
AFA,12,2003
AGS,30,2003
AAPS,340,2003
AA,176,2002
AS,196,2002
AAS,0,2002
AES,14,2002
AFA,11,2002
AGS,27,2002
AAPS,317,2002
AA,179,2001
AS,157,2001
AAS,0,2001
AES,26,2001
AFA,13,2001
AGS,14,2001
AAPS,344,2001
AA,186,2000
AS,151,2000
AAS,0,2000
AES,17,2000
AFA,6,2000
AGS,29,2000
AAPS,351,2000
AA,233,1999
AS,138,1999
AAS,0,1999
AES,24,1999
AFA,10,1999
AGS,17,1999
AAPS,347,1999
AA,196,1998
AS,6,1998
AAS,0,1998
AES,8,1998
AFA,0,1998
AGS,0,1998
AAPS,160,1998
AA,177,1997
AS,7,1997
AAS,0,1997
AES,10,1997
AFA,0,1997
AGS,0,1997
AAPS,187,1997
AA,162,1996
AS,117,1996
AAS,0,1996
AES,0,1996
AGS,9,1996
AAPS,430,1996
