key,value,date
AA,180,2016
AS,93,2016
AAS,0,2016
AAT,0,2016
AES,0,2016
AFA,5,2016
AGS,16,2016
AAPS,137,2016
AA,211,2015
AS,69,2015
AAS,0,2015
AAT,0,2015
AES,0,2015
AFA,0,2015
AGS,22,2015
AAPS,122,2015
AA,214,2014
AS,61,2014
AAS,0,2014
AAT,0,2014
AES,0,2014
AFA,1,2014
AGS,7,2014
AAPS,170,2014
AA,218,2013
AS,41,2013
AAS,0,2013
AAT,0,2013
AES,0,2013
AFA,1,2013
AGS,7,2013
AAPS,94,2013
AA,192,2012
AS,53,2012
AAS,0,2012
AAT,0,2012
AES,0,2012
AFA,5,2012
AGS,11,2012
AAPS,129,2012
AA,194,2011
AS,38,2011
AAS,0,2011
AAT,0,2011
AES,0,2011
AFA,2,2011
AGS,6,2011
AAPS,121,2011
AA,208,2010
AS,30,2010
AAS,0,2010
AAT,0,2010
AES,0,2010
AFA,4,2010
AGS,6,2010
AAPS,124,2010
AA,194,2009
AS,42,2009
AAS,0,2009
AAT,0,2009
AES,0,2009
AFA,3,2009
AGS,8,2009
AAPS,128,2009
AA,151,2008
AS,39,2008
AAS,0,2008
AAT,0,2008
AES,0,2008
AFA,1,2008
AGS,5,2008
AAPS,132,2008
AA,175,2007
AS,30,2007
AAS,0,2007
AES,0,2007
AFA,0,2007
AGS,6,2007
AAPS,121,2007
AA,149,2006
AS,31,2006
AAS,0,2006
AES,0,2006
AFA,1,2006
AGS,8,2006
AAPS,130,2006
AA,157,2005
AS,23,2005
AAS,0,2005
AES,0,2005
AFA,2,2005
AGS,6,2005
AAPS,154,2005
AA,171,2004
AS,29,2004
AAS,0,2004
AES,0,2004
AFA,1,2004
AGS,3,2004
AAPS,123,2004
AA,149,2003
AS,32,2003
AAS,0,2003
AES,0,2003
AFA,0,2003
AGS,4,2003
AAPS,112,2003
AA,136,2002
AS,23,2002
AAS,0,2002
AES,0,2002
AFA,0,2002
AGS,5,2002
AAPS,119,2002
AA,163,2001
AS,21,2001
AAS,0,2001
AES,0,2001
AFA,0,2001
AGS,8,2001
AAPS,139,2001
AA,181,2000
AS,27,2000
AAS,0,2000
AES,0,2000
AFA,0,2000
AGS,16,2000
AAPS,152,2000
AA,151,1999
AS,34,1999
AAS,0,1999
AES,0,1999
AFA,0,1999
AGS,15,1999
AAPS,155,1999
AA,202,1998
AS,143,1998
AAS,0,1998
AES,18,1998
AFA,5,1998
AGS,13,1998
AAPS,385,1998
AA,198,1997
AS,144,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,11,1997
AAPS,446,1997
AA,121,1996
AS,37,1996
AAS,0,1996
AES,0,1996
AGS,8,1996
AAPS,176,1996
