key,value,date
AA,189,2016
AS,141,2016
AAS,0,2016
AAT,1,2016
AES,3,2016
AFA,7,2016
AGS,0,2016
AAPS,226,2016
AA,223,2015
AS,181,2015
AAS,0,2015
AAT,0,2015
AES,2,2015
AFA,1,2015
AGS,0,2015
AAPS,251,2015
AA,203,2014
AS,142,2014
AAS,0,2014
AAT,3,2014
AES,1,2014
AFA,5,2014
AGS,0,2014
AAPS,204,2014
AA,231,2013
AS,177,2013
AAS,0,2013
AAT,2,2013
AES,3,2013
AFA,4,2013
AGS,0,2013
AAPS,363,2013
AA,209,2012
AS,142,2012
AAS,0,2012
AAT,9,2012
AES,3,2012
AFA,5,2012
AGS,0,2012
AAPS,370,2012
AA,210,2011
AS,149,2011
AAS,0,2011
AAT,0,2011
AES,4,2011
AFA,0,2011
AGS,0,2011
AAPS,339,2011
AA,261,2010
AS,203,2010
AAS,0,2010
AAT,6,2010
AES,7,2010
AFA,0,2010
AGS,0,2010
AAPS,277,2010
AA,241,2009
AS,183,2009
AAS,0,2009
AAT,0,2009
AES,1,2009
AFA,4,2009
AGS,0,2009
AAPS,349,2009
AA,243,2008
AS,177,2008
AAS,0,2008
AAT,0,2008
AES,3,2008
AFA,1,2008
AGS,0,2008
AAPS,202,2008
AA,223,2007
AS,148,2007
AAS,0,2007
AES,4,2007
AFA,2,2007
AGS,0,2007
AAPS,231,2007
AA,223,2006
AS,155,2006
AAS,0,2006
AES,2,2006
AFA,0,2006
AGS,0,2006
AAPS,203,2006
AA,246,2005
AS,151,2005
AAS,0,2005
AES,0,2005
AFA,0,2005
AGS,0,2005
AAPS,278,2005
AA,234,2004
AS,137,2004
AAS,0,2004
AES,1,2004
AFA,1,2004
AGS,0,2004
AAPS,102,2004
AA,167,2003
AS,103,2003
AAS,0,2003
AES,0,2003
AFA,1,2003
AGS,0,2003
AAPS,143,2003
AA,154,2002
AS,80,2002
AAS,0,2002
AES,0,2002
AFA,0,2002
AGS,0,2002
AAPS,114,2002
AA,130,2001
AS,50,2001
AAS,0,2001
AES,0,2001
AFA,0,2001
AGS,0,2001
AAPS,86,2001
AA,118,2000
AS,49,2000
AAS,0,2000
AES,0,2000
AFA,0,2000
AGS,0,2000
AAPS,90,2000
AA,138,1999
AS,68,1999
AAS,0,1999
AES,0,1999
AFA,0,1999
AGS,0,1999
AAPS,131,1999
AA,165,1998
AS,35,1998
AAS,0,1998
AES,0,1998
AFA,0,1998
AGS,15,1998
AAPS,158,1998
AA,151,1997
AS,37,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,14,1997
AAPS,164,1997
AA,126,1996
AS,56,1996
AAS,0,1996
AES,0,1996
AGS,0,1996
AAPS,181,1996
