key,value,date
AA,87,2016
AS,75,2016
AAS,0,2016
AAT,1,2016
AES,2,2016
AFA,0,2016
AGS,23,2016
AAPS,151,2016
AA,83,2015
AS,82,2015
AAS,0,2015
AAT,1,2015
AES,0,2015
AFA,0,2015
AGS,29,2015
AAPS,159,2015
AA,86,2014
AS,82,2014
AAS,0,2014
AAT,0,2014
AES,1,2014
AFA,0,2014
AGS,29,2014
AAPS,179,2014
AA,106,2013
AS,65,2013
AAS,0,2013
AAT,2,2013
AES,4,2013
AFA,2,2013
AGS,34,2013
AAPS,152,2013
AA,106,2012
AS,84,2012
AAS,0,2012
AAT,1,2012
AES,0,2012
AFA,0,2012
AGS,51,2012
AAPS,159,2012
AA,188,2011
AS,150,2011
AAS,0,2011
AAT,0,2011
AES,2,2011
AFA,0,2011
AGS,20,2011
AAPS,251,2011
AA,82,2010
AS,62,2010
AAS,0,2010
AAT,0,2010
AES,2,2010
AFA,3,2010
AGS,9,2010
AAPS,114,2010
AA,92,2009
AS,69,2009
AAS,0,2009
AAT,0,2009
AES,0,2009
AFA,0,2009
AGS,14,2009
AAPS,115,2009
AA,61,2008
AS,74,2008
AAS,0,2008
AAT,0,2008
AES,0,2008
AFA,0,2008
AGS,5,2008
AAPS,144,2008
AA,62,2007
AS,74,2007
AAS,0,2007
AES,1,2007
AFA,2,2007
AGS,11,2007
AAPS,152,2007
AA,61,2006
AS,67,2006
AAS,0,2006
AES,1,2006
AFA,0,2006
AGS,8,2006
AAPS,109,2006
AA,97,2005
AS,46,2005
AAS,0,2005
AES,1,2005
AFA,0,2005
AGS,6,2005
AAPS,158,2005
AA,90,2004
AS,64,2004
AAS,0,2004
AES,3,2004
AFA,2,2004
AGS,5,2004
AAPS,181,2004
AA,123,2003
AS,67,2003
AAS,0,2003
AES,5,2003
AFA,0,2003
AGS,2,2003
AAPS,127,2003
AA,102,2002
AS,65,2002
AAS,0,2002
AES,2,2002
AFA,0,2002
AGS,2,2002
AAPS,140,2002
AA,102,2001
AS,67,2001
AAS,0,2001
AES,1,2001
AFA,1,2001
AGS,1,2001
AAPS,109,2001
AA,103,2000
AS,81,2000
AAS,0,2000
AES,0,2000
AFA,0,2000
AGS,5,2000
AAPS,91,2000
AA,101,1999
AS,84,1999
AAS,0,1999
AES,2,1999
AFA,0,1999
AGS,5,1999
AAPS,127,1999
AA,132,1998
AS,85,1998
AAS,0,1998
AES,0,1998
AFA,0,1998
AGS,0,1998
AAPS,136,1998
AA,145,1997
AS,68,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,0,1997
AAPS,165,1997
AA,83,1996
AS,97,1996
AAS,0,1996
AES,0,1996
AGS,2,1996
AAPS,153,1996
