key,value,date
AA,671,2016
AS,216,2016
AAS,0,2016
AAT,0,2016
AES,19,2016
AFA,0,2016
AGS,1,2016
AAPS,209,2016
AA,605,2015
AS,178,2015
AAS,0,2015
AAT,0,2015
AES,7,2015
AFA,0,2015
AGS,1,2015
AAPS,237,2015
AA,595,2014
AS,190,2014
AAS,0,2014
AAT,0,2014
AES,9,2014
AFA,0,2014
AGS,0,2014
AAPS,276,2014
AA,635,2013
AS,181,2013
AAS,0,2013
AAT,1,2013
AES,2,2013
AFA,0,2013
AGS,0,2013
AAPS,306,2013
AA,558,2012
AS,152,2012
AAS,0,2012
AAT,0,2012
AES,1,2012
AFA,0,2012
AGS,3,2012
AAPS,310,2012
AA,638,2011
AS,144,2011
AAS,0,2011
AAT,0,2011
AES,0,2011
AFA,0,2011
AGS,0,2011
AAPS,257,2011
AA,561,2010
AS,134,2010
AAS,0,2010
AAT,0,2010
AES,2,2010
AFA,0,2010
AGS,1,2010
AAPS,267,2010
AA,495,2009
AS,104,2009
AAS,0,2009
AAT,0,2009
AES,0,2009
AFA,0,2009
AGS,2,2009
AAPS,231,2009
AA,461,2008
AS,97,2008
AAS,0,2008
AAT,0,2008
AES,0,2008
AFA,0,2008
AGS,2,2008
AAPS,215,2008
AA,508,2007
AS,96,2007
AAS,0,2007
AES,0,2007
AFA,0,2007
AGS,1,2007
AAPS,243,2007
AA,469,2006
AS,78,2006
AAS,0,2006
AES,0,2006
AFA,0,2006
AGS,2,2006
AAPS,197,2006
AA,465,2005
AS,89,2005
AAS,0,2005
AES,0,2005
AFA,0,2005
AGS,5,2005
AAPS,235,2005
AA,508,2004
AS,80,2004
AAS,0,2004
AES,0,2004
AFA,0,2004
AGS,1,2004
AAPS,224,2004
AA,432,2003
AS,69,2003
AAS,0,2003
AES,0,2003
AFA,0,2003
AGS,1,2003
AAPS,204,2003
AA,366,2002
AS,71,2002
AAS,0,2002
AES,0,2002
AFA,0,2002
AGS,1,2002
AAPS,172,2002
AA,407,2001
AS,72,2001
AAS,0,2001
AES,0,2001
AFA,0,2001
AGS,1,2001
AAPS,170,2001
AA,409,2000
AS,99,2000
AAS,0,2000
AES,0,2000
AFA,0,2000
AGS,4,2000
AAPS,166,2000
AA,411,1999
AS,86,1999
AAS,0,1999
AES,0,1999
AFA,0,1999
AGS,2,1999
AAPS,123,1999
AA,117,1998
AS,94,1998
AAS,0,1998
AES,8,1998
AFA,0,1998
AGS,4,1998
AAPS,135,1998
AA,83,1997
AS,76,1997
AAS,0,1997
AES,1,1997
AFA,0,1997
AGS,4,1997
AAPS,122,1997
AA,384,1996
AS,95,1996
AAS,0,1996
AES,0,1996
AGS,3,1996
AAPS,184,1996
