key,value,date
AA,78,2016
AS,77,2016
AAS,0,2016
AAT,0,2016
AES,0,2016
AFA,1,2016
AGS,51,2016
AAPS,134,2016
AA,61,2015
AS,76,2015
AAS,0,2015
AAT,0,2015
AES,1,2015
AFA,1,2015
AGS,39,2015
AAPS,135,2015
AA,59,2014
AS,69,2014
AAS,0,2014
AAT,0,2014
AES,0,2014
AFA,3,2014
AGS,36,2014
AAPS,138,2014
AA,61,2013
AS,56,2013
AAS,0,2013
AAT,0,2013
AES,1,2013
AFA,3,2013
AGS,32,2013
AAPS,162,2013
AA,66,2012
AS,53,2012
AAS,0,2012
AAT,0,2012
AES,0,2012
AFA,1,2012
AGS,10,2012
AAPS,140,2012
AA,63,2011
AS,52,2011
AAS,0,2011
AAT,0,2011
AES,0,2011
AFA,4,2011
AGS,5,2011
AAPS,174,2011
AA,53,2010
AS,50,2010
AAS,0,2010
AAT,0,2010
AES,0,2010
AFA,2,2010
AGS,4,2010
AAPS,123,2010
AA,63,2009
AS,49,2009
AAS,0,2009
AAT,0,2009
AES,0,2009
AFA,2,2009
AGS,10,2009
AAPS,124,2009
AA,70,2008
AS,40,2008
AAS,0,2008
AAT,0,2008
AES,0,2008
AFA,3,2008
AGS,6,2008
AAPS,126,2008
AA,66,2007
AS,34,2007
AAS,0,2007
AES,0,2007
AFA,2,2007
AGS,13,2007
AAPS,189,2007
AA,74,2006
AS,37,2006
AAS,0,2006
AES,0,2006
AFA,2,2006
AGS,10,2006
AAPS,231,2006
AA,80,2005
AS,58,2005
AAS,0,2005
AES,0,2005
AFA,2,2005
AGS,8,2005
AAPS,158,2005
AA,62,2004
AS,39,2004
AAS,0,2004
AES,0,2004
AFA,0,2004
AGS,4,2004
AAPS,175,2004
AA,77,2003
AS,60,2003
AAS,0,2003
AES,0,2003
AFA,1,2003
AGS,9,2003
AAPS,181,2003
AA,69,2002
AS,66,2002
AAS,0,2002
AES,0,2002
AFA,6,2002
AGS,20,2002
AAPS,130,2002
AA,65,2001
AS,70,2001
AAS,0,2001
AES,0,2001
AFA,2,2001
AGS,24,2001
AAPS,107,2001
AA,67,2000
AS,77,2000
AAS,0,2000
AES,0,2000
AFA,4,2000
AGS,12,2000
AAPS,132,2000
AA,71,1999
AS,83,1999
AAS,0,1999
AES,0,1999
AFA,4,1999
AGS,24,1999
AAPS,109,1999
AA,370,1998
AS,74,1998
AAS,0,1998
AES,0,1998
AFA,0,1998
AGS,3,1998
AAPS,172,1998
AA,386,1997
AS,86,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,4,1997
AAPS,187,1997
AA,52,1996
AS,46,1996
AAS,0,1996
AES,0,1996
AGS,9,1996
AAPS,127,1996
