key,value,date
AA,49,2016
AS,116,2016
AAS,0,2016
AAT,0,2016
AES,7,2016
AFA,3,2016
AGS,2,2016
AAPS,101,2016
AA,44,2015
AS,126,2015
AAS,0,2015
AAT,0,2015
AES,3,2015
AFA,1,2015
AGS,14,2015
AAPS,117,2015
AA,39,2014
AS,122,2014
AAS,0,2014
AAT,0,2014
AES,1,2014
AFA,1,2014
AGS,9,2014
AAPS,120,2014
AA,40,2013
AS,106,2013
AAS,0,2013
AAT,0,2013
AES,4,2013
AFA,0,2013
AGS,8,2013
AAPS,120,2013
AA,51,2012
AS,108,2012
AAS,0,2012
AAT,0,2012
AES,4,2012
AFA,3,2012
AGS,9,2012
AAPS,114,2012
AA,41,2011
AS,101,2011
AAS,0,2011
AAT,0,2011
AES,1,2011
AFA,1,2011
AGS,11,2011
AAPS,111,2011
AA,51,2010
AS,102,2010
AAS,0,2010
AAT,0,2010
AES,2,2010
AFA,0,2010
AGS,9,2010
AAPS,89,2010
AA,48,2009
AS,112,2009
AAS,0,2009
AAT,0,2009
AES,1,2009
AFA,0,2009
AGS,13,2009
AAPS,100,2009
AA,57,2008
AS,100,2008
AAS,0,2008
AAT,0,2008
AES,2,2008
AFA,0,2008
AGS,12,2008
AAPS,78,2008
AA,62,2007
AS,104,2007
AAS,0,2007
AES,4,2007
AFA,3,2007
AGS,7,2007
AAPS,94,2007
AA,46,2006
AS,106,2006
AAS,0,2006
AES,3,2006
AFA,2,2006
AGS,9,2006
AAPS,93,2006
AA,50,2005
AS,84,2005
AAS,0,2005
AES,3,2005
AFA,5,2005
AGS,8,2005
AAPS,107,2005
AA,49,2004
AS,74,2004
AAS,0,2004
AES,3,2004
AFA,3,2004
AGS,10,2004
AAPS,79,2004
AA,50,2003
AS,82,2003
AAS,0,2003
AES,5,2003
AFA,0,2003
AGS,6,2003
AAPS,91,2003
AA,44,2002
AS,121,2002
AAS,0,2002
AES,4,2002
AFA,1,2002
AGS,8,2002
AAPS,78,2002
AA,69,2001
AS,79,2001
AAS,0,2001
AES,4,2001
AFA,2,2001
AGS,10,2001
AAPS,96,2001
AA,59,2000
AS,84,2000
AAS,0,2000
AES,5,2000
AFA,0,2000
AGS,9,2000
AAPS,80,2000
AA,68,1999
AS,90,1999
AAS,0,1999
AES,1,1999
AFA,0,1999
AGS,6,1999
AAPS,78,1999
AA,58,1998
AS,53,1998
AAS,0,1998
AES,0,1998
AFA,1,1998
AGS,16,1998
AAPS,113,1998
AA,65,1997
AS,62,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,20,1997
AAPS,123,1997
AA,70,1996
AS,90,1996
AAS,0,1996
AES,0,1996
AGS,11,1996
AAPS,128,1996
