key,value,date
AA,138,2016
AS,64,2016
AAS,0,2016
AAT,0,2016
AES,0,2016
AFA,0,2016
AGS,24,2016
AAPS,58,2016
AA,160,2015
AS,65,2015
AAS,0,2015
AAT,0,2015
AES,0,2015
AFA,0,2015
AGS,18,2015
AAPS,51,2015
AA,172,2014
AS,58,2014
AAS,0,2014
AAT,0,2014
AES,0,2014
AFA,0,2014
AGS,18,2014
AAPS,55,2014
AA,190,2013
AS,60,2013
AAS,0,2013
AAT,0,2013
AES,0,2013
AFA,0,2013
AGS,31,2013
AAPS,64,2013
AA,166,2012
AS,45,2012
AAS,0,2012
AAT,0,2012
AES,0,2012
AFA,0,2012
AGS,21,2012
AAPS,78,2012
AA,144,2011
AS,47,2011
AAS,0,2011
AAT,0,2011
AES,0,2011
AFA,1,2011
AGS,10,2011
AAPS,73,2011
AA,149,2010
AS,55,2010
AAS,0,2010
AAT,0,2010
AES,0,2010
AFA,9,2010
AGS,3,2010
AAPS,55,2010
AA,140,2009
AS,41,2009
AAS,0,2009
AAT,0,2009
AES,1,2009
AFA,1,2009
AGS,8,2009
AAPS,73,2009
AA,126,2008
AS,29,2008
AAS,0,2008
AAT,0,2008
AES,0,2008
AFA,0,2008
AGS,9,2008
AAPS,77,2008
AA,138,2007
AS,47,2007
AAS,0,2007
AES,0,2007
AFA,0,2007
AGS,7,2007
AAPS,62,2007
AA,124,2006
AS,34,2006
AAS,0,2006
AES,1,2006
AFA,1,2006
AGS,6,2006
AAPS,54,2006
AA,87,2005
AS,26,2005
AAS,0,2005
AES,0,2005
AFA,1,2005
AGS,7,2005
AAPS,53,2005
AA,115,2004
AS,32,2004
AAS,0,2004
AES,0,2004
AFA,1,2004
AGS,11,2004
AAPS,53,2004
AA,120,2003
AS,33,2003
AAS,0,2003
AES,0,2003
AFA,0,2003
AGS,6,2003
AAPS,73,2003
AA,51,2002
AS,10,2002
AAS,0,2002
AES,1,2002
AFA,0,2002
AGS,7,2002
AAPS,17,2002
AA,120,2001
AS,36,2001
AAS,0,2001
AES,0,2001
AFA,0,2001
AGS,5,2001
AAPS,51,2001
AA,131,2000
AS,29,2000
AAS,0,2000
AES,0,2000
AFA,1,2000
AGS,4,2000
AAPS,59,2000
AA,100,1999
AS,32,1999
AAS,0,1999
AES,0,1999
AFA,1,1999
AGS,6,1999
AAPS,67,1999
AA,68,1998
AS,103,1998
AAS,0,1998
AES,0,1998
AFA,0,1998
AGS,3,1998
AAPS,126,1998
AA,68,1997
AS,75,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,10,1997
AAPS,102,1997
AA,85,1996
AS,43,1996
AAS,0,1996
AES,0,1996
AGS,6,1996
AAPS,103,1996
