key,value,date
AA,136,2016
AS,114,2016
AAS,0,2016
AAT,0,2016
AES,0,2016
AFA,4,2016
AGS,12,2016
AAPS,138,2016
AA,94,2015
AS,104,2015
AAS,0,2015
AAT,0,2015
AES,0,2015
AFA,2,2015
AGS,3,2015
AAPS,112,2015
AA,110,2014
AS,110,2014
AAS,0,2014
AAT,0,2014
AES,0,2014
AFA,4,2014
AGS,0,2014
AAPS,145,2014
AA,95,2013
AS,108,2013
AAS,0,2013
AAT,0,2013
AES,1,2013
AFA,3,2013
AGS,0,2013
AAPS,183,2013
AA,93,2012
AS,104,2012
AAS,0,2012
AAT,0,2012
AES,3,2012
AFA,1,2012
AGS,0,2012
AAPS,191,2012
AA,105,2011
AS,101,2011
AAS,0,2011
AAT,0,2011
AES,1,2011
AFA,4,2011
AGS,0,2011
AAPS,189,2011
AA,123,2010
AS,112,2010
AAS,0,2010
AAT,0,2010
AES,0,2010
AFA,2,2010
AGS,0,2010
AAPS,162,2010
AA,116,2009
AS,101,2009
AAS,0,2009
AAT,0,2009
AES,0,2009
AFA,2,2009
AGS,0,2009
AAPS,142,2009
AA,114,2008
AS,95,2008
AAS,0,2008
AAT,0,2008
AES,0,2008
AFA,3,2008
AGS,0,2008
AAPS,183,2008
AA,116,2007
AS,101,2007
AAS,0,2007
AES,1,2007
AFA,1,2007
AGS,0,2007
AAPS,177,2007
AA,124,2006
AS,98,2006
AAS,0,2006
AES,2,2006
AFA,2,2006
AGS,0,2006
AAPS,217,2006
AA,131,2005
AS,112,2005
AAS,0,2005
AES,0,2005
AFA,3,2005
AGS,0,2005
AAPS,234,2005
AA,129,2004
AS,88,2004
AAS,0,2004
AES,1,2004
AFA,2,2004
AGS,0,2004
AAPS,181,2004
AA,129,2003
AS,101,2003
AAS,0,2003
AES,6,2003
AFA,5,2003
AGS,0,2003
AAPS,202,2003
AA,100,2002
AS,64,2002
AAS,0,2002
AES,3,2002
AFA,0,2002
AGS,0,2002
AAPS,198,2002
AA,105,2001
AS,91,2001
AAS,0,2001
AES,1,2001
AFA,6,2001
AGS,0,2001
AAPS,225,2001
AA,108,2000
AS,84,2000
AAS,0,2000
AES,5,2000
AFA,1,2000
AGS,0,2000
AAPS,206,2000
AA,103,1999
AS,105,1999
AAS,0,1999
AES,0,1999
AFA,1,1999
AGS,0,1999
AAPS,238,1999
AA,107,1998
AS,46,1998
AAS,0,1998
AES,1,1998
AFA,0,1998
AGS,9,1998
AAPS,80,1998
AA,104,1997
AS,38,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,9,1997
AAPS,80,1997
AA,106,1996
AS,124,1996
AAS,0,1996
AES,0,1996
AGS,0,1996
AAPS,275,1996
