key,value,date
AA,101,2016
AS,97,2016
AAS,0,2016
AAT,0,2016
AES,3,2016
AFA,0,2016
AGS,1,2016
AAPS,92,2016
AA,86,2015
AS,84,2015
AAS,0,2015
AAT,0,2015
AES,2,2015
AFA,0,2015
AGS,1,2015
AAPS,103,2015
AA,74,2014
AS,67,2014
AAS,0,2014
AAT,0,2014
AES,8,2014
AFA,0,2014
AGS,0,2014
AAPS,65,2014
AA,68,2013
AS,63,2013
AAS,0,2013
AAT,0,2013
AES,3,2013
AFA,0,2013
AGS,2,2013
AAPS,102,2013
AA,87,2012
AS,65,2012
AAS,0,2012
AAT,0,2012
AES,1,2012
AFA,0,2012
AGS,4,2012
AAPS,67,2012
AA,83,2011
AS,51,2011
AAS,0,2011
AAT,0,2011
AES,3,2011
AFA,0,2011
AGS,0,2011
AAPS,59,2011
AA,59,2010
AS,49,2010
AAS,0,2010
AAT,0,2010
AES,0,2010
AFA,0,2010
AGS,1,2010
AAPS,76,2010
AA,69,2009
AS,69,2009
AAS,0,2009
AAT,0,2009
AES,0,2009
AFA,0,2009
AGS,2,2009
AAPS,107,2009
AA,73,2008
AS,58,2008
AAS,0,2008
AAT,1,2008
AES,4,2008
AFA,0,2008
AGS,7,2008
AAPS,87,2008
AA,60,2007
AS,53,2007
AAS,0,2007
AES,0,2007
AFA,0,2007
AGS,19,2007
AAPS,90,2007
AA,79,2006
AS,65,2006
AAS,0,2006
AES,5,2006
AFA,0,2006
AGS,11,2006
AAPS,83,2006
AA,87,2005
AS,54,2005
AAS,0,2005
AES,3,2005
AFA,0,2005
AGS,25,2005
AAPS,90,2005
AA,88,2004
AS,67,2004
AAS,0,2004
AES,2,2004
AFA,0,2004
AGS,15,2004
AAPS,65,2004
AA,100,2003
AS,65,2003
AAS,0,2003
AES,1,2003
AFA,0,2003
AGS,10,2003
AAPS,77,2003
AA,80,2002
AS,56,2002
AAS,0,2002
AES,0,2002
AFA,0,2002
AGS,16,2002
AAPS,93,2002
AA,94,2001
AS,81,2001
AAS,0,2001
AES,6,2001
AFA,0,2001
AGS,18,2001
AAPS,121,2001
AA,81,2000
AS,58,2000
AAS,0,2000
AES,3,2000
AFA,0,2000
AGS,18,2000
AAPS,145,2000
AA,66,1999
AS,58,1999
AAS,0,1999
AES,0,1999
AFA,0,1999
AGS,10,1999
AAPS,128,1999
AA,106,1998
AS,121,1998
AAS,0,1998
AES,1,1998
AFA,0,1998
AGS,0,1998
AAPS,256,1998
AA,96,1997
AS,95,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,0,1997
AAPS,275,1997
AA,71,1996
AS,52,1996
AAS,0,1996
AES,0,1996
AGS,23,1996
AAPS,145,1996
