key,value,date
AA,388,2016
AS,322,2016
AAS,0,2016
AAT,0,2016
AES,7,2016
AFA,20,2016
AGS,2,2016
AAPS,567,2016
AA,469,2015
AS,291,2015
AAS,0,2015
AAT,0,2015
AES,6,2015
AFA,21,2015
AGS,0,2015
AAPS,636,2015
AA,434,2014
AS,282,2014
AAS,0,2014
AAT,0,2014
AES,5,2014
AFA,15,2014
AGS,4,2014
AAPS,614,2014
AA,456,2013
AS,278,2013
AAS,0,2013
AAT,0,2013
AES,8,2013
AFA,15,2013
AGS,3,2013
AAPS,638,2013
AA,434,2012
AS,250,2012
AAS,0,2012
AAT,0,2012
AES,3,2012
AFA,29,2012
AGS,1,2012
AAPS,623,2012
AA,457,2011
AS,262,2011
AAS,0,2011
AAT,0,2011
AES,1,2011
AFA,19,2011
AGS,1,2011
AAPS,564,2011
AA,439,2010
AS,252,2010
AAS,0,2010
AAT,1,2010
AES,0,2010
AFA,14,2010
AGS,4,2010
AAPS,628,2010
AA,378,2009
AS,238,2009
AAS,0,2009
AAT,0,2009
AES,0,2009
AFA,9,2009
AGS,1,2009
AAPS,491,2009
AA,418,2008
AS,247,2008
AAS,0,2008
AAT,0,2008
AES,0,2008
AFA,12,2008
AGS,0,2008
AAPS,571,2008
AA,373,2007
AS,188,2007
AAS,0,2007
AES,0,2007
AFA,16,2007
AGS,1,2007
AAPS,493,2007
AA,557,2006
AS,261,2006
AAS,0,2006
AES,1,2006
AFA,22,2006
AGS,3,2006
AAPS,576,2006
AA,401,2005
AS,214,2005
AAS,0,2005
AES,0,2005
AFA,8,2005
AGS,1,2005
AAPS,441,2005
AA,405,2004
AS,199,2004
AAS,0,2004
AES,0,2004
AFA,6,2004
AGS,0,2004
AAPS,486,2004
AA,465,2003
AS,214,2003
AAS,0,2003
AES,0,2003
AFA,6,2003
AGS,0,2003
AAPS,448,2003
AA,466,2002
AS,229,2002
AAS,0,2002
AES,0,2002
AFA,6,2002
AGS,0,2002
AAPS,487,2002
AA,392,2001
AS,226,2001
AAS,0,2001
AES,0,2001
AFA,5,2001
AGS,0,2001
AAPS,443,2001
AA,408,2000
AS,273,2000
AAS,0,2000
AES,0,2000
AFA,1,2000
AGS,0,2000
AAPS,412,2000
AA,401,1999
AS,248,1999
AAS,0,1999
AES,0,1999
AFA,0,1999
AGS,0,1999
AAPS,467,1999
AA,72,1998
AS,67,1998
AAS,0,1998
AES,0,1998
AFA,0,1998
AGS,13,1998
AAPS,112,1998
AA,76,1997
AS,54,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,0,1997
AAPS,125,1997
AA,84,1996
AS,38,1996
AAS,0,1996
AES,0,1996
AGS,18,1996
AAPS,49,1996
