key,value,date
AA,0,2016
AS,0,2016
AAS,149,2016
AAT,0,2016
AES,0,2016
AFA,0,2016
AGS,22,2016
AAPS,35,2016
AA,0,2015
AS,0,2015
AAS,158,2015
AAT,0,2015
AES,0,2015
AFA,0,2015
AGS,18,2015
AAPS,43,2015
AA,0,2014
AS,0,2014
AAS,149,2014
AAT,0,2014
AES,0,2014
AFA,0,2014
AGS,27,2014
AAPS,66,2014
AA,2,2013
AS,0,2013
AAS,149,2013
AAT,3,2013
AES,0,2013
AFA,0,2013
AGS,17,2013
AAPS,57,2013
AA,4,2012
AS,4,2012
AAS,104,2012
AAT,0,2012
AES,0,2012
AFA,0,2012
AGS,24,2012
AAPS,55,2012
AA,13,2011
AS,6,2011
AAS,142,2011
AAT,2,2011
AES,0,2011
AFA,0,2011
AGS,31,2011
AAPS,41,2011
AA,44,2010
AS,16,2010
AAS,84,2010
AAT,2,2010
AES,0,2010
AFA,0,2010
AGS,14,2010
AAPS,57,2010
AA,71,2009
AS,33,2009
AAS,27,2009
AAT,0,2009
AES,0,2009
AFA,0,2009
AGS,19,2009
AAPS,66,2009
AA,98,2008
AS,68,2008
AAS,0,2008
AAT,1,2008
AES,0,2008
AFA,0,2008
AGS,14,2008
AAPS,51,2008
AA,109,2007
AS,71,2007
AAS,0,2007
AES,0,2007
AFA,0,2007
AGS,19,2007
AAPS,60,2007
AA,123,2006
AS,58,2006
AAS,0,2006
AES,0,2006
AFA,0,2006
AGS,18,2006
AAPS,70,2006
AA,108,2005
AS,53,2005
AAS,0,2005
AES,0,2005
AFA,0,2005
AGS,19,2005
AAPS,94,2005
AA,79,2004
AS,57,2004
AAS,0,2004
AES,0,2004
AFA,0,2004
AGS,8,2004
AAPS,57,2004
AA,104,2003
AS,48,2003
AAS,0,2003
AES,0,2003
AFA,0,2003
AGS,9,2003
AAPS,56,2003
AA,101,2002
AS,51,2002
AAS,0,2002
AES,0,2002
AFA,0,2002
AGS,7,2002
AAPS,36,2002
AA,98,2001
AS,36,2001
AAS,0,2001
AES,0,2001
AFA,0,2001
AGS,12,2001
AAPS,46,2001
AA,103,2000
AS,51,2000
AAS,0,2000
AES,0,2000
AFA,0,2000
AGS,8,2000
AAPS,60,2000
AA,82,1999
AS,48,1999
AAS,0,1999
AES,0,1999
AFA,0,1999
AGS,9,1999
AAPS,75,1999
AA,103,1998
AS,51,1998
AAS,0,1998
AES,0,1998
AFA,0,1998
AGS,5,1998
AAPS,68,1998
AA,97,1997
AS,49,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,20,1997
AAPS,67,1997
AA,38,1996
AS,24,1996
AAS,0,1996
AES,0,1996
AGS,0,1996
AAPS,49,1996
