key,value,date
AA,9936,2016
AS,7319,2016
AAS,585,2016
AAT,9,2016
AES,234,2016
AFA,107,2016
AGS,2227,2016
AAPS,10034,2016
AA,9657,2015
AS,6996,2015
AAS,553,2015
AAT,11,2015
AES,207,2015
AFA,105,2015
AGS,2350,2015
AAPS,10241,2015
AA,10046,2014
AS,6698,2014
AAS,642,2014
AAT,13,2014
AES,190,2014
AFA,120,2014
AGS,2277,2014
AAPS,10449,2014
AA,9832,2013
AS,6247,2013
AAS,966,2013
AAT,17,2013
AES,158,2013
AFA,97,2013
AGS,1878,2013
AAPS,10693,2013
AA,9274,2012
AS,5840,2012
AAS,1137,2012
AAT,29,2012
AES,130,2012
AFA,111,2012
AGS,1671,2012
AAPS,10955,2012
AA,8772,2011
AS,5248,2011
AAS,1236,2011
AAT,15,2011
AES,101,2011
AFA,82,2011
AGS,1475,2011
AAPS,10367,2011
AA,8524,2010
AS,4924,2010
AAS,1090,2010
AAT,18,2010
AES,92,2010
AFA,89,2010
AGS,1114,2010
AAPS,9432,2010
AA,7869,2009
AS,4667,2009
AAS,986,2009
AAT,2,2009
AES,80,2009
AFA,67,2009
AGS,1171,2009
AAPS,9257,2009
AA,7740,2008
AS,4608,2008
AAS,1008,2008
AAT,2,2008
AES,87,2008
AFA,72,2008
AGS,1027,2008
AAPS,8783,2008
AA,7776,2007
AS,4530,2007
AAS,995,2007
AES,88,2007
AFA,75,2007
AGS,1075,2007
AAPS,9046,2007
AA,8008,2006
AS,4508,2006
AAS,1052,2006
AES,83,2006
AFA,75,2006
AGS,983,2006
AAPS,9147,2006
AA,7854,2005
AS,4318,2005
AAS,989,2005
AES,66,2005
AFA,72,2005
AGS,916,2005
AAPS,8973,2005
AA,7645,2004
AS,4219,2004
AAS,946,2004
AES,92,2004
AFA,62,2004
AGS,807,2004
AAPS,7985,2004
AA,7537,2003
AS,4140,2003
AAS,887,2003
AES,95,2003
AFA,74,2003
AGS,783,2003
AAPS,7878,2003
AA,6998,2002
AS,3970,2002
AAS,831,2002
AES,84,2002
AFA,57,2002
AGS,651,2002
AAPS,7574,2002
AA,7059,2001
AS,3977,2001
AAS,797,2001
AES,90,2001
AFA,54,2001
AGS,718,2001
AAPS,7843,2001
AA,7052,2000
AS,4140,2000
AAS,578,2000
AES,83,2000
AFA,57,2000
AGS,714,2000
AAPS,7897,2000
AA,7083,1999
AS,4319,1999
AAS,560,1999
AES,68,1999
AFA,33,1999
AGS,634,1999
AAPS,7823,1999
AA,7736,1998
AS,4625,1998
AAS,592,1998
AES,72,1998
AFA,9,1998
AGS,775,1998
AAPS,8994,1998
AA,7415,1997
AS,4833,1997
AAS,466,1997
AES,31,1997
AFA,1,1997
AGS,709,1997
AAPS,8908,1997
AA,6652,1996
AS,4281,1996
AAS,526,1996
AES,32,1996
AGS,570,1996
AAPS,8628,1996
