key,value,date
AA,12009,2016
AS,8208,2016
AAS,585,2016
AAT,9,2016
AES,252,2016
AFA,112,2016
AGS,3274,2016
AAPS,11014,2016
AA,11756,2015
AS,7570,2015
AAS,553,2015
AAT,11,2015
AES,226,2015
AFA,109,2015
AGS,3536,2015
AAPS,11309,2015
AA,11569,2014
AS,6952,2014
AAS,642,2014
AAT,13,2014
AES,217,2014
AFA,131,2014
AGS,3706,2014
AAPS,11555,2014
AA,11242,2013
AS,6460,2013
AAS,966,2013
AAT,18,2013
AES,183,2013
AFA,102,2013
AGS,2775,2013
AAPS,11921,2013
AA,10634,2012
AS,6015,2012
AAS,1137,2012
AAT,29,2012
AES,138,2012
AFA,112,2012
AGS,2188,2012
AAPS,12217,2012
AA,9887,2011
AS,5412,2011
AAS,1236,2011
AAT,15,2011
AES,114,2011
AFA,86,2011
AGS,1723,2011
AAPS,11317,2011
AA,9635,2010
AS,5058,2010
AAS,1090,2010
AAT,18,2010
AES,104,2010
AFA,89,2010
AGS,1272,2010
AAPS,10573,2010
AA,8888,2009
AS,4868,2009
AAS,986,2009
AAT,2,2009
AES,94,2009
AFA,70,2009
AGS,1339,2009
AAPS,10213,2009
AA,8659,2008
AS,4778,2008
AAS,1008,2008
AAT,2,2008
AES,105,2008
AFA,76,2008
AGS,1112,2008
AAPS,9390,2008
AA,8756,2007
AS,4703,2007
AAS,995,2007
AES,99,2007
AFA,78,2007
AGS,1185,2007
AAPS,9891,2007
AA,8873,2006
AS,4643,2006
AAS,1052,2006
AES,91,2006
AFA,78,2006
AGS,1069,2006
AAPS,9934,2006
AA,8812,2005
AS,4459,2005
AAS,989,2005
AES,85,2005
AFA,73,2005
AGS,998,2005
AAPS,9742,2005
AA,8548,2004
AS,4363,2004
AAS,946,2004
AES,103,2004
AFA,62,2004
AGS,872,2004
AAPS,8746,2004
AA,8278,2003
AS,4250,2003
AAS,887,2003
AES,110,2003
AFA,74,2003
AGS,870,2003
AAPS,8508,2003
AA,7711,2002
AS,4068,2002
AAS,831,2002
AES,93,2002
AFA,58,2002
AGS,811,2002
AAPS,8145,2002
AA,7798,2001
AS,4103,2001
AAS,797,2001
AES,92,2001
AFA,54,2001
AGS,906,2001
AAPS,8371,2001
AA,7861,2000
AS,4272,2000
AAS,578,2000
AES,84,2000
AFA,57,2000
AGS,1021,2000
AAPS,8604,2000
AA,7827,1999
AS,4498,1999
AAS,560,1999
AES,76,1999
AFA,33,1999
AGS,844,1999
AAPS,8608,1999
AA,7972,1998
AS,4703,1998
AAS,592,1998
AES,72,1998
AFA,9,1998
AGS,785,1998
AAPS,9260,1998
AA,7676,1997
AS,4914,1997
AAS,466,1997
AES,31,1997
AFA,1,1997
AGS,734,1997
AAPS,9188,1997
AA,7413,1996
AS,4762,1996
AAS,526,1996
AES,32,1996
AGS,815,1996
AAPS,9769,1996
