key,value,date
AA,261,2016
AS,211,2016
AAS,0,2016
AAT,1,2016
AES,0,2016
AFA,0,2016
AGS,87,2016
AAPS,318,2016
AA,226,2015
AS,155,2015
AAS,0,2015
AAT,0,2015
AES,0,2015
AFA,0,2015
AGS,110,2015
AAPS,295,2015
AA,210,2014
AS,143,2014
AAS,0,2014
AAT,0,2014
AES,0,2014
AFA,1,2014
AGS,97,2014
AAPS,295,2014
AA,272,2013
AS,181,2013
AAS,0,2013
AAT,0,2013
AES,0,2013
AFA,0,2013
AGS,134,2013
AAPS,369,2013
AA,278,2012
AS,160,2012
AAS,0,2012
AAT,1,2012
AES,0,2012
AFA,0,2012
AGS,180,2012
AAPS,427,2012
AA,223,2011
AS,162,2011
AAS,0,2011
AAT,0,2011
AES,0,2011
AFA,2,2011
AGS,141,2011
AAPS,476,2011
AA,237,2010
AS,149,2010
AAS,0,2010
AAT,1,2010
AES,0,2010
AFA,0,2010
AGS,102,2010
AAPS,358,2010
AA,220,2009
AS,135,2009
AAS,0,2009
AAT,1,2009
AES,0,2009
AFA,0,2009
AGS,118,2009
AAPS,340,2009
AA,210,2008
AS,130,2008
AAS,0,2008
AAT,0,2008
AES,0,2008
AFA,0,2008
AGS,84,2008
AAPS,364,2008
AA,209,2007
AS,140,2007
AAS,0,2007
AES,0,2007
AFA,2,2007
AGS,89,2007
AAPS,385,2007
AA,187,2006
AS,116,2006
AAS,0,2006
AES,0,2006
AFA,2,2006
AGS,52,2006
AAPS,381,2006
AA,213,2005
AS,124,2005
AAS,0,2005
AES,0,2005
AFA,0,2005
AGS,40,2005
AAPS,374,2005
AA,185,2004
AS,89,2004
AAS,0,2004
AES,0,2004
AFA,1,2004
AGS,28,2004
AAPS,362,2004
AA,224,2003
AS,99,2003
AAS,0,2003
AES,1,2003
AFA,1,2003
AGS,28,2003
AAPS,333,2003
AA,188,2002
AS,115,2002
AAS,0,2002
AES,1,2002
AFA,1,2002
AGS,19,2002
AAPS,411,2002
AA,150,2001
AS,89,2001
AAS,0,2001
AES,0,2001
AFA,1,2001
AGS,26,2001
AAPS,398,2001
AA,153,2000
AS,99,2000
AAS,0,2000
AES,0,2000
AFA,0,2000
AGS,28,2000
AAPS,447,2000
AA,143,1999
AS,108,1999
AAS,0,1999
AES,0,1999
AFA,0,1999
AGS,21,1999
AAPS,406,1999
AA,134,1998
AS,107,1998
AAS,0,1998
AES,0,1998
AFA,0,1998
AGS,14,1998
AAPS,445,1998
AA,135,1997
AS,107,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,23,1997
AAPS,445,1997
AA,121,1996
AS,127,1996
AAS,0,1996
AES,0,1996
AGS,17,1996
AAPS,540,1996
