key,value,date
AA,241,2016
AS,520,2016
AAS,0,2016
AAT,0,2016
AES,4,2016
AFA,0,2016
AGS,37,2016
AAPS,226,2016
AA,264,2015
AS,519,2015
AAS,0,2015
AAT,0,2015
AES,1,2015
AFA,2,2015
AGS,66,2015
AAPS,242,2015
AA,234,2014
AS,505,2014
AAS,0,2014
AAT,0,2014
AES,1,2014
AFA,0,2014
AGS,54,2014
AAPS,247,2014
AA,254,2013
AS,526,2013
AAS,0,2013
AAT,0,2013
AES,2,2013
AFA,0,2013
AGS,63,2013
AAPS,270,2013
AA,243,2012
AS,486,2012
AAS,0,2012
AAT,0,2012
AES,2,2012
AFA,1,2012
AGS,43,2012
AAPS,258,2012
AA,171,2011
AS,358,2011
AAS,0,2011
AAT,0,2011
AES,3,2011
AFA,1,2011
AGS,40,2011
AAPS,218,2011
AA,152,2010
AS,319,2010
AAS,0,2010
AAT,0,2010
AES,3,2010
AFA,1,2010
AGS,28,2010
AAPS,219,2010
AA,124,2009
AS,341,2009
AAS,0,2009
AAT,0,2009
AES,0,2009
AFA,2,2009
AGS,28,2009
AAPS,210,2009
AA,125,2008
AS,301,2008
AAS,0,2008
AAT,0,2008
AES,1,2008
AFA,0,2008
AGS,25,2008
AAPS,183,2008
AA,103,2007
AS,231,2007
AAS,0,2007
AES,0,2007
AFA,1,2007
AGS,25,2007
AAPS,156,2007
AA,124,2006
AS,219,2006
AAS,0,2006
AES,0,2006
AFA,0,2006
AGS,23,2006
AAPS,155,2006
AA,125,2005
AS,178,2005
AAS,0,2005
AES,0,2005
AFA,0,2005
AGS,28,2005
AAPS,116,2005
AA,137,2004
AS,259,2004
AAS,0,2004
AES,0,2004
AFA,0,2004
AGS,17,2004
AAPS,137,2004
AA,104,2003
AS,274,2003
AAS,0,2003
AES,0,2003
AFA,0,2003
AGS,24,2003
AAPS,97,2003
AA,85,2002
AS,216,2002
AAS,0,2002
AES,0,2002
AFA,0,2002
AGS,21,2002
AAPS,102,2002
AA,73,2001
AS,238,2001
AAS,0,2001
AES,0,2001
AFA,0,2001
AGS,12,2001
AAPS,110,2001
AA,79,2000
AS,236,2000
AAS,0,2000
AES,0,2000
AFA,0,2000
AGS,13,2000
AAPS,121,2000
AA,63,1999
AS,269,1999
AAS,0,1999
AES,0,1999
AFA,0,1999
AGS,14,1999
AAPS,114,1999
AA,74,1998
AS,257,1998
AAS,0,1998
AES,0,1998
AFA,0,1998
AGS,17,1998
AAPS,135,1998
AA,69,1997
AS,240,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,14,1997
AAPS,130,1997
AA,56,1996
AS,215,1996
AAS,0,1996
AES,0,1996
AGS,9,1996
AAPS,136,1996
