key,value,date
AA,88,2016
AS,120,2016
AAS,0,2016
AAT,0,2016
AES,5,2016
AFA,1,2016
AGS,0,2016
AAPS,107,2016
AA,109,2015
AS,105,2015
AAS,0,2015
AAT,0,2015
AES,1,2015
AFA,2,2015
AGS,0,2015
AAPS,93,2015
AA,80,2014
AS,91,2014
AAS,0,2014
AAT,0,2014
AES,0,2014
AFA,0,2014
AGS,0,2014
AAPS,99,2014
AA,101,2013
AS,112,2013
AAS,0,2013
AAT,0,2013
AES,0,2013
AFA,0,2013
AGS,0,2013
AAPS,119,2013
AA,82,2012
AS,134,2012
AAS,0,2012
AAT,0,2012
AES,0,2012
AFA,2,2012
AGS,1,2012
AAPS,147,2012
AA,89,2011
AS,140,2011
AAS,0,2011
AAT,0,2011
AES,0,2011
AFA,1,2011
AGS,0,2011
AAPS,176,2011
AA,76,2010
AS,142,2010
AAS,0,2010
AAT,0,2010
AES,0,2010
AFA,0,2010
AGS,1,2010
AAPS,156,2010
AA,93,2009
AS,155,2009
AAS,0,2009
AAT,0,2009
AES,0,2009
AFA,1,2009
AGS,1,2009
AAPS,100,2009
AA,69,2008
AS,124,2008
AAS,0,2008
AAT,0,2008
AES,0,2008
AFA,0,2008
AGS,0,2008
AAPS,136,2008
AA,70,2007
AS,113,2007
AAS,0,2007
AES,0,2007
AFA,0,2007
AGS,2,2007
AAPS,120,2007
AA,64,2006
AS,97,2006
AAS,0,2006
AES,0,2006
AFA,0,2006
AGS,0,2006
AAPS,106,2006
AA,69,2005
AS,101,2005
AAS,0,2005
AES,0,2005
AFA,0,2005
AGS,2,2005
AAPS,111,2005
AA,84,2004
AS,79,2004
AAS,0,2004
AES,0,2004
AFA,0,2004
AGS,0,2004
AAPS,88,2004
AA,84,2003
AS,88,2003
AAS,0,2003
AES,0,2003
AFA,0,2003
AGS,0,2003
AAPS,95,2003
AA,85,2002
AS,96,2002
AAS,0,2002
AES,0,2002
AFA,0,2002
AGS,0,2002
AAPS,80,2002
AA,80,2001
AS,42,2001
AAS,0,2001
AES,0,2001
AFA,0,2001
AGS,0,2001
AAPS,100,2001
AA,68,2000
AS,64,2000
AAS,0,2000
AES,0,2000
AFA,0,2000
AGS,2,2000
AAPS,86,2000
AA,50,1999
AS,51,1999
AAS,0,1999
AES,0,1999
AFA,0,1999
AGS,3,1999
AAPS,78,1999
AA,54,1998
AS,53,1998
AAS,0,1998
AES,0,1998
AFA,0,1998
AGS,2,1998
AAPS,88,1998
AA,34,1997
AS,43,1997
AAS,0,1997
AES,0,1997
AFA,0,1997
AGS,2,1997
AAPS,94,1997
AA,44,1996
AS,30,1996
AAS,0,1996
AES,0,1996
AGS,0,1996
AAPS,82,1996
